A,B,edge,hellinger,N3_gauss_max
L10,O9q2,LZ,0.16797527457107894,66.83965057549091
L10,O9q2,EXT,0.186901761459345,48.80923749658621
L10,O6s,LZ,0.1910503492461139,37.15114776314859
L10,O6s,EXT,0.17757618587319904,43.03119509882389
L10,O10s,LZ,0.36678477216608424,7.986938984834303
L10,O10s,EXT,0.3729392511321316,8.312205435991023
L10,O9s,LZ,0.31272700796344854,16.820940295604284
L10,O9s,EXT,0.3226657353164018,15.831103803149622
L10,O14s,LZ,0.3341350304976364,14.348168027930626
L10,O14s,EXT,0.3477558978743563,13.147726625758828
L10,O15s,LZ,0.4669671778079934,4.708926330044355
L10,O15s,EXT,0.48809369112127265,4.180486469990891
L10,O5v,LZ,0.25887284508769076,20.224885655232313
L10,O5v,EXT,0.2536181229116274,21.27013821413716
O9q2,O6s,LZ,0.31279468541125227,15.91607350692474
O9q2,O6s,EXT,0.30194395436819255,18.29555084631016
O9q2,O10s,LZ,0.5155724347683368,4.820725056801131
O9q2,O10s,EXT,0.5297163506357933,4.803589703769891
O9q2,O9s,LZ,0.4629865225919297,9.8805480532314
O9q2,O9s,EXT,0.4841369065641385,8.652130585922324
O9q2,O14s,LZ,0.4837714074277943,8.73158910057697
O9q2,O14s,EXT,0.5084433923370097,7.493261558270144
O9q2,O15s,LZ,0.5713219115350627,3.6672492905778995
O9q2,O15s,EXT,0.6084977686554411,2.8923162930872266
O9q2,O5v,LZ,0.403682815475463,10.044461424674513
O9q2,O5v,EXT,0.4046293600921018,10.225173715015064
O6s,O10s,LZ,0.24532498807682107,23.688083105070543
O6s,O10s,EXT,0.26813111346506385,19.01241473841185
O6s,O9s,LZ,0.32628253026668735,21.193162916365726
O6s,O9s,EXT,0.3339479349833465,19.75569894767422
O6s,O14s,LZ,0.34285788926595046,19.03903735663793
O6s,O14s,EXT,0.3545698913108557,17.17979238373633
O6s,O15s,LZ,0.3484611287634212,11.933279502015347
O6s,O15s,EXT,0.3860125720512929,9.921049208434244
O6s,O5v,LZ,0.13886987482081622,83.14083496888613
O6s,O5v,EXT,0.14216206673464102,76.85454943224899
O10s,O9s,LZ,0.24047328591019865,19.573631427296686
O10s,O9s,EXT,0.23414334105956522,20.848117327437954
O10s,O14s,LZ,0.24192091433836999,18.602562576111165
O10s,O14s,EXT,0.23605830381998621,19.83686137226776
O10s,O15s,LZ,0.24375060196441367,30.616432858840952
O10s,O15s,EXT,0.2504885824846168,28.99549771562463
O10s,O5v,LZ,0.12263318135315728,87.38790811259321
O10s,O5v,EXT,0.14653926781278376,60.91784009491312
O9s,O14s,LZ,0.02210431013869781,2359.1561211115254
O9s,O14s,EXT,0.02604256226287933,1742.1924910502844
O9s,O15s,LZ,0.41400192953123893,7.675623917367605
O9s,O15s,EXT,0.4132974931760112,7.679545599331803
O9s,O5v,LZ,0.23808749440035185,25.853146909629935
O9s,O5v,EXT,0.24456357144222393,24.369900805138155
O14s,O15s,LZ,0.41643878133032697,7.892559829486314
O14s,O15s,EXT,0.41440233793736264,7.9699095099895905
O14s,O5v,LZ,0.2498483602803718,24.29719462729211
O14s,O5v,EXT,0.2598526848891094,22.025810665890365
O15s,O5v,LZ,0.2634540815514433,24.02315413839932
O15s,O5v,EXT,0.29104013596338346,19.579706028185168
