tag,delta_keV,E_star_keV,pct248_true,pct248_obs,obs_p16,obs_p50,obs_p84,frac_ROI_events_in_200_270,gap_per_hi_event,lomid_per_hi_event,he1700_per_hi_event,Z4bin_exo_origin,mu_hi_exo_origin,Z4bin_endo_origin,mu_hi_endo_origin,companions_lo_per_ROI_event,companions_5to125_per_ROI_event,he1700_per_ROI_event,he1000_per_ROI_event,P0_he1700,kappa_for_1_exo_event_f2_0p5,sigma_p_equiv_cm2,endo_events_at_that_coupling,kappa_endo_N1
iso,250.0,222.73961250995788,0.9988158161887036,0.9980406936781254,49.96959217542057,74.82498677054589,170.22767297352115,0.04934768250561452,6.783238677910859,12.476988729949202,0.8197951513568007,2.8337094632218833,0.08430240170789148,2.9474939769398816,0.11815121064842082,0.2241085962335428,0.6157104784716637,0.0404549908487976,0.034939045494410834,0.9603523881845226,7.478802504699654e-08,,0.003912550402286436,9.557451963211968e-06
iso,278.0,247.68644911107313,0.9980792382985803,0.9968440278050195,59.60639085403424,135.40771679410634,183.2718138207762,0.07740948684911904,6.273520253947279,5.640440765523991,0.8944941033076795,2.9041454273063243,0.10379511904914608,3.0024118862624958,0.13934514950106844,0.09809689415040894,0.4366236252620642,0.06924232952661034,0.05946266010842355,0.9331005348675834,1.1937598696728497e-07,,0.002122173544020393,2.81258776652947e-05
iso,300.0,267.2875350119494,0.9974062307594699,0.9957635306879342,70.45329553420598,150.1217540108647,190.1868254748016,0.10151577743950184,5.851773714183855,2.9943769979820893,0.9630054589395483,2.9422227063713544,0.11626792136904429,3.05302706601108,0.16261320934247073,0.03923516007869204,0.3039765088971134,0.09776024784273252,0.08355505020909285,0.9068663008441494,1.6115871806131995e-07,,0.0010922534289204589,7.377350063373251e-05
iso,350.0,311.835457513941,0.9957972486635294,0.9932433204199509,131.6360227662902,165.07353985301276,199.59910793430848,0.152041468142418,4.853039851522637,0.7190503909140114,1.1645772412118562,3.00022675263841,0.13842181601225267,3.186244856553032,0.24699097877875784,0.0007638137710246069,0.10932547710294586,0.1770640335190975,0.14955885798475274,0.8377261402526962,2.719388037837433e-07,,3.6017559117816706e-05,0.003775086519525196
iso,366.0,326.0907927145783,0.9952574386643149,0.9924191574587443,136.36917225499113,167.80768443054203,201.64152067040783,0.1666197674050247,4.531249877251873,0.46516448184825276,1.247429539492521,3.014400802677735,0.14450305246727757,3.016313754304154,0.14534864410401477,3.687237574220119e-05,0.07750559777063472,0.20784641972440096,0.17483919036976553,0.8123317852716946,3.1477811246091753e-07,,3.411549075766918e-06,0.04613419087195093
iso,380.0,338.5642110151359,0.9947571282611595,0.9916640144247035,139.3313720649184,169.86725185997406,203.2636326832724,0.1792609499926026,4.250397777226188,0.32258257376077926,1.3294112758138734,3.025788551694014,0.14960071543027834,2.3400979269697397,0.022801601258345423,1.8792560114437943e-07,0.05782645862341608,0.23831152823327276,0.19971641971303333,0.7879571819454543,3.5771394720218614e-07,,1.2328690969640246e-07,1.4507377469476157
p,250.0,222.73961250995788,0.9940889799802165,0.9925902284093212,51.26318510815029,76.21225985616229,180.792447796179,0.08718820900742365,3.386374746485517,7.079952708469923,0.3718139997077055,3.0322414193038347,0.15178259062562524,3.140118566576817,0.21326564036052992,0.20072657096352217,0.6172883965087508,0.03241779671840159,0.022675204559847208,0.9681020277240803,3.22517942336238e-07,9.560215356681925e-45,0.003988854685662398,4.042738677539464e-05
p,278.0,247.68644911107313,0.9905974158245041,0.9882637403587851,60.74573966662611,140.01587326983213,195.25237027786295,0.1348294132965842,3.1457419408770693,3.2677973301250427,0.408220839865563,3.0961592099758266,0.18552426023598476,3.188692935556337,0.24893375520957933,0.08734227536821684,0.4405951967929038,0.05504017633451272,0.038103139041238125,0.9464471224134369,5.05526192493041e-07,1.4985024503344932e-44,0.0021565215331122347,0.00011720870502124758
p,300.0,267.2875350119494,0.9874435325863093,0.9843841533829322,70.92358883803495,158.0487625897004,202.9952980924724,0.17567149309222344,2.945904412904225,1.7431865917773754,0.4415755300860655,3.1305795436590067,0.20686237521297565,3.2299077198908623,0.2842996278589562,0.03492035840205546,0.3062281913158757,0.07757223268320916,0.053249118609376096,0.925360180733728,6.756621730805907e-07,2.0028268307255538e-44,0.0011639944862480904,0.00029023426702752525
p,350.0,311.835457513941,0.9802323525594128,0.9756531901813832,137.68453282293757,175.58124656672345,213.51153103619365,0.2588901037231902,2.468676893808592,0.3902955930269529,0.5392222837740034,3.181287885175317,0.24309568652372657,3.370098355184615,0.4522088395163497,0.0006792709443746998,0.10104366656145186,0.13959931297610723,0.09388270662956458,0.8697066457599384,1.110888855894596e-06,3.2929444553562854e-44,5.510693923361099e-05,0.010079391736721963
p,366.0,326.0907927145783,0.9779914574509063,0.9729877658070939,143.72097284825455,178.69554597512385,215.72641014772105,0.28131383147216066,2.313274786217197,0.23767957906068826,0.5791335457368685,3.1931842874979894,0.2525403444135816,3.3134569720400657,0.3740297510711855,3.285576721816411e-05,0.06686255304825253,0.16291827668529626,0.10880328879068468,0.8496606226598102,1.2701576339824999e-06,3.765055807390315e-44,6.988625755446154e-06,0.09087320443455431
p,380.0,338.5642110151359,0.9759996003116611,0.9706383872387079,147.32546433455948,180.99795288464102,217.44537572992422,0.2999134997369266,2.1770639685092434,0.1533165041187635,0.6185968122918073,3.202603040369833,0.2602999278833135,2.9693763494548726,0.1261501304387894,1.6821805062355786e-07,0.04598168931768928,0.1855255349005426,0.12312530362865247,0.8306676242949393,1.4252752457262484e-06,4.2248620938692127e-44,3.7815760364801444e-07,1.8844989919241202
hig,300.0,267.2875350119494,0.9927145206124361,0.9929343031032875,72.1883481021053,144.20475531055712,180.1812573307149,0.05243024049345352,12.150336234469853,5.862394213321221,2.899387564884307,2.6899188518798596,0.056554537130852976,2.8168780222163616,0.08073975836508837,0.040322438550890606,0.30736673847186186,0.15201558731061277,0.13811865754876823,0.8589748915283301,2.6019289154718736e-06,,0.0010379762171957103,0.001253366345185383
hig,350.0,311.835457513941,0.987889780172108,0.9882763903016212,126.5769977864583,156.54657699280511,188.6016271043689,0.07916093465366132,9.898624516472484,1.6667176683847222,3.463054779533394,2.751581527253715,0.06712443968514231,2.921894407548857,0.10953535556347709,0.0007732472254100084,0.13193892843310576,0.2741386531046925,0.24610392146185728,0.7602266601662838,4.4352977619232925e-06,,2.5327217884459203e-05,0.0875599085173266
hig,366.0,326.0907927145783,0.9861189438959024,0.9865705955501124,130.24008307121153,158.94959182825366,190.5682312190678,0.0875414405143931,9.181271354589049,1.1719654061622309,3.69478513219391,2.7666745699500153,0.0700293255950553,2.7140400271729668,0.06047123707745254,3.715564173986079e-05,0.10259553988847747,0.3234468128634172,0.28912062470519057,0.723650445793942,5.1849789637998536e-06,,2.6181225904455228e-06,0.9902093551160895
hig,380.0,338.5642110151359,0.9843999121835845,0.984916489296894,132.6691873220723,160.81921718758443,192.1936534776873,0.09516262270441636,8.557636514941006,0.8780981630518963,3.9231387846684385,2.778684914758653,0.07244026734495655,2.3898642581201974,0.025793649086109885,1.880709267372437e-07,0.08356212418794869,0.37333617598246516,0.3323865036399478,0.6884337590428611,5.956867392308274e-06,,3.0739303253332317e-07,9.689333787457455
