model,E50_hi,plateau,N_SR1_bestfit,N_SR1_lo68,N_SR1_hi68,P0,P_ge1,P0_hi68
L10 1 TeV,250,0.96,0.2943,0.08828,0.7063,0.7451,0.2549,0.4935
L10 1 TeV,250,0.85,0.2606,0.07817,0.6253,0.7706,0.2294,0.5351
L10 1 TeV,260.4,0.96,0.3078,0.09234,0.7387,0.7351,0.2649,0.4777
L10 1 TeV,260.4,0.85,0.2725,0.08176,0.6541,0.7615,0.2385,0.5199
L10 1 TeV,269.9,0.96,0.3182,0.09547,0.7638,0.7274,0.2726,0.4659
L10 1 TeV,269.9,0.85,0.2818,0.08453,0.6763,0.7544,0.2456,0.5085
O1 inel. 250,250,0.96,0.3168,0.09505,0.7604,0.7284,0.2716,0.4675
O1 inel. 250,250,0.85,0.2805,0.08416,0.6733,0.7554,0.2446,0.51
O1 inel. 250,260.4,0.96,0.3177,0.09532,0.7626,0.7278,0.2722,0.4665
O1 inel. 250,260.4,0.85,0.2813,0.0844,0.6752,0.7548,0.2452,0.5091
O1 inel. 250,269.9,0.96,0.3181,0.09544,0.7635,0.7275,0.2725,0.466
O1 inel. 250,269.9,0.85,0.2817,0.0845,0.676,0.7545,0.2455,0.5086
O1 inel. 300,250,0.96,0.3157,0.09471,0.7577,0.7293,0.2707,0.4688
O1 inel. 300,250,0.85,0.2795,0.08386,0.6709,0.7561,0.2439,0.5113
O1 inel. 300,260.4,0.96,0.3173,0.0952,0.7616,0.7281,0.2719,0.4669
O1 inel. 300,260.4,0.85,0.281,0.08429,0.6743,0.755,0.245,0.5095
O1 inel. 300,269.9,0.96,0.3181,0.09544,0.7635,0.7275,0.2725,0.466
O1 inel. 300,269.9,0.85,0.2817,0.0845,0.676,0.7545,0.2455,0.5086
O1 inel. 350,250,0.96,0.304,0.09119,0.7295,0.7379,0.2621,0.4821
O1 inel. 350,250,0.85,0.2691,0.08074,0.6459,0.764,0.236,0.5242
O1 inel. 350,260.4,0.96,0.3125,0.09376,0.7501,0.7316,0.2684,0.4723
O1 inel. 350,260.4,0.85,0.2767,0.08302,0.6641,0.7583,0.2417,0.5147
O1 inel. 350,269.9,0.96,0.318,0.0954,0.7632,0.7276,0.2724,0.4662
O1 inel. 350,269.9,0.85,0.2816,0.08447,0.6757,0.7546,0.2454,0.5088
O1 inel. 366,250,0.96,0.2589,0.07766,0.6213,0.7719,0.2281,0.5373
O1 inel. 366,250,0.85,0.2292,0.06876,0.5501,0.7952,0.2048,0.5769
O1 inel. 366,260.4,0.96,0.2859,0.08577,0.6862,0.7513,0.2487,0.5035
O1 inel. 366,260.4,0.85,0.2531,0.07594,0.6076,0.7764,0.2236,0.5447
O1 inel. 366,269.9,0.96,0.3181,0.09544,0.7635,0.7275,0.2725,0.466
O1 inel. 366,269.9,0.85,0.2817,0.0845,0.676,0.7545,0.2455,0.5086
