model,b_LZ,E_eff_SR1_tyr,n_SR1,s_hat_LZ,s_hat,s_ratio,lo90,hi90,hi90_LZ,Z_LZ,Z,dZ
L10 1 TeV,0.0002,0.8741,0,0.352,0.2692,0.7646,0.02838,0.9818,1.284,3.877,3.808,-0.06982
L10 1 TeV,0.0002,0.8741,1,0.352,0.5384,1.529,0.1276,1.428,1.284,3.877,5.636,1.759
L10 1 TeV,0.0106,0.8741,0,0.3484,0.2655,0.7621,0.02472,0.9782,1.28,2.667,2.566,-0.1013
L10 1 TeV,0.0106,0.8741,1,0.3484,0.5348,1.535,0.1239,1.424,1.28,2.667,3.989,1.322
O1 inel. 250,0.0002,0.9024,0,0.352,0.2671,0.7588,0.02817,0.9744,1.284,3.877,3.806,-0.07181
O1 inel. 250,0.0002,0.9024,1,0.352,0.5344,1.518,0.1266,1.417,1.284,3.877,5.634,1.756
O1 inel. 250,0.0106,0.9024,0,0.3484,0.2635,0.7563,0.02451,0.9708,1.28,2.667,2.563,-0.1042
O1 inel. 250,0.0106,0.9024,1,0.3484,0.5307,1.523,0.123,1.413,1.28,2.667,3.986,1.318
O1 inel. 300,0.0002,0.9012,0,0.352,0.2672,0.7591,0.02818,0.9747,1.284,3.877,3.806,-0.07173
O1 inel. 300,0.0002,0.9012,1,0.352,0.5345,1.518,0.1267,1.417,1.284,3.877,5.634,1.756
O1 inel. 300,0.0106,0.9012,0,0.3484,0.2636,0.7565,0.02452,0.971,1.28,2.667,2.563,-0.1041
O1 inel. 300,0.0106,0.9012,1,0.3484,0.5309,1.524,0.123,1.414,1.28,2.667,3.986,1.318
O1 inel. 350,0.0002,0.8876,0,0.352,0.2682,0.7618,0.02828,0.9783,1.284,3.877,3.807,-0.07077
O1 inel. 350,0.0002,0.8876,1,0.352,0.5365,1.524,0.1271,1.423,1.284,3.877,5.635,1.758
O1 inel. 350,0.0106,0.8876,0,0.3484,0.2645,0.7593,0.02462,0.9746,1.28,2.667,2.565,-0.1027
O1 inel. 350,0.0106,0.8876,1,0.3484,0.5328,1.529,0.1235,1.419,1.28,2.667,3.988,1.32
O1 inel. 366,0.0002,0.812,0,0.352,0.2738,0.7776,0.02887,0.9985,1.284,3.877,3.812,-0.06539
O1 inel. 366,0.0002,0.812,1,0.352,0.5476,1.555,0.1298,1.452,1.284,3.877,5.642,1.765
O1 inel. 366,0.0106,0.812,0,0.3484,0.2701,0.7753,0.02521,0.9949,1.28,2.667,2.573,-0.09482
O1 inel. 366,0.0106,0.812,1,0.3484,0.5439,1.561,0.1261,1.448,1.28,2.667,3.998,1.33
