source,N_all_raw,N_ROI_eff,N_lo_5p4_55,N_lo_5p4_200,N_200_270,N_225_271,N_above_100,N_above_50
"DSNB central (<E> 9/11/13 MeV, 30 cm-2 s-1)",0.04165298348396946,0.0035541139391766646,0.0035540854934564435,0.0035541139391724536,4.21074048465388e-15,2.7096576248208247e-16,1.2756906452611563e-11,8.191591522564292e-08
"DSNB hard (<E> 12/15/18 MeV, 30 cm-2 s-1)",0.07748028708262414,0.014685415033677691,0.014683714761807314,0.01468541502121145,1.246624164408492e-11,1.2518239087277677e-12,5.20384477312653e-09,4.069316098014224e-06
"DSNB very hard (<E> 12/15/25 MeV, 30 cm-2 s-1)",0.11971812291870955,0.03710450553695889,0.0370748822362081,0.03710450174640322,3.7905556711738885e-09,5.206085861324806e-10,4.095408457481171e-07,6.177859297798063e-05
DSNB SK-limit-saturating (<E> 12/15/18),0.1085927818124283,0.018969441635483524,0.018967408507552026,0.018969441620754087,1.4729437641172248e-11,1.4785979152439425e-12,6.1665290049121735e-09,4.873821948014761e-06
DSNB SK-limit-saturating very hard (12/15/25),0.11915749936008298,0.03194293682555708,0.03191933015421912,0.031942933810906834,3.0146502364079876e-09,4.1404048022442885e-10,3.257552647322137e-07,4.9258539053029923e-05
Galactic SN 10 kpc (<E> 12/15/18),126.62166032180097,23.252887345402556,23.250278254032615,23.252887326381085,1.902147474531473e-08,1.909769295606545e-09,7.951547663836463e-06,0.0062489838502055375
Galactic SN 10 kpc hard (<E> 15/18/25),154.56909707440684,46.09581469202989,46.06263364617243,46.09581052625086,4.1657790297274514e-06,5.71966672966606e-07,0.0004515681745934018,0.0694043286926041
Galactic SN 1 kpc (<E> 12/15/18),12662.166032180097,2325.288734540256,2325.027825403262,2325.2887326381083,1.9021474745314734e-06,1.9097692956065453e-07,0.0007951547663836465,0.6248983850205537
Betelgeuse-like SN 0.2 kpc (<E> 12/15/18),316554.15080450237,58132.218363506385,58125.69563508152,58132.2183159527,4.755368686328682e-05,4.774423239016361e-06,0.019878869159591153,15.62245962551384
"SN 2023ixf, M101 6.4 Mpc, 19 May 2023 (<E> 12/15/18)",0.0003091349128950218,5.676974449561172e-05,5.676337464363431e-05,5.6769744449172566e-05,4.6439147327428543e-14,4.662522694351916e-15,1.9412958163663234e-11,1.5256308228040864e-08
