Enu_MeV,ERmax_natXe_keV,ERmax_131_keV,ERmax_124_keV
1.8,0.05294533082887565,0.05310198912012193,0.05609958862691101
3.0,0.14706747951118904,0.14750262434005984,0.15582895287469634
10.0,1.633896211126226,1.638730046125474,1.731222984979449
15.0,3.675966167674329,3.686840516965795,3.894914567922534
16.3,4.340652036321564,4.353492405025761,4.59918472929002
18.8,5.774012564526343,5.791092351766643,6.117902470214251
20.0,6.534517172219981,6.553846186035622,6.923693294220605
30.0,14.700262159607005,14.743738213768642,15.575613892659813
40.0,26.12953149526703,26.206796978321254,27.685188989014797
50.0,40.82072654598009,40.94141438278487,43.250624034708785
60.0,58.772249722473674,58.94598338348259,62.270125722795726
80.0,104.44989531033839,104.75855325985943,110.66416200007711
100.0,163.14970839127443,163.6316712899309,172.85297615713407
123.1,247.1375650834387,247.86736186151103,261.8301125586412
150.0,366.7876373999508,367.8702842551916,388.58335740448916
200.0,651.5358547180606,653.4574218591673,690.2188408201814
300.0,1463.5717494388566,1467.8812045143827,1550.3172464136003
1000.0,16078.87706966174,16125.686555237295,17020.51343937869
