ref_m,ref_delta,halo,m,ceiling,delta_b,KL_min,at_ceiling,delta_Estar,delta_vminstar,delta_onset,delta_endpoint,E_star_b,E_minus_b,E_plus_b,R_unit_b,R_unit_ref
1000.0,300.0,sunframe,200.0,266.7938445745177,207.52709322663537,2.379528590793412,False,430.7882535335699,208.91934555264422,252.32947102775194,nan,128.76999544897134,46.26986736494649,358.3695539289618,101106.38423365212,5417.295767625446
1000.0,300.0,sunframe,226.00747760385804,278.9769689268604,223.4563052448334,1.3762415193318382,False,411.97542148325124,218.45963449947928,259.1864909135215,nan,144.98565565487098,55.53233131797469,378.53336690132414,42879.7523474965,5417.295767625446
1000.0,300.0,sunframe,255.39689966429194,290.72520724535843,235.59106640472334,0.8011928765622855,False,395.32744837211953,227.65937546356128,265.2544493354887,38.460831981552126,159.2962597207353,62.64507919990396,405.0645108140411,27894.436506138878,5417.295767625446
1000.0,300.0,sunframe,288.6080454048612,301.9787150540001,246.55969151959755,0.48351884462087474,False,380.59521624632066,236.47170578663324,270.6241463794096,78.87999560161799,173.165943188889,69.29684461956491,432.7245207934228,20531.57284783903,5417.295767625446
1000.0,300.0,sunframe,300.0,305.43116450784004,249.87054988669217,0.415266946628571,False,376.29314789458243,239.1752294814926,272.1921914328553,90.6830953036046,177.49760295244786,71.3585463064511,441.50842028877804,18844.832336789776,5417.295767625446
1000.0,300.0,sunframe,326.137881790662,312.68961271499126,257.5211979426259,0.3011976851387322,False,367.5582740336198,244.8591321651703,275.37593344490875,114.64798350059549,187.27961608828937,76.48744271618287,458.55441568784886,15132.74049213617,5417.295767625446
1000.0,300.0,sunframe,368.5480000728636,322.82219430643477,271.3306151427732,0.18660984590027976,False,356.0215387442222,252.79369421707662,279.58091561264797,146.30002287397483,203.71652366167652,87.43600135752278,474.63769349543577,9167.696318686863,5417.295767625446
1000.0,300.0,sunframe,400.0,329.27404321787367,282.70135588732245,0.12884646420110651,False,349.04559507508867,257.8459698958203,282.123551635407,165.4391326951744,216.49579218417458,98.15871112985437,477.49636781037526,5442.627254329963,5417.295767625446
1000.0,300.0,sunframe,416.4730193620719,332.35263467267345,286.81738840152354,0.10619370868240524,False,345.8123762760502,260.25673508040114,283.30201565085946,174.30975043605025,221.70152213185278,101.91560143325752,482.27714132432203,4545.709088568586,5417.295767625446
1000.0,300.0,sunframe,470.63008298042297,341.26827811334385,291.3109128990025,0.05354678082229557,False,336.77801814205384,267.23834440417,286.59491558289983,199.0962998538269,231.21539498318177,103.24777267530361,517.7889797715346,4474.939480225613,5417.295767625446
1000.0,300.0,sunframe,531.829589694499,349.5666079596864,295.13828601670474,0.025821058390734505,False,328.7832754638213,273.7365514502985,289.50888990529944,221.03057360491215,239.9493418543379,104.1648690616134,552.7361304728752,4395.887531446857,5417.295767625446
1000.0,300.0,sunframe,600.9873204097423,357.25400054124344,297.1975495621509,0.011956082658556522,False,321.708516024007,279.7563493572048,292.08754292447753,240.44079311059718,246.93713034097763,103.32656146705254,590.1478329991734,4639.378909933097,5417.295767625446
1000.0,300.0,sunframe,679.1381417885374,364.34436175331587,298.3979897515896,0.005129458845023659,False,315.4478741064729,285.3086274711186,294.3694612455144,257.61741019554773,252.8552749547775,101.91950687885755,627.3165170279995,4933.167134187202,5417.295767625446
1000.0,300.0,sunframe,700.0,366.0091920250934,298.6310616377796,0.004086848528108076,False,314.01302716431104,286.612312911803,294.89244332440194,261.554037912907,254.20907043752763,101.56307275541485,636.2770418372023,4996.211944776305,5417.295767625446
