ref_delta,m1,a1_1,m2,a1_2,KL_12,KL_21,N_3sigma_time,N_3sigma_amp_approx
366.0,400.0,1.4871662213670849,4000.0,0.7908316559709725,0.22340208277143042,0.45280760866698466,60.573830331931795,37.122447159243
366.0,700.0,1.4538243224788252,4000.0,0.7908316559709725,0.196513875481513,0.3540544128821575,70.98789619214749,40.95010841364037
366.0,1000.0,1.1965010414672215,4000.0,0.7908316559709725,0.06531823357524216,0.08386888549291971,242.5096009097056,109.37751109665399
366.0,2000.0,0.9008986733806216,4000.0,0.7908316559709725,0.0043134772991658965,0.004521303715967685,4073.5552541276043,1485.7923187822937
366.0,1000.0,1.1965010414672215,10000.0,0.7367742403453936,0.08062818546484277,0.10545453835125426,194.22801393239968,85.16729605044435
366.0,400.0,1.4871662213670849,1000.0,1.1965010414672215,0.06327670418993181,0.10012808827846553,238.20667342744647,213.0524278263338
300.0,400.0,0.6313889593612386,4000.0,0.3256887626969008,0.02571185971407576,0.02738169170308187,674.4547254895505,192.61099239127657
300.0,700.0,0.4923896225788332,4000.0,0.3256887626969008,0.007485959694861481,0.007699166227461169,2366.8587866230364,647.734195359328
300.0,1000.0,0.41884174276417885,4000.0,0.3256887626969008,0.002315929792548879,0.0023488240952370975,7713.451119615901,2074.3354960752526
300.0,2000.0,0.3520420790096203,4000.0,0.3256887626969008,0.00018395583549406168,0.0001846203213108739,97669.0779164666,25918.02804817481
300.0,1000.0,0.41884174276417885,10000.0,0.31163189884891024,0.0030570500289002554,0.0031060631262802597,5837.187370469156,1566.0411790320456
300.0,400.0,0.6313889593612386,1000.0,0.41884174276417885,0.012805164654892273,0.013446822488778968,1367.9224511185694,398.4388344517197
