ref_delta,m,delta_b,at_ceiling,N_LZ_higgsino,N_ext_higgsino_per_2p84tyr
366.0,200.0,183.28818892465046,False,97390.49535972041,101517.00039595249
366.0,226.00747760385804,210.47829554188235,False,15888.280190812908,16599.13956164638
366.0,255.39689966429194,227.19884338824892,False,6581.277041495115,6909.6485372612315
366.0,288.6080454048612,240.38542705141975,False,3944.536451600453,4172.802798893046
366.0,300.0,244.66653459023533,False,3382.627556659601,3589.0372537528488
366.0,326.137881790662,254.2545806660377,False,2409.163243500901,2574.8025700895955
366.0,368.5480000728636,296.58665696579345,False,180.07954103957184,197.13247826316578
366.0,400.0,320.710459760122,False,11.607389245550062,13.740816380412415
366.0,416.4730193620719,329.47303853958147,False,2.92980868030445,3.8271975379326117
366.0,470.63008298042297,342.58712161374865,False,0.49895605680390703,1.0128501479292018
366.0,531.829589694499,349.9686781669767,False,0.33172258760576545,1.0399829332578423
366.0,600.9873204097423,354.90836361091124,False,0.3714777194950986,1.5435276643366693
366.0,679.1381417885374,358.46690320963336,False,0.4942915822336277,2.395805028837087
366.0,700.0,359.19688494867626,False,0.5353218935006298,2.6451862016890115
366.0,767.451491850993,361.3754697193402,False,0.6417854676887925,3.4003331810619746
366.0,867.2488792828036,363.71334046061514,False,0.8110263249778065,4.539787945200295
366.0,980.023658307396,365.6790179673001,False,0.9802287872279358,5.641984917532005
366.0,1000.0,365.9656947325316,False,1.006389293759686,5.815247930952519
366.0,1107.463375030799,367.4109360376775,False,1.1213075452326469,6.583707140714961
366.0,1251.4750196468315,368.8921599440832,False,1.2381357166088016,7.363942724358323
366.0,1414.213562373095,370.18164523328636,False,1.325236223842116,7.933469057617467
366.0,1598.1142001255478,371.39221708897617,False,1.3602179036940332,8.226594279105298
366.0,1805.928796466411,372.3719807206797,False,1.387918723698829,8.387367626277504
366.0,2000.0,373.20361879577473,False,1.3633727502156894,8.319474231192563
366.0,2040.7670601077232,373.3165845848384,False,1.3700428973655319,8.343515054271831
366.0,2306.143078159937,374.17372615009873,False,1.3278667694078086,8.125331057045232
366.0,2606.0279004426206,374.89443358087976,False,1.2755980936316909,7.828550904162408
366.0,2944.9089617215736,375.52793282882664,False,1.217213209800799,7.474064600298952
366.0,3327.8572310584464,376.05783125181017,False,1.1527574625887047,7.082233484281889
366.0,3760.6030930863935,376.5689429821879,False,1.0740053044900921,6.607640801008275
366.0,4000.0,376.80547887021015,False,1.0368274696343545,6.380144259933805
366.0,4249.622096688611,377.0153415372021,False,0.9983667423816283,6.14764914209515
366.0,4802.231854211057,377.4087627121358,False,0.9191680614243931,5.677030030772752
366.0,5426.701541195695,377.75717288972754,False,0.8449357075127492,5.214726682317038
366.0,6132.375635173039,378.0350636401566,False,0.7755937531594697,4.777298749265961
366.0,6929.813745124076,378.3102384009995,False,0.7048934164184596,4.34526430938263
366.0,7830.948624000185,378.5540256196219,False,0.6393692123773994,3.9370971209554098
366.0,8849.264728778422,378.80005037805665,False,0.5753778555674283,3.5609354384523026
366.0,10000.0,378.95515607445117,False,0.5217400053642589,3.2157085075149565
300.0,200.0,216.9971759723956,False,6366.622070224165,6638.251956124487
300.0,226.00747760385804,230.6147820916009,False,3579.0004003421486,3740.3451124397297
300.0,255.39689966429194,241.89429566640717,False,2593.95973669904,2723.662468374042
300.0,288.6080454048612,252.69371153855752,False,1961.2908654670525,2074.8177762464766
300.0,300.0,256.3164230299428,False,1768.3872121497732,1876.3150260502691
300.0,326.137881790662,265.48918574268146,False,1289.4339411622257,1378.5356940987047
300.0,368.5480000728636,277.0595583217681,False,863.5460605072212,937.3619451697356
300.0,400.0,286.44701395438227,False,567.6137550317364,625.3855658840886
300.0,416.4730193620719,289.36306180649996,False,512.3792609786791,569.0029329080547
300.0,470.63008298042297,294.2640028957018,False,479.4468078181187,544.6923540941563
300.0,531.829589694499,296.9296658082507,False,498.9998023828894,578.1777153070224
300.0,600.9873204097423,298.32611768079954,False,536.8315730766618,631.7968647986046
300.0,679.1381417885374,299.1558944261427,False,572.4660151832985,682.1575193559854
300.0,700.0,299.305776080469,False,580.0131028622737,692.9979417825555
300.0,767.451491850993,299.6251449489867,False,600.412562473227,722.5687035447232
300.0,867.2488792828036,299.81172304544754,False,620.9202691257661,753.0071508456139
300.0,980.023658307396,299.8957154999281,False,628.640739572851,767.3271300411105
300.0,1000.0,299.90835800107277,False,629.0381816331969,768.4504366051702
300.0,1107.463375030799,299.8882515815141,False,627.1205753680464,769.4267010474606
300.0,1251.4750196468315,299.83078584923146,False,615.7284008775347,758.8119581977576
300.0,1414.213562373095,299.74690222601345,False,596.9235098386367,738.3672024495777
300.0,1598.1142001255478,299.6165645416291,False,573.1194389253551,711.0547272929404
300.0,1805.928796466411,299.5289118062482,False,543.2389240186794,675.8916938222604
300.0,2000.0,299.43888797681996,False,516.6102926924322,644.0203687625333
300.0,2040.7670601077232,299.4124584005104,False,511.43748875386854,637.7800064423391
300.0,2306.143078159937,299.2888418384605,False,478.0414223529467,597.2762986159362
300.0,2606.0279004426206,299.1975715905251,False,443.17656594383084,554.7316686706878
300.0,2944.9089617215736,299.15660175905595,False,407.84614356650104,511.3629380654226
300.0,3327.8572310584464,299.0328323108338,False,374.92274239318306,470.65629300276174
300.0,3760.6030930863935,298.9828891730583,False,342.0333950121928,429.9286758819572
300.0,4000.0,298.9880445795533,False,325.85626814613863,409.85473512839286
300.0,4249.622096688611,298.9239421819755,False,311.22342127826204,391.6112272303965
300.0,4802.231854211057,298.9057708467977,False,281.8319041868164,354.9799279704005
300.0,5426.701541195695,298.8457903018674,False,254.87514616369455,321.2970314595096
300.0,6132.375635173039,298.76271920425154,False,230.26118873577727,290.4218143287852
300.0,6929.813745124076,298.7362029789655,False,207.08128426752623,261.3587683668033
300.0,7830.948624000185,298.74702901487353,False,185.65472061770322,234.47475794378875
300.0,8849.264728778422,298.6678709642729,False,166.75927241840782,210.68558983647034
300.0,10000.0,298.6431145703473,False,149.22988555792782,188.63381180066347
