location,model,p_gamma,f_gamma
wall,Poisson(6.5),0.0036166666666666665,0.0015392012488860925
wall,"narrow G(6.5,2.5) k>=1",0.0036166666666666665,5.349247520421148e-05
wall,"narrow G(6.5,2.5) k>=2",0.0036166666666666665,4.319056761923938e-07
cryostat,Poisson(6.5),0.13408333333333333,0.0035941119810355493
cryostat,"narrow G(6.5,2.5) k>=1",0.13408333333333333,0.0027332192229353007
cryostat,"narrow G(6.5,2.5) k>=2",0.13408333333333333,0.0007772351795597854
pmt,Poisson(6.5),0.14771666666666666,0.003927148587608876
pmt,"narrow G(6.5,2.5) k>=1",0.14771666666666666,0.003126174647084014
pmt,"narrow G(6.5,2.5) k>=2",0.14771666666666666,0.0009730231471438263
ocv,Poisson(6.5),0.14186666666666667,0.003780622249355973
ocv,"narrow G(6.5,2.5) k>=1",0.14186666666666667,0.0029541592946492386
ocv,"narrow G(6.5,2.5) k>=2",0.14186666666666667,0.0008855608036225734
"P013 (p=0.15, Poisson 7)",Poisson(7),0.15,0.0026058405184084983
