scenario,N_lone_220d,ratio_to_central
"central (route A inventory, narrow gamma mult., p_n=0.1, u=0.1)",1.470883070406889e-09,1.0
gamma multiplicity Poisson(6.5),1.8840513244236416e-09,1.2808980960685463
gamma multiplicity narrow k>=2,4.4292630213685583e-10,0.3011295126364665
p_n = 0.20,1.9135035029506165e-09,1.3009215630045194
p_n = 0.05,1.278548363262234e-09,0.8692386152140228
self-untagged 0.20,2.941766140813778e-09,2.0
OD visibility 0.7,1.5929670093899788e-09,1.0830004379269371
OD visibility 1.0,1.464846121430674e-09,0.9958956975590556
Ti/PMT-array interactions all silent (over-conservative),4.386036435074086e-08,29.819069396595754
PMT arrays half visible (Skin light),6.638183434649562e-10,0.4513059921760639
per-gamma silent floor 0.05 (unmodelled gaps),1.4729010821123227e-09,1.0013719728957622
per-gamma silent floor 0.15 (P013 value),1.5925091609835458e-09,1.0826891634173283
p_win at MC maximum,1.8729949889353907e-09,1.2733812949640286
p_win at MC minimum,5.714222000141871e-10,0.38848920863309355
Ti and PMTs at assay upper limits,3.1941195762261993e-09,2.171565939189587
inventory at all lower brackets,5.242094551675678e-10,0.3563909774436089
inventory at all upper brackets,3.3703129000488667e-09,2.291353383458646
route C cap (<=3 MS): N_SF = 8.7,4.6557827538185736e-10,0.316529766878794
route B PTFE-only (fit UL): N_SF = 2.04,1.0881674545954874e-10,0.07398055470816377
"STACKED HIGH: upper inventory, Poisson gammas, p_gamma floor 0.15, p_n 0.2, u 0.2, p_win max",1.5083427247293883e-08,10.254674590225155
"STACKED LOW: lower inventory, narrow k>=2, p_n 0.05, u 0.08, p_win min",4.264480463247667e-11,0.028992654474349126
