model,E_keV,Nq,L_eff_W13p7,beta_eff,Nq_over_TableS5
"Lindhard k=0.166, W=13.7",50.0,941.5935259208754,0.2579966261023199,1.1459309074534991,1.137047051474072
"Lindhard k=0.166, W=13.7",74.7,1493.302827415626,0.2738721383613665,1.15180684464743,1.1595172199727808
"Lindhard k=0.166, W=13.7",150.0,3348.7407660250315,0.3058516566302862,1.1658993469446168,1.2077112767214027
"Lindhard k=0.166, W=13.7",248.0,6037.995450853434,0.3335505551479518,1.1794154311621625,1.2525005057441336
"Lindhard k=0.166, W=13.7",300.0,7561.923342683951,0.3453278326492337,1.1852236704962484,1.272274631399185
"Lindhard k=0.166, W=13.5",50.0,955.5430596382217,0.26181879834087274,1.1459309074534991,1.1538921929773915
"Lindhard k=0.166, W=13.5",74.7,1515.4258322662279,0.2779295033741275,1.15180684464743,1.1766952528612662
"Lindhard k=0.166, W=13.5",150.0,3398.3517403365136,0.31038279228406823,1.1658993469446168,1.2256032956357938
"Lindhard k=0.166, W=13.5",248.0,6127.447235310521,0.3384920448538473,1.1794154311621625,1.2710560687921948
"Lindhard k=0.166, W=13.5",300.0,7673.951836649639,0.35044380054033347,1.1852236704962484,1.2911231444569506
"Lindhard k=0.133 (-20%), W=13.7",50.0,794.257997456408,0.21762669130305579,1.1538705220657162,0.9591279987128972
"Lindhard k=0.133 (-20%), W=13.7",74.7,1263.8700188681491,0.23179409984596575,1.160603826784383,0.9813676260301222
"Lindhard k=0.133 (-20%), W=13.7",150.0,2853.544899794218,0.2606237675145386,1.176708674394858,1.0291206739789072
"Lindhard k=0.133 (-20%), W=13.7",248.0,5175.665586618066,0.2859137844220464,1.1922397664438986,1.073621836512873
"Lindhard k=0.133 (-20%), W=13.7",300.0,6498.3509650587175,0.2967580274043481,1.1989653222281007,1.0933312471054712
"Lindhard k=0.199 (+20%), W=13.7",50.0,1074.4702892122612,0.29440485924415954,1.1387704465069428,1.2975060263402445
"Lindhard k=0.199 (+20%), W=13.7",74.7,1698.9067481028546,0.311579952463308,1.1439235168871706,1.3191641999114356
"Lindhard k=0.199 (+20%), W=13.7",150.0,3786.846277739846,0.3458652933669059,1.156336209830459,1.36571244906053
"Lindhard k=0.199 (+20%), W=13.7",248.0,6792.4682311585675,0.3752290918019047,1.1681951170185711,1.4090056814426009
"Lindhard k=0.199 (+20%), W=13.7",300.0,8488.074347652651,0.38762206187613774,1.1732575411234416,1.428097214499891
"Lindhard k=0.139 (Lenardo15 fit), W=13.7",50.0,825.6996344938478,0.2262416998513143,1.15217619563401,0.997096208670559
"Lindhard k=0.139 (Lenardo15 fit), W=13.7",74.7,1312.96062239285,0.2407973296757971,1.1587215800214041,1.01948541371573
"Lindhard k=0.139 (Lenardo15 fit), W=13.7",150.0,2960.066068406915,0.2703527009144982,1.174383489014304,1.0675371491651306
"Lindhard k=0.139 (Lenardo15 fit), W=13.7",248.0,5362.023746941083,0.29620856989150335,1.1894682985603828,1.1122793167898966
"Lindhard k=0.139 (Lenardo15 fit), W=13.7",300.0,6728.655290778523,0.30727525827888585,1.1959897261214687,1.1320793721308706
"Lindhard k=0.174 (LUX DD fit), W=13.7",50.0,975.8454416882884,0.267381651022591,1.1440851407550976,1.1784088904826677
"Lindhard k=0.174 (LUX DD fit), W=13.7",74.7,1546.4204507463585,0.28361392470180874,1.1497701926602435,1.2007619010952317
"Lindhard k=0.174 (LUX DD fit), W=13.7",150.0,3462.4332217290307,0.31623556758458476,1.1634176239098892,1.2487140507267651
"Lindhard k=0.174 (LUX DD fit), W=13.7",248.0,6234.544005591869,0.3444082777282605,1.1764924144810256,1.2932718455400873
"Lindhard k=0.174 (LUX DD fit), W=13.7",300.0,7803.589733404552,0.3563639311588079,1.182101273312628,1.3129343953563393
NEST Table S5 (11.2 E^1.1),50.0,828.1042765118559,0.22690057176424852,1.0999999999999712,1.0
NEST Table S5 (11.2 E^1.1),74.7,1287.8660201792268,0.2361949729110496,1.1000000000004153,1.0
NEST Table S5 (11.2 E^1.1),150.0,2772.7991205943886,0.25324898634762083,1.0999999999999712,1.0
NEST Table S5 (11.2 E^1.1),248.0,4820.752904419906,0.26630772092964805,1.0999999999999712,1.0
NEST Table S5 (11.2 E^1.1),300.0,5943.625028794074,0.27142554298159605,1.0999999999999712,1.0
LZ contour scale (11.32 E^1.112),50.0,876.4122121127683,0.24013694611889852,1.111666281719878,1.0583355707380178
LZ contour scale (11.32 E^1.112),74.7,1369.3929916974225,0.2511470413153238,1.111666281719878,1.063303923110612
LZ contour scale (11.32 E^1.112),150.0,2972.4053317222724,0.2714796869639675,1.1116662817194338,1.0719872599660576
LZ contour scale (11.32 E^1.112),248.0,5198.187610421827,0.28715794460798,1.111666281719878,1.0782937257903988
LZ contour scale (11.32 E^1.112),300.0,6423.221929176876,0.29332713476574396,1.111666281719878,1.0806909752986402
NEST default (11.0 E^1.1),50.0,813.3167001455728,0.22284877583988694,1.0999999999999712,0.9821428571428572
NEST default (11.0 E^1.1),74.7,1264.8684126760265,0.23197720553763804,1.0999999999999712,0.9821428571428573
NEST default (11.0 E^1.1),150.0,2723.2848505837746,0.24872668301998474,1.0999999999999712,0.9821428571428572
NEST default (11.0 E^1.1),248.0,4734.668031126695,0.2615522259130472,1.0999999999999712,0.9821428571428573
NEST default (11.0 E^1.1),300.0,5837.488867565608,0.2665786582854961,1.0999999999999712,0.9821428571428572
