halo,delta_keV,case,mu_muN,mu_ecm,tau_s,decay_length_m,P_clean,P_tpc,P_delayed,P_prompt
sun,250,N=1,8.3909e-05,8.8234e-19,0.00072181,478.56,0.99839,0.0014397,7.3432e-05,0
sun,250,N=0.3,4.5959e-05,4.8328e-19,0.002406,1595.2,0.99952,0.00043247,2.2088e-05,0
sun,250,N=2.4,0.00012999,1.3669e-18,0.00030075,199.4,0.99615,0.0034534,0.00017567,0
sun,260,N=1,9.9111e-05,1.0422e-18,0.00045993,304.93,0.99748,0.002259,0.0001151,0
sun,260,N=0.3,5.4286e-05,5.7084e-19,0.0015331,1016.4,0.99924,0.00067848,3.4642e-05,0
sun,260,N=2.4,0.00015354,1.6146e-18,0.00019164,127.05,0.99397,0.0054124,0.0002746,0
sun,270,N=1,0.00011815,1.2424e-18,0.00028898,191.59,0.996,0.0035919,0.00018268,0
sun,270,N=0.3,6.4716e-05,6.8052e-19,0.00096326,638.64,0.9988,0.0010797,5.5096e-05,0
sun,270,N=2.4,0.00018304,1.9248e-18,0.00012041,79.83,0.99042,0.0085972,0.00043432,0
sun,280,N=1,0.00014277,1.5013e-18,0.00017747,117.66,0.99058,0.0056525,0.0034853,0
sun,280,N=0.3,7.8198e-05,8.2228e-19,0.00059156,392.2,0.99716,0.0017025,0.0010546,0
sun,280,N=2.4,0.00022118,2.3258e-18,7.3945e-05,49.025,0.97756,0.013518,0.0082575,0
sun,290,N=1,0.00017487,1.8388e-18,0.00010647,70.591,0.98434,0.0094135,0.0057784,0
sun,290,N=0.3,9.578e-05,1.0072e-18,0.00035491,235.3,0.99528,0.0028311,0.0017515,0
sun,290,N=2.4,0.00027091,2.8487e-18,4.4363e-05,29.413,0.96301,0.02238,0.013527,0
sun,300,N=1,0.0002188,2.3008e-18,6.143e-05,40.728,0.97308,0.016238,0.0098871,0
sun,300,N=0.3,0.00011984,1.2602e-18,0.00020477,135.76,0.99182,0.0049061,0.0030277,0
sun,300,N=2.4,0.00033897,3.5644e-18,2.5596e-05,16.97,0.937,0.038412,0.022769,0
sun,310,N=1,0.00028107,2.9556e-18,3.3739e-05,22.369,0.95168,0.029333,0.01758,0
sun,310,N=0.3,0.00015395,1.6189e-18,0.00011246,74.563,0.98519,0.0089015,0.0054676,0
sun,310,N=2.4,0.00043544,4.5788e-18,1.4058e-05,9.3204,0.88924,0.068533,0.039131,0
sun,320,N=1,0.0003742,3.9348e-18,1.7306e-05,11.474,0.90867,0.056174,0.032572,0
sun,320,N=0.3,0.00020496,2.1552e-18,5.7688e-05,38.247,0.97137,0.017279,0.010508,0
sun,320,N=2.4,0.0005797,6.0958e-18,7.211e-06,4.7809,0.79867,0.12832,0.067726,0
sun,330,N=1,0.00052634,5.5347e-18,7.976e-06,5.2881,0.79462,0.10931,0.092957,0
sun,330,N=0.3,0.00028829,3.0315e-18,2.6587e-05,17.627,0.93222,0.034509,0.03213,0
sun,330,N=2.4,0.0008154,8.5743e-18,3.3233e-06,2.2034,0.58648,0.2387,0.16971,0
sun,340,N=1,0.00080246,8.4382e-18,3.1374e-06,2.0801,0.56951,0.25031,0.17496,0
sun,340,N=0.3,0.00043952,4.6218e-18,1.0458e-05,6.9337,0.83821,0.084867,0.074388,0
sun,340,N=2.4,0.0012432,1.3072e-17,1.3073e-06,0.86672,0.29286,0.48259,0.21934,0
sun,350,N=1,0.00141,1.4826e-17,9.3162e-07,0.61766,0.20076,0.59149,0.20352,0
sun,350,N=0.3,0.00077227,8.1207e-18,3.1054e-06,2.0589,0.56638,0.25252,0.17587,0
sun,350,N=2.4,0.0021843,2.2969e-17,3.8817e-07,0.25736,0.060608,0.84722,0.091072,0
sun,360,N=1,0.0032939,3.4637e-17,1.5686e-07,0.104,0.0091627,0.97809,0.01272,0
sun,360,N=0.3,0.0018042,1.8972e-17,5.2288e-07,0.34667,0.093687,0.77063,0.13365,0
sun,360,N=2.4,0.0051029,5.366e-17,6.536e-08,0.043334,0.00018313,0.99949,0.00032715,0
sun,366,N=1,0.0075958,7.9873e-17,2.8072e-08,0.018612,3.0107e-07,1,4.7622e-07,0
sun,366,N=0.3,0.0041604,4.3748e-17,9.3573e-08,0.062039,0.0017485,0.99534,0.0029117,0
sun,366,N=2.4,0.011767,1.2374e-16,1.1697e-08,0.0077548,2.8591e-13,1,2.7512e-12,0
sun,370,N=1,0.018122,1.9056e-16,4.7734e-09,0.0031647,3.9356e-28,1,6.0432e-25,0
sun,370,N=0.3,0.009926,1.0438e-16,1.5911e-08,0.010549,9.8926e-11,1,4.1554e-10,0
sun,370,N=2.4,0.028075,2.9522e-16,1.9889e-09,0.0013186,1.2831e-65,1,6.8353e-57,0
sun,380,N=1,2.4371,2.5627e-14,2.4365e-13,1.6154e-07,5.7477e-128,1,4.441e-110,0
sun,380,N=0.3,1.3348,1.4036e-14,8.1218e-13,5.3848e-07,5.7477e-128,1,4.441e-110,0
sun,380,N=2.4,3.7755,3.9701e-14,1.0152e-13,6.731e-08,5.7477e-128,1,4.441e-110,0
june16,300,N=1,0.00017697,1.8609e-18,9.3905e-05,62.259,0.98227,0.010665,0.0065367,0
june16,300,N=0.3,9.6931e-05,1.0193e-18,0.00031302,207.53,0.99464,0.003211,0.0019856,0
june16,300,N=2.4,0.00027416,2.8829e-18,3.9127e-05,25.941,0.95818,0.025339,0.015261,0
