delta_keV,tau_s,P_clean,P_tpc,P_delayed,P_prompt
250,0.0007218,0.9984,0.00144,7.343e-05,0
260,0.0004599,0.9975,0.002259,0.0001151,0
270,0.000289,0.996,0.003592,0.0001827,0
280,0.0001775,0.9906,0.005652,0.003485,0
290,0.0001065,0.9843,0.009414,0.005778,0
300,6.143e-05,0.9731,0.01624,0.009887,0
310,3.374e-05,0.9517,0.02933,0.01758,0
320,1.731e-05,0.9087,0.05617,0.03257,0
330,7.976e-06,0.7946,0.1093,0.09296,0
340,3.137e-06,0.5695,0.2503,0.175,0
350,9.316e-07,0.2008,0.5915,0.2035,0
360,1.569e-07,0.009163,0.9781,0.01272,0
366,2.807e-08,3.011e-07,1,4.762e-07,0
370,4.773e-09,3.936e-28,1,6.043e-25,0
380,2.437e-13,5.748e-128,1,4.441e-110,0
