E_keV,midm,O1,charge,spin,midm_over_O1
1,0,0,0,0,
4,0,0,0,0,
7,0,0,0,0,
10,0,0,0,0,
13,0,0,0,0,
16,0,0,0,0,
19,0,0,0,0,
22,0,0,0,0,
25,0,0,0,0,
28,0,0,0,0,
31,0,0,0,0,
34,0,0,0,0,
37,0,0,0,0,
40,0,0,0,0,
43,0,0,0,0,
46,0,0,0,0,
49,0,0,0,0,
52,0,0,0,0,
55,0,0,0,0,
58,0,0,0,0,
61,0,0,0,0,
64,0,0,0,0,
67,0,0,0,0,
70,0,0,0,0,
73,0,0,0,0,
76,0,0,0,0,
79,0,0,0,0,
82,0,0,0,0,
85,0,0,0,0,
88,0,0,0,0,
91,0,0,0,0,
94,3.9201e-07,2.0125e-05,3.9201e-07,0,0.019479
97,1.3164e-06,0.00081415,1.3164e-06,0,0.0016169
100,0.002202,0.010298,9.6403e-05,0.0015718,0.21382
103,0.012024,0.046113,0.00059381,0.0089384,0.26075
106,0.029964,0.13729,0.0018553,0.02322,0.21826
109,0.056404,0.3421,0.0037025,0.044974,0.16487
112,0.08609,0.71156,0.0055304,0.069993,0.12099
115,0.12284,1.2831,0.0075408,0.1013,0.095742
118,0.15914,2.066,0.0091972,0.13255,0.077028
121,0.21055,3.125,0.011445,0.1767,0.067374
124,0.24984,4.3915,0.013118,0.21069,0.056891
127,0.3051,5.8795,0.014696,0.25831,0.051892
130,0.35525,7.53,0.016552,0.30134,0.047178
133,0.42445,9.327,0.018299,0.36111,0.045507
136,0.47174,11.139,0.01983,0.40146,0.04235
139,0.53886,12.987,0.021552,0.45924,0.041493
142,0.61129,14.837,0.023001,0.52238,0.041201
145,0.67258,16.657,0.02461,0.57482,0.040379
148,0.73672,18.221,0.025916,0.63059,0.040433
151,0.80454,19.703,0.027167,0.68983,0.040834
154,0.87364,20.968,0.028112,0.75143,0.041666
157,0.94782,21.912,0.029157,0.81703,0.043256
160,1.0028,22.875,0.029977,0.86519,0.043837
163,1.0555,23.27,0.030461,0.91272,0.045361
166,1.1314,23.612,0.030864,0.982,0.047919
169,1.1845,23.663,0.031028,1.0305,0.050056
172,1.2423,23.685,0.031154,1.0827,0.052449
175,1.2883,23.303,0.030848,1.1266,0.055286
178,1.3147,22.795,0.030449,1.1515,0.057677
181,1.3632,22.214,0.029945,1.1972,0.061365
184,1.4097,21.379,0.029288,1.2413,0.065938
187,1.4221,20.382,0.028366,1.2551,0.069774
190,1.4541,19.285,0.027381,1.2872,0.075402
193,1.4695,18.112,0.026333,1.3031,0.081134
196,1.4723,16.923,0.025137,1.3084,0.087
199,1.4719,15.665,0.023881,1.3108,0.093961
202,1.4683,14.371,0.022583,1.3101,0.10217
205,1.4616,13.101,0.02126,1.3065,0.11157
208,1.4517,11.862,0.019926,1.2999,0.12238
211,1.4389,10.642,0.018593,1.2905,0.13522
214,1.4233,9.445,0.017276,1.2784,0.1507
217,1.4051,8.3543,0.015987,1.2638,0.16819
220,1.3558,7.2398,0.014665,1.2206,0.18726
223,1.3335,6.2794,0.013462,1.2019,0.21236
226,1.3093,5.362,0.012311,1.1812,0.24418
229,1.2569,4.4961,0.011159,1.1347,0.27956
232,1.2302,3.7456,0.010132,1.1113,0.32845
235,1.1777,3.0521,0.0091178,1.0643,0.38588
238,1.1497,2.4628,0.0082293,1.0394,0.46682
241,1.0981,1.9216,0.0073591,0.99289,0.57146
244,1.0479,1.4719,0.0065637,0.94754,0.71197
247,1.0137,1.1021,0.0058723,0.91664,0.9198
250,0.97254,0.79575,0.0052351,0.87921,1.2222
253,0.92686,0.55217,0.0046507,0.83769,1.6786
256,0.88338,0.37164,0.0041328,0.79812,2.377
259,0.84227,0.24674,0.0036778,0.76067,3.4136
262,0.80364,0.17266,0.0032825,0.72546,4.6545
265,0.76759,0.1437,0.0029427,0.69261,5.3418
268,0.73421,0.15471,0.0026547,0.66221,4.7457
271,0.70356,0.20053,0.0024145,0.63433,3.5085
274,0.67568,0.27626,0.002218,0.60902,2.4458
277,0.65059,0.37543,0.0020611,0.58631,1.7329
280,0.6283,0.49328,0.0019399,0.56622,1.2737
283,0.60879,0.63055,0.0018506,0.54875,0.9655
286,0.59204,0.78106,0.0017895,0.53388,0.758
289,0.57571,0.93474,0.0017473,0.51942,0.6159
292,0.55489,1.0986,0.0017022,0.50118,0.50509
295,0.54626,1.2544,0.001705,0.49398,0.43546
298,0.54007,1.422,0.0017228,0.48911,0.3798
301,0.53309,1.5779,0.0017487,0.48344,0.33785
304,0.52356,1.7366,0.0017586,0.47594,0.30149
307,0.5241,1.8749,0.0018058,0.47747,0.27953
310,0.52243,2.0103,0.001855,0.47682,0.25988
313,0.51997,2.1336,0.0018813,0.47603,0.2437
316,0.52594,2.2554,0.0019393,0.48276,0.23319
319,0.52239,2.3529,0.0019648,0.4808,0.22202
322,0.53118,2.4401,0.0020222,0.49022,0.21769
325,0.5349,2.5207,0.0020747,0.49467,0.2122
328,0.54095,2.5773,0.0020978,0.50195,0.20989
