N_roi,N_hi,N_lo,pct248_accepted,frac_below200_accepted,q16,q50,q84,peak_accepted,model,halo,delta_keV,E_minus_keV,E_plus_keV,mu_N1_roi_muN,mu_N1_hi_muN,N_lo_per_hi,mu_N1_roi_ecm,mu_N1_roi_e_over_2mchi,mu_N1_roi_GeVinv
1.4203e+08,4.869e+07,1.1869,0.92867,0.65309,128.46,179.84,229.14,181,midm,sun,250,57.569,861.8,8.3909e-05,0.00014331,2.4377e-08,8.8234e-19,0.089429,1.3541e-05
1.018e+08,3.7472e+07,0,0.92238,0.62729,134.97,183.89,231.46,184,midm,sun,260,64.075,837.47,9.9111e-05,0.00016336,0,1.0422e-18,0.10563,1.5994e-05
7.1631e+07,2.8294e+07,0,0.91542,0.59977,141.18,187.88,233.78,190,midm,sun,270,71.222,812.5,0.00011815,0.000188,0,1.2424e-18,0.12593,1.9067e-05
4.9061e+07,2.0898e+07,0,0.90704,0.56805,147.49,192.06,236.14,190,midm,sun,280,79.097,786.81,0.00014277,0.00021875,0,1.5013e-18,0.15216,2.3039e-05
3.2702e+07,1.5026e+07,0,0.8977,0.53357,153.79,196.28,238.53,193,midm,sun,290,87.809,760.28,0.00017487,0.00025797,0,1.8388e-18,0.18637,2.8219e-05
2.0888e+07,1.0439e+07,0,0.88559,0.4921,160.42,200.85,241.1,196,midm,sun,300,97.496,732.77,0.0002188,0.00030951,0,2.3008e-18,0.2332,3.5309e-05
1.2658e+07,6.9395e+06,0,0.87007,0.44183,167.7,205.91,243.87,202,midm,sun,310,108.34,704.11,0.00028107,0.00037961,0,2.9556e-18,0.29957,4.5357e-05
7.1417e+06,4.3464e+06,0,0.84965,0.37929,175.74,211.61,246.82,211,midm,sun,320,120.6,674.04,0.0003742,0.00047966,0,3.9348e-18,0.39881,6.0385e-05
3.6097e+06,2.4771e+06,0,0.81947,0.29789,185.19,218.21,250.17,214,midm,sun,330,134.61,642.2,0.00052634,0.00063537,0,5.5347e-18,0.56097,8.4936e-05
1.5529e+06,1.2157e+06,0,0.77398,0.19489,196.27,226.03,253.84,229,midm,sun,340,150.91,608.09,0.00080246,0.00090694,0,8.4382e-18,0.85525,0.00012949
5.0302e+05,4.469e+05,0,0.69223,0.075801,209.71,235.35,258.24,247,midm,sun,350,170.35,570.82,0.00141,0.0014959,0,1.4826e-17,1.5027,0.00022753
92166,85784,0,0.5199,0.00054364,227.45,247.05,263.73,256,midm,sun,360,194.55,528.81,0.0032939,0.0034143,0,3.4637e-17,3.5106,0.00053155
17332,15268,0,0.32184,3.0149e-05,239.75,254.79,267.82,256,midm,sun,366,212.68,499.99,0.0075958,0.0080931,0,7.9873e-17,8.0955,0.0012257
3044.9,2472.9,0,0.17493,1.2805e-06,247.29,259.69,271.24,266.5,midm,sun,370,227.18,478.36,0.018122,0.020109,0,1.9056e-16,19.315,0.0029244
0.16837,0.16528,0,0.3483,0,242.41,251.83,261.09,253,midm,sun,380,283.75,403.96,2.4371,2.4597,0,2.5627e-14,2597.4,0.39327
1.3021e+12,2.2746e+09,8.7779e+11,0.99968,0.99824,2.6062,8.5239,20.706,2.5,midm,sun,0,0,1364.8,8.7636e-07,2.0967e-05,385.91,9.2153e-21,0.00093401,1.4142e-07
6.6685e+08,1.4976e+08,3.336e+07,0.95583,0.77328,78.886,151.71,214.12,169,midm,sun,200,32.536,975.93,3.8724e-05,8.1716e-05,0.22276,4.072e-19,0.041272,6.249e-06
3.193e+07,1.5182e+07,0,0.89184,0.5169,156.07,198.13,239.78,193,midm,june16,300,90.39,790.38,0.00017697,0.00025664,0,1.8609e-18,0.18861,2.8558e-05
1.7193e+06,1.3496e+06,0,0.76748,0.19131,196.67,226.52,254.34,223,midm,june16,350,152.02,639.66,0.00076266,0.00086078,0,8.0197e-18,0.81283,0.00012307
2.2509e+07,1.1105e+07,0,0.88722,0.49865,159.22,200.15,240.77,196,midm,annual,300,97.496,732.77,0.00021078,0.00030009,0,2.2164e-18,0.22464,3.4013e-05
1.0078e+06,35577,2.7233e+05,0.9993,0.96552,49.493,67.492,160.36,55,O1_contact,sun,200,32.536,975.93,,,7.6548,,,
12560,2423.5,0,0.99526,0.81086,146.51,173.21,203.5,172,O1_contact,sun,300,97.496,732.77,,,0,,,
153.97,99.83,0,0.97073,0.35534,188.41,207.56,228.68,208,O1_contact,sun,350,170.35,570.82,,,0,,,
4.7029,4.2902,0,0.86368,0.041353,209.77,226.12,245.34,226,O1_contact,sun,366,212.68,499.99,,,0,,,
1.1724e+12,4.1867e+07,7.7432e+11,1,0.99996,2.4389,7.969,19.241,2.5,midm_charge_only,sun,0,,,,,18495,,,
1.0486e+08,2.1679e+06,2.3401e+07,0.99841,0.97962,51.736,69.219,118.44,58,midm_charge_only,sun,200,,,,,10.794,,,
3.7709e+05,97226,0,0.97195,0.74397,141.24,175.03,213.39,172,midm_charge_only,sun,300,,,,,0,,,
8.5798e+10,2.0281e+09,6.5236e+10,0.99557,0.97618,6.2597,13.638,36.06,8.5,midm_spin_only,sun,0,,,,,32.167,,,
4.8662e+08,1.3409e+08,2.8312e+06,0.94539,0.72171,109.56,166.63,221.44,172,midm_spin_only,sun,200,,,,,0.021113,,,
1.8501e+07,9.4002e+06,0,0.88335,0.48357,161.35,201.75,241.55,199,midm_spin_only,sun,300,,,,,0,,,
