ROI,Omega_sr,D_NFW_GeVcm-2sr,Dbar_NFW_GeVcm-2sr-1,D_Einasto_GeVcm-2sr,Dbar_Einasto_GeVcm-2sr-1,D_Burkert_GeVcm-2sr,Dbar_Burkert_GeVcm-2sr-1
cone_5,0.02390453394455124,2.3537065790758123e+21,9.84627679642469e+22,3.062190230406904e+21,1.281008129047793e+23,9.159323736969478e+20,3.831626150175264e+22
cone_10,0.09625729443982398,7.480072221033968e+21,7.77091467671595e+22,9.336908470122476e+21,9.699949000706143e+22,3.611428877200839e+21,3.7518495592648855e+22
cone_16,0.2430081231475503,1.5587815423680254e+22,6.414524428969645e+22,1.871229506471429e+22,7.700275539082497e+22,8.802793185771026e+21,3.622427543471921e+22
cone_30,0.8420276208168931,3.928544225761298e+22,4.665576435544977e+22,4.438555574749783e+22,5.2712707576548595e+22,2.731989180895558e+22,3.24453629946856e+22
box_10,0.12207930436923227,9.01996996193031e+21,7.3886151371318096e+22,1.1147465129707851e+22,9.131330807711708e+22,4.544012336808702e+21,3.722180725297393e+22
box_30,1.043746094423855,4.545663863919741e+22,4.3551433516299145e+22,5.079970178237841e+22,4.86705550840118e+22,3.2688946935429377e+22,3.1318868746017765e+22
box_47.5,2.4530909432937875,8.039659155230857e+22,3.277358785743154e+22,8.629293519369704e+22,3.5177226278382785e+22,6.4507180487853354e+22,2.6296285779457886e+22
all_sky,12.566370614359172,2.0270216151472443e+23,1.6130525490240075e+22,2.0551840114654852e+23,1.6354634719408125e+22,1.780757022371879e+23,1.417081412780447e+22
anticentre_cone_30,0.8420276208168931,6.808790432814724e+21,8.086184187413207e+21,6.568328389199175e+21,7.800609180524162e+21,6.11217786385213e+21,7.258880484137088e+21
anticentre_cone_10,0.09625729443982398,7.618960931724376e+20,7.91520370073089e+21,7.348965623261489e+20,7.634710352113371e+21,6.823806589973426e+20,7.089131924686897e+21
high_lat_|b|>30,6.315910230654479,8.83232769012544e+22,1.398425146585752e+22,8.685186600938859e+22,1.3751282528977401e+22,8.193265315089358e+22,1.2972422051414021e+22
