model,delta_keV,f2_today,tau_gamma_s,f2_over_tau,Phi_cone10,Phi_box30,Phi10_over_SPI_lo,Phi10_over_SPI_hi,detectable_SPI,note
Higgsino (P007/P014/P026),300,0.0,0.06,0.0,0.0,0.0,0.0,0.0,no,"tau_nunubar 1.2e6 s, tau_gamma ~0.06 s: no chi2 today"
"photon-M1 composite / MiDM (P023, P042)",300,0.0,6.6e-05,0.0,0.0,0.0,0.0,0.0,no,tau = 66 us: chi2 decays in flight; f2(today) = 0
"dark photon, pure kinetic mixing (P011)",300,0.0012,inf,0.0,0.0,0.0,0.0,0.0,no,BR_gamma = 0 (on-shell mixing vanishes); invisible nu nubar only
"dark photon + dipole, exothermic boundary, BR_gamma=0.001",300,0.0012,7.2e+19,1.6666666666666666e-23,9.92075390551607e-06,6.0288739464752624e-05,3.3069179685053567,0.3306917968505357,marginal,f2(today) at P011/P026 exothermic bound; tau_gamma = tau_tot/BR_gamma
"dark photon + dipole, exothermic boundary, BR_gamma=0.01",300,0.0012,7.2e+18,1.6666666666666666e-22,9.920753905516071e-05,0.0006028873946475262,33.06917968505357,3.306917968505357,yes,f2(today) at P011/P026 exothermic bound; tau_gamma = tau_tot/BR_gamma
"dark photon + dipole, exothermic boundary, BR_gamma=0.1",300,0.0012,7.2e+17,1.6666666666666664e-21,0.000992075390551607,0.006028873946475262,330.69179685053564,33.06917968505356,yes,f2(today) at P011/P026 exothermic bound; tau_gamma = tau_tot/BR_gamma
"dark photon + dipole, exothermic boundary, BR_gamma=0.001",350,5.5e-05,4.8e+19,1.1458333333333333e-24,6.820518310042298e-07,4.1448508382017434e-06,0.22735061033474327,0.02273506103347433,no,f2(today) at P011/P026 exothermic bound; tau_gamma = tau_tot/BR_gamma
"dark photon + dipole, exothermic boundary, BR_gamma=0.01",350,5.5e-05,4.8e+18,1.1458333333333334e-23,6.820518310042299e-06,4.144850838201743e-05,2.273506103347433,0.2273506103347433,marginal,f2(today) at P011/P026 exothermic bound; tau_gamma = tau_tot/BR_gamma
"dark photon + dipole, exothermic boundary, BR_gamma=0.1",350,5.5e-05,4.8e+17,1.1458333333333334e-22,6.8205183100423e-05,0.00041448508382017435,22.73506103347433,2.273506103347433,yes,f2(today) at P011/P026 exothermic bound; tau_gamma = tau_tot/BR_gamma
"dark photon + dipole, exothermic boundary, BR_gamma=0.001",380,3.8e-07,3.1e+19,1.2258064516129033e-26,7.296554485347305e-09,4.434139547730194e-08,0.0024321848284491014,0.00024321848284491015,no,f2(today) at P011/P026 exothermic bound; tau_gamma = tau_tot/BR_gamma
"dark photon + dipole, exothermic boundary, BR_gamma=0.01",380,3.8e-07,3.1e+18,1.2258064516129033e-25,7.296554485347304e-08,4.4341395477301934e-07,0.02432184828449101,0.0024321848284491014,no,f2(today) at P011/P026 exothermic bound; tau_gamma = tau_tot/BR_gamma
"dark photon + dipole, exothermic boundary, BR_gamma=0.1",380,3.8e-07,3.1e+17,1.2258064516129033e-24,7.296554485347304e-07,4.434139547730193e-06,0.2432184828449101,0.02432184828449101,no,f2(today) at P011/P026 exothermic bound; tau_gamma = tau_tot/BR_gamma
"dark photon m_A'=1 GeV, f2=0.5, no exothermic bound, BR_gamma=0.001",300,0.42288914140991135,2.6e+21,1.6264966977304282e-22,9.681644079790884e-05,0.0005883566138985018,32.272146932636275,3.227214693263628,yes,EXCLUDED by LZ exothermic (P011); shown for comparison
"dark photon m_A'=1 GeV, f2=0.5, no exothermic bound, BR_gamma=0.01",300,0.42288914140991135,2.6e+20,1.6264966977304282e-21,0.0009681644079790883,0.005883566138985018,322.72146932636275,32.272146932636275,yes,EXCLUDED by LZ exothermic (P011); shown for comparison
"dark photon m_A'=1 GeV, f2=0.5, no exothermic bound, BR_gamma=0.1",300,0.42288914140991135,2.6e+19,1.6264966977304282e-20,0.009681644079790882,0.05883566138985017,3227.2146932636274,322.7214693263627,yes,EXCLUDED by LZ exothermic (P011); shown for comparison
"generic long-lived chi2, photon channel only",300,0.402101773013269,1e+19,4.02101773013269e-20,0.02393491641021795,0.14545325418907246,7978.30547007265,797.830547007265,yes,f2(today) = 0.42 exp(-t_U/tau); exothermic bound violated if this chi is the LZ scatterer
"generic long-lived chi2, photon channel only",300,0.418174898500301,1e+20,4.18174898500301e-21,0.0024891661544913886,0.015126742503830412,829.7220514971295,82.97220514971295,yes,f2(today) = 0.42 exp(-t_U/tau); exothermic bound violated if this chi is the LZ scatterer
"generic long-lived chi2, photon channel only",300,0.419817131972335,1e+21,4.19817131972335e-22,0.00024989414709702593,0.0015186147415391863,83.29804903234198,8.329804903234198,yes,f2(today) = 0.42 exp(-t_U/tau); exothermic bound violated if this chi is the LZ scatterer
"generic long-lived chi2, photon channel only",300,0.4199817096133114,1e+22,4.199817096133114e-23,2.4999211115349455e-05,0.00015192100722502994,8.333070371783151,0.8333070371783151,marginal,f2(today) = 0.42 exp(-t_U/tau); exothermic bound violated if this chi is the LZ scatterer
"generic long-lived chi2, photon channel only",300,0.41999817092548675,1e+23,4.199981709254868e-24,2.5000190967111774e-06,1.5192696181559588e-05,0.8333396989037257,0.08333396989037258,no,f2(today) = 0.42 exp(-t_U/tau); exothermic bound violated if this chi is the LZ scatterer
"generic long-lived chi2, photon channel only",300,0.41999981709219025,1e+24,4.199998170921902e-25,2.5000288954400287e-07,1.519275572874889e-06,0.08333429651466762,0.008333429651466762,no,f2(today) = 0.42 exp(-t_U/tau); exothermic bound violated if this chi is the LZ scatterer
"generic long-lived chi2, photon channel only",300,0.41999998170921543,1e+25,4.199999817092154e-26,2.5000298753150262e-08,1.5192761683480652e-07,0.008333432917716753,0.0008333432917716753,no,f2(today) = 0.42 exp(-t_U/tau); exothermic bound violated if this chi is the LZ scatterer
"generic long-lived chi2, photon channel only",300,0.4199999981709215,1e+26,4.199999981709215e-27,2.5000299733025473e-09,1.519276227895396e-08,0.0008333433244341824,8.333433244341824e-05,no,f2(today) = 0.42 exp(-t_U/tau); exothermic bound violated if this chi is the LZ scatterer
"generic chi2, f2 capped at exothermic 1.2e-3",300,0.0012,1e+18,1.2e-21,0.0007142942811971571,0.004340789241462189,238.0980937323857,23.80980937323857,yes,f2 fixed by LZ; tau_gamma free (needs an extra fast invisible channel)
