E0_keV,criterion,E_max_ratio_keV,z_at_Emax,f2_over_tau_max,tau_min_f2_0p42,decay_dIdE_at_E0_for_1em22,cxb_dIdE_at_E0,cxb_E2dNdE_at_E0
300.0,100%_Gruber,300.0,0.0,3.255008422633564e-20,1.2903192418168496e+19,4.603309935589089e-07,0.00014983812585988717,13.485431327389845
300.0,10%_Gruber,300.0,0.0,3.2550084226335646e-21,1.2903192418168493e+20,4.603309935589089e-07,0.00014983812585988717,13.485431327389845
300.0,100%_half-Gruber,300.0,0.0,1.627504211316782e-20,2.5806384836336992e+19,4.603309935589089e-07,0.00014983812585988717,13.485431327389845
300.0,10%_half-Gruber,300.0,0.0,1.6275042113167823e-21,2.5806384836336986e+20,4.603309935589089e-07,0.00014983812585988717,13.485431327389845
350.0,100%_Gruber,350.0,0.0,2.5769703897268268e-20,1.629820822444616e+19,3.9456942295138125e-07,0.00010167937181048569,12.455723046784497
350.0,10%_Gruber,350.0,0.0,2.576970389726827e-21,1.629820822444616e+20,3.9456942295138125e-07,0.00010167937181048569,12.455723046784497
350.0,100%_half-Gruber,350.0,0.0,1.2884851948634134e-20,3.259641644889232e+19,3.9456942295138125e-07,0.00010167937181048569,12.455723046784497
350.0,10%_half-Gruber,350.0,0.0,1.2884851948634136e-21,3.259641644889232e+20,3.9456942295138125e-07,0.00010167937181048569,12.455723046784497
380.0,100%_Gruber,380.0,0.0,2.2757482588624874e-20,1.8455468365817106e+19,3.6341920530671495e-07,8.270506225658686e-05,11.942610989851143
380.0,10%_Gruber,380.0,0.0,2.2757482588624874e-21,1.845546836581711e+20,3.6341920530671495e-07,8.270506225658686e-05,11.942610989851143
380.0,100%_half-Gruber,380.0,0.0,1.1378741294312437e-20,3.691093673163421e+19,3.6341920530671495e-07,8.270506225658686e-05,11.942610989851143
380.0,10%_half-Gruber,380.0,0.0,1.1378741294312437e-21,3.691093673163422e+20,3.6341920530671495e-07,8.270506225658686e-05,11.942610989851143
