instrument,ROI,sens_case,S_ph_cm2_s,f2_over_tau_max_NFW,f2_over_tau_max_Einasto,f2_over_tau_max_Burkert,tau_min_f2_0p42_NFW,tau_min_f2_1p2em3_NFW
SPI 1 Ms point-like (instrument paper),cone_5,optimistic,2e-05,1.067794152939266e-22,8.207439557201744e-23,2.743951622462681e-22,3.9333423848022207e+21,1.1238121099434916e+19
SPI 1 Ms point-like (instrument paper),cone_5,conservative,5e-05,2.669485382348165e-22,2.0518598893004357e-22,6.859879056156702e-22,1.5733369539208882e+21,4.495248439773967e+18
"SPI full mission, inner 10 deg",cone_10,optimistic,3e-06,5.039939552597846e-24,4.037643933611679e-24,1.0438835465118587e-23,8.333433280633498e+22,2.3809809373238565e+20
"SPI full mission, inner 10 deg",cone_10,conservative,3e-05,5.039939552597846e-23,4.037643933611679e-23,1.0438835465118587e-22,8.3334332806335e+21,2.3809809373238567e+19
"SPI full mission, |l|,|b|<30 deg",box_30,optimistic,1e-05,2.764474230948337e-24,2.473709524554383e-24,3.844226196451535e-24,1.5192762345117657e+23,4.3407892414621876e+20
"SPI full mission, |l|,|b|<30 deg",box_30,conservative,0.0001,2.764474230948337e-23,2.4737095245543827e-23,3.8442261964515347e-23,1.5192762345117658e+22,4.3407892414621884e+19
"SPI 16 yr DM-line search |l|,|b|<47.5",box_47.5,optimistic,1e-05,1.5630476829584367e-24,1.456245587909616e-24,1.948057645571009e-24,2.6870581401909047e+23,7.677308971974014e+20
"SPI 16 yr DM-line search |l|,|b|<47.5",box_47.5,conservative,0.0001,1.5630476829584365e-23,1.4562455879096157e-23,1.9480576455710088e-23,2.687058140190905e+22,7.677308971974014e+19
"COSI 2 yr survey, inner 10 deg",cone_10,optimistic,3e-06,5.039939552597846e-24,4.037643933611679e-24,1.0438835465118587e-23,8.333433280633498e+22,2.3809809373238565e+20
"COSI 2 yr survey, inner 10 deg",cone_10,conservative,3e-05,5.039939552597846e-23,4.037643933611679e-23,1.0438835465118587e-22,8.3334332806335e+21,2.3809809373238567e+19
"e-ASTROGAM/AMEGO concept, inner 10 deg",cone_10,optimistic,1e-06,1.6799798508659487e-24,1.3458813112038928e-24,3.4796118217061956e-24,2.5000299841900498e+23,7.142942811971571e+20
"e-ASTROGAM/AMEGO concept, inner 10 deg",cone_10,conservative,5e-06,8.399899254329744e-24,6.729406556019465e-24,1.7398059108530982e-23,5.000059968380099e+22,1.4285885623943139e+20
