case,n_mc,mean_cos_gamma,A_FB,frac_gamma_lt30,frac_gamma_lt60,mean_cos2_gamma,gamma_median_deg,gamma_90pct_deg,thetaR_median_deg,thetaR_max_deg,mean_cos_obs,A_FB_obs,mean_cos2_axial_obs,N3_ideal_dipole,N3_ideal_FB,N3_obs_dipole,N3_obs_FB,N3_obs_axial,N5_obs_dipole,vmin_kms,frac_halo_above_vmin,n_eff,thetaR_max_analytic_deg,E_median_keV,E_10_keV,E_90_keV
June Xe E=248 delta=0,69989,0.5941680542849901,0.8844136563704863,0.22097466325306542,0.6766168979057743,0.453747969061431,48.119400721196854,82.04046812433619,37.59116554105513,65.193464050405,0.2087992525312961,0.3138261045489735,0.4137242004733418,8.497724727890601,11.506192339810482,68.81187241959806,91.38278242649787,123.78743401001896,191.1440900544391,338.69346091448756,0.5573238041303696,69989.0,65.27687857605203,,,
June Xe E=248 delta=300,14005,0.8867677462159796,0.9999999999999999,0.6470877874966575,0.9999999999999999,0.7938905994464572,25.110674036041537,40.79844456711191,14.998058379787253,29.52647483400614,0.3144003643026966,0.39647782172172097,0.6477283169940167,3.81506092486213,9.000000000000002,30.349753879825887,57.25385214439376,8.093544724465506,84.30487188840524,703.7278975777916,0.007583493924538764,14005.0,29.65801645478409,,,
June Xe E=248 delta=350,5829,0.9472532304248125,1.0,0.9635161189371341,1.0,0.8988081261902557,17.183107646066414,27.32109320988007,10.127290545057345,19.096543531357696,0.346224645064999,0.4119688794119205,0.7197489596544684,3.3434055932517768,9.0,25.026798518500254,53.02903072515045,5.357727557486282,69.51888477361182,764.5669703550092,0.0009885261357923903,5829.0,19.244423062606526,,,
June Xe E=248 delta=366,3252,0.9694484193581463,1.0,1.0,1.0,0.9403398179911593,13.033624067066548,20.613587701194387,7.724020083523583,14.450558097916318,0.35186667169782476,0.41242631839527616,0.7523060591380191,3.192065842694407,9.0,24.230645769237732,52.91146260545857,4.557414003348888,67.3073493589937,784.0354736437185,0.00028500481688491084,3252.0,14.496787924211642,,,
June Xe E=248 delta=380,1129,0.989141724696463,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9784608958887009,7.9347641557780255,12.038295306387676,4.51811442462108,8.3172916944416,0.3640938633851162,0.4227737252305927,0.7660574951525263,3.066226344936901,9.000000000000002,22.630520163585793,50.35313697118088,4.272358582532944,62.86255600996054,801.0704140213393,3.081687425473542e-05,1129.0,8.429427519233405,,,
June I E=248 delta=0,69484,0.5996010233923421,0.888338428661197,0.22590753116899945,0.6837104248567372,0.4587826663323956,47.919798573244826,81.76707553415494,37.14133592105394,64.85708813184552,0.20987362936479853,0.31035222159287423,0.4202771570835996,8.344427081017182,11.404745809058253,68.1091576254732,93.43999195100868,105.83090605560923,189.19210451520334,343.34658487300493,0.5434893372693518,69484.0,64.91391085994518,,,
June I E=248 delta=300,12329,0.8964353611017639,1.0,0.6844865489330221,1.0,0.8097776135368542,23.973526927493424,38.87230699231113,14.279503839637702,28.00444695661905,0.3164059915233466,0.3974870583526311,0.655512249398746,3.7332175229953966,9.0,29.96621265416811,56.9634812893994,7.707184488346708,83.23947959491143,714.7793865165702,0.005665044060318376,12329.0,28.037370668708913,,,
June I E=248 delta=350,4196,0.960749967699914,1.0,1.0,1.0,0.9238697163513296,14.875088012538747,23.458320938919112,8.58099490417298,16.387901603711374,0.3503010231482585,0.4115445215573199,0.7312037326764116,3.2501282431106113,9.0,24.44772451404352,53.138447259647094,5.053668229716283,67.91034587234311,776.6848534571643,0.0004900497316826257,4196.0,16.44644169249816,,,
June I E=248 delta=366,1721,0.9833376999534402,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9670947888086833,9.763298377808075,15.061610563387433,5.620669765616122,10.27167473280481,0.3298593566442113,0.3748897579751808,0.7748746135010378,3.102529182136618,9.000000000000002,27.571706038653595,64.03764587762255,4.10343314463557,76.58807232959332,796.4946028781545,7.312946962774745e-05,1721.0,10.407840391777473,,,
Sun Xe E=248 delta=0,73882,0.5811434148345689,0.8667244249623892,0.21642393593566395,0.6639645299495105,0.44604135049927424,48.86354561104204,83.87537181785048,37.069027775152065,64.66525384856904,0.20467593039959472,0.3086322031811327,0.40942529340710254,8.882896720859309,11.980651585920356,71.61231415941472,94.48438297636167,138.1695821731569,198.92309488726312,338.69346091448756,0.5211566666593882,73882.0,64.76895672229867,,,
