UTC_hour,apex_alt_deg,apex_az_deg
0.000000000000000000e+00,2.913870983884960658e-02,1.487585872581106905e+01
8.333333333333332871e-02,2.658366214902113112e-01,1.574987443396339870e+01
1.666666666666666574e-01,5.156659460217878355e-01,1.662024514481210957e+01
2.500000000000000000e-01,7.785129925537603857e-01,1.748680832101210569e+01
3.333333333333333148e-01,1.054259607859997949e+00,1.834940846005236992e+01
4.166666666666666297e-01,1.342783126870218835e+00,1.920789631476237957e+01
5.000000000000000000e-01,1.643956904253161655e+00,2.006212994420119955e+01
5.833333333333332593e-01,1.957650243338254770e+00,2.091197389441331111e+01
6.666666666666666297e-01,2.283728959028552996e+00,2.175730019275206928e+01
7.500000000000000000e-01,2.622055281939935423e+00,2.259798749136766105e+01
8.333333333333332593e-01,2.972488400665851405e+00,2.343392189499147449e+01
9.166666666666666297e-01,3.334884577207556156e+00,2.426499662938432067e+01
1.000000000000000000e+00,3.709097231347554313e+00,2.509111170071282260e+01
1.083333333333333259e+00,4.094977519649757980e+00,2.591217464524711644e+01
1.166666666666666519e+00,4.492374165592192270e+00,2.672809959569629967e+01
1.250000000000000000e+00,4.901134101680356459e+00,2.753880809843842314e+01
1.333333333333333259e+00,5.321102265608636195e+00,2.834422815568681386e+01
1.416666666666666519e+00,5.752122257368495362e+00,2.914429500027208064e+01
1.500000000000000000e+00,6.194036101334736699e+00,2.993895012150350254e+01
1.583333333333333259e+00,6.646684853821017924e+00,3.072814189535959528e+01
1.666666666666666519e+00,7.109908636530320791e+00,3.151182512527202562e+01
1.750000000000000000e+00,7.583546637440995219e+00,3.228996058579458150e+01
1.833333333333333259e+00,8.067437735871184401e+00,3.306251560285710411e+01
1.916666666666666519e+00,8.561420174105720093e+00,3.382946305759191574e+01
2.000000000000000000e+00,9.065332248659117909e+00,3.459078204676591639e+01
2.083333333333333037e+00,9.579011945255953009e+00,3.534645688599696456e+01
2.166666666666666519e+00,1.010229763651357793e+01,3.609647774766759198e+01
2.250000000000000000e+00,1.063502768058105019e+01,3.684083966780229247e+01
2.333333333333333037e+00,1.117704105102021828e+01,3.757954306672331057e+01
2.416666666666666519e+00,1.172817726618706047e+01,3.831259325682326988e+01
2.500000000000000000e+00,1.228827628860823928e+01,3.903999996299111785e+01
2.583333333333333037e+00,1.285717916446537323e+01,3.976177782049861520e+01
2.666666666666666519e+00,1.343472753459211333e+01,4.047794540691901943e+01
2.750000000000000000e+00,1.402076434909542613e+01,4.118852582990411548e+01
2.833333333333333037e+00,1.461513334516975959e+01,4.189354577427331350e+01
2.916666666666666519e+00,1.521767976594142624e+01,4.259303608213348014e+01
3.000000000000000000e+00,1.582824980641716728e+01,4.328703081739964631e+01
3.083333333333333037e+00,1.644669125313957991e+01,4.397556774856715833e+01
3.166666666666666519e+00,1.707285331694323105e+01,4.465868789231551261e+01
3.250000000000000000e+00,1.770658644049489894e+01,4.533643507462650035e+01
3.333333333333333037e+00,1.834774294675569450e+01,4.600885640752524353e+01
3.416666666666666519e+00,1.899617641165584203e+01,4.667600140435390443e+01
3.500000000000000000e+00,1.965174239866934869e+01,4.733792254878802197e+01
3.583333333333333037e+00,2.031429780486548609e+01,4.799467443233243813e+01
3.666666666666666519e+00,2.098370160055703693e+01,4.864631432339568562e+01
3.750000000000000000e+00,2.165981415028092627e+01,4.929290132765920873e+01
3.833333333333333037e+00,2.234249786586157782e+01,4.993449687250767965e+01
3.916666666666666519e+00,2.303161696374068867e+01,5.057116431920080402e+01
4.000000000000000000e+00,2.372703720204762945e+01,5.120296859326838756e+01
4.083333333333333037e+00,2.442862654508316922e+01,5.182997667159617805e+01
4.166666666666666075e+00,2.513625442679651911e+01,5.245225680013792413e+01
4.250000000000000000e+00,2.584979251164783420e+01,5.306987907099364321e+01
4.333333333333333037e+00,2.656911393940929500e+01,5.368291466492486563e+01
4.416666666666666075e+00,2.729409409150019172e+01,5.429143643114733209e+01
4.500000000000000000e+00,2.802460981749839419e+01,5.489551815382070288e+01
4.583333333333333037e+00,2.876054010911104797e+01,5.549523505597431239e+01
4.666666666666666075e+00,2.950176580464675880e+01,5.609066349046518951e+01
4.750000000000000000e+00,3.024816927806699596e+01,5.668188064875422327e+01
4.833333333333333037e+00,3.099963512478149852e+01,5.726896507148874349e+01
4.916666666666666075e+00,3.175604934731406814e+01,5.785199597490872492e+01
5.000000000000000000e+00,3.251730014577898231e+01,5.843105384913994271e+01
5.083333333333333037e+00,3.328327708920867423e+01,5.900621980915952491e+01
5.166666666666666075e+00,3.405387191321472784e+01,5.957757620075175709e+01
5.250000000000000000e+00,3.482897767800935895e+01,6.014520597676368396e+01
5.333333333333333037e+00,3.560848946848289387e+01,6.070919323695528647e+01
5.416666666666666075e+00,3.639230406396542605e+01,6.126962300761771019e+01
5.500000000000000000e+00,3.718031959624396876e+01,6.182658103988811149e+01
5.583333333333333037e+00,3.797243626167361441e+01,6.238015436670679748e+01
5.666666666666666075e+00,3.876855544997477665e+01,6.293043074856887387e+01
5.750000000000000000e+00,3.956858056715680760e+01,6.347749932272275686e+01
5.833333333333333037e+00,4.037241615406040296e+01,6.402145008109395974e+01
5.916666666666666075e+00,4.117996871636626821e+01,6.456237453958073047e+01
6.000000000000000000e+00,4.199114583360332631e+01,6.510036525224478510e+01
6.083333333333333037e+00,4.280585688663344968e+01,6.563551643473324759e+01
6.166666666666666075e+00,4.362401270518036256e+01,6.616792387829048039e+01
6.250000000000000000e+00,4.444552520640727522e+01,6.669768489133632272e+01
6.333333333333333037e+00,4.527030813345945148e+01,6.722489897547954740e+01
6.416666666666666075e+00,4.609827614337198298e+01,6.774966746022742825e+01
6.500000000000000000e+00,4.692934566061214241e+01,6.827209430087864916e+01
6.583333333333333037e+00,4.776343395747403520e+01,6.879228578083299794e+01
6.666666666666666075e+00,4.860046001382243475e+01,6.931035137497872256e+01
6.750000000000000000e+00,4.944034359011030233e+01,6.982640353722064219e+01
6.833333333333333037e+00,5.028300598100171470e+01,7.034055858322258814e+01
6.916666666666666075e+00,5.112836964608398915e+01,7.085293693149715466e+01
7.000000000000000000e+00,5.197635783651757180e+01,7.136366341644323086e+01
7.083333333333333037e+00,5.282689535603880415e+01,7.187286836202106599e+01
7.166666666666666075e+00,5.367990761790186838e+01,7.238068771609678720e+01
7.250000000000000000e+00,5.453532152339114702e+01,7.288726438315039502e+01
7.333333333333333037e+00,5.539306451246679330e+01,7.339274858825105241e+01
7.416666666666666075e+00,5.625306544642315743e+01,7.389729947409961142e+01
7.500000000000000000e+00,5.711525365214073702e+01,7.440108578397671124e+01
7.583333333333333037e+00,5.797955969202029536e+01,7.490428776584462867e+01
7.666666666666666075e+00,5.884591498166582824e+01,7.540709864478959901e+01
7.750000000000000000e+00,5.971425140110541463e+01,7.590972639270475497e+01
7.833333333333333037e+00,6.058450206799519577e+01,7.641239653010289601e+01
7.916666666666666075e+00,6.145660036341948995e+01,7.691535435304561474e+01
8.000000000000000000e+00,6.233048082006124702e+01,7.741886877335731754e+01
8.083333333333332149e+00,6.320607813811119513e+01,7.792323573867554387e+01
8.166666666666666075e+00,6.408332806998176068e+01,7.842878355012382485e+01
8.250000000000000000e+00,6.496216642319008372e+01,7.893587811990248326e+01
8.333333333333332149e+00,6.584252981878219657e+01,7.944493053004359240e+01
8.416666666666666075e+00,6.672435526649415749e+01,7.995640554604823080e+01
8.500000000000000000e+00,6.760757972539786920e+01,8.047083221274903053e+01
8.583333333333332149e+00,6.849214083433395217e+01,8.098881783265889567e+01
8.666666666666666075e+00,6.937797584831432118e+01,8.151106442362414839e+01
8.750000000000000000e+00,7.026502244688772691e+01,8.203839091256521954e+01
8.833333333333332149e+00,7.115321761089685992e+01,8.257176037891274234e+01
8.916666666666666075e+00,7.204249835704888483e+01,8.311231674421024707e+01
9.000000000000000000e+00,7.293280050799795333e+01,8.366143169775216393e+01
9.083333333333332149e+00,7.382405916591271478e+01,8.422076848494302226e+01
9.166666666666666075e+00,7.471620787645635176e+01,8.479236724111956391e+01
9.250000000000000000e+00,7.560917762078989313e+01,8.537876226334448404e+01
9.333333333333332149e+00,7.650289675604682316e+01,8.598314687327308548e+01
9.416666666666666075e+00,7.739728878727459005e+01,8.660960720951798919e+01
9.500000000000000000e+00,7.829227148493509958e+01,8.726346493699445261e+01
9.583333333333332149e+00,7.918775317620806220e+01,8.795178863221232746e+01
9.666666666666666075e+00,8.008362948115104984e+01,8.868418390301560805e+01
9.750000000000000000e+00,8.097977562165699794e+01,8.947405176897227363e+01
9.833333333333332149e+00,8.187603609464018461e+01,9.034067945261833188e+01
9.916666666666666075e+00,8.277220486341630590e+01,9.131287844825074274e+01
1.000000000000000000e+01,8.366798909382687555e+01,9.243569214556384850e+01
1.008333333333333215e+01,8.456293876091835671e+01,9.378367566225094265e+01
1.016666666666666607e+01,8.545629078638944520e+01,9.548966270966627690e+01
1.025000000000000000e+01,8.634658982925067505e+01,9.781493582805836695e+01
1.033333333333333215e+01,8.723058364441418178e+01,1.013506583245954715e+02
1.041666666666666607e+01,8.809910791012561049e+01,1.077510556364435672e+02
1.050000000000000000e+01,8.891394404966423792e+01,1.235509195561809435e+02
1.058333333333333215e+01,8.939286744764783066e+01,1.800352234346782154e+02
1.066666666666666607e+01,8.891332810714595780e+01,2.364713343561712122e+02
1.075000000000000000e+01,8.809840409694470509e+01,2.522564526206257369e+02
1.083333333333333215e+01,8.722985911221616107e+01,2.586530698994280897e+02
1.091666666666666607e+01,8.634585770940005034e+01,2.621873599428296870e+02
1.100000000000000000e+01,8.545555519357299090e+01,2.645119491343681375e+02
1.108333333333333215e+01,8.456220138996475555e+01,2.662175590146138120e+02
1.116666666666666607e+01,8.366725078000578719e+01,2.675653132469495290e+02
1.125000000000000000e+01,8.277146607610579565e+01,2.686879774596931156e+02
1.133333333333333215e+01,8.187529724667757591e+01,2.696600736226370145e+02
1.141666666666666607e+01,8.097903667165365960e+01,2.705266279261540490e+02
1.150000000000000000e+01,8.008289069492870738e+01,2.713164414628573127e+02
1.158333333333333215e+01,7.918701466729450544e+01,2.720487955116547596e+02
1.166666666666666607e+01,7.829153334663600106e+01,2.727370872513075142e+02
1.175000000000000000e+01,7.739655109969326929e+01,2.733909197625226284e+02
1.183333333333333215e+01,7.650215959010192535e+01,2.740173599044353523e+02
1.191666666666666607e+01,7.560844104192214843e+01,2.746217281412785951e+02
1.200000000000000000e+01,7.471547194552744031e+01,2.752081097527870384e+02
1.208333333333333215e+01,7.382332406033762595e+01,2.757796973568745216e+02
1.216666666666666607e+01,7.293206604432781148e+01,2.763390250103503263e+02
1.225000000000000000e+01,7.204176470933845167e+01,2.768881322671292651e+02
1.233333333333333215e+01,7.115248483194163498e+01,2.774286821769379117e+02
1.241666666666666607e+01,7.026429058906654745e+01,2.779620462173230635e+02
1.250000000000000000e+01,6.937724496353879999e+01,2.784893681432116068e+02
1.258333333333333215e+01,6.849141097424902114e+01,2.790116109013920322e+02
1.266666666666666607e+01,6.760685094154118246e+01,2.795295933121435610e+02
1.275000000000000000e+01,6.672362761042343493e+01,2.800440173068067224e+02
1.283333333333333215e+01,6.584180346033015496e+01,2.805554900487284158e+02
