target,A,note,ceiling_keV_m400,ceiling_keV_m1000,ceiling_keV_m4000,ceiling_keV_1TeV_sunframe,delta_max_248keV_1TeV_June,elastic_Emax_keV_1TeV_June,vmin_248keV_elastic_1TeV_kms,window_d300_keV,live_d300,window_d350_keV,live_d350,window_d366_keV,live_d366,window_d380_keV,live_d380
He,4.0,He (CYGNUS He:SF6 buffer),13.5,13.5,13.6,13.0,-132.8,54.0,1735.9,blind,False,blind,False,blind,False,blind,False
C,12.0,"C (CF4, emulsion gel, diamond)",39.7,40.3,40.7,38.8,-49.6,159.5,1009.7,blind,False,blind,False,blind,False,blind,False
O,16.0,"O (CaWO4, emulsion gel)",52.4,53.6,54.2,51.6,-19.4,211.2,877.6,blind,False,blind,False,blind,False,blind,False
F,19.0,"F (CF4, SF6, C3F8, CF3I)",61.8,63.4,64.3,61.1,0.7,249.4,807.6,blind,False,blind,False,blind,False,blind,False
S,32.0,"S (SF6, CS2)",101.2,105.6,107.9,101.7,73.1,410.2,629.7,blind,False,blind,False,blind,False,blind,False
Ca,40.0,Ca (CaWO4),124.4,131.1,134.7,126.2,110.0,505.4,567.3,blind,False,blind,False,blind,False,blind,False
Br,79.9,Br 79/81 (AgBr emulsion),228.9,252.7,266.6,243.3,252.5,940.9,415.8,blind,False,blind,False,blind,False,blind,False
Ag,107.9,Ag 107/109 (AgBr emulsion),293.1,333.2,357.7,320.8,330.2,1211.1,366.5,142-524,True,blind,False,blind,False,blind,False
I,126.9,"I (CF3I gas, NaI)",332.9,385.7,418.9,371.3,376.8,1379.6,343.3,96-747,True,167-587,True,207-518,True,266-434,True
Xe,131.4,Xe (LXe TPC; low-pressure / HP gas TPC),341.9,397.8,433.3,383.0,387.2,1417.8,338.7,90-793,True,151-643,True,182-583,True,220-520,True
W,183.8,W (CaWO4 crystal),437.4,533.3,599.0,513.4,496.7,1821.5,298.8,52-1257,True,78-1146,True,88-1108,True,98-1075,True
