medium,E_keV,range_mm,range_um
F in CF4 @ 40 Torr,100.0,2.0,2000.0
F in CF4 @ 40 Torr,250.0,4.162766037009366,4162.766037009365
F in CF4 @ 40 Torr,300.0,4.816449370561385,4816.449370561385
F in He:SF6 (740:20 Torr),100.0,1.1968718123087385,1196.8718123087385
F in He:SF6 (740:20 Torr),250.0,2.4911486654663326,2491.1486654663327
F in He:SF6 (740:20 Torr),300.0,2.8823362435185436,2882.3362435185436
S in SF6 @ 20 Torr,100.0,1.5,1500.0
S in SF6 @ 20 Torr,250.0,3.1220745277570243,3122.0745277570245
S in SF6 @ 20 Torr,300.0,3.6123370279210385,3612.3370279210385
Xe in LXe,100.0,7e-05,0.06999999999999999
Xe in LXe,250.0,0.00014569681129532778,0.14569681129532777
Xe in LXe,300.0,0.00016857572796964845,0.16857572796964845
I in CF3I @ 40 Torr,100.0,0.473367523006636,473.36752300663596
I in CF3I @ 40 Torr,250.0,0.9852591238976369,985.2591238976369
I in CF3I @ 40 Torr,300.0,1.1399753541147568,1139.9753541147568
Xe in Xe gas @ 40 Torr,100.0,0.7062657864204113,706.2657864204112
Xe in Xe gas @ 40 Torr,250.0,1.4700096144062993,1470.0096144062993
Xe in Xe gas @ 40 Torr,300.0,1.7008467012268156,1700.8467012268156
Xe in Xe gas @ 10 bar,100.0,0.0037171883495811116,3.7171883495811118
Xe in Xe gas @ 10 bar,250.0,0.007736892707401574,7.736892707401575
Xe in Xe gas @ 10 bar,300.0,0.008951824743299029,8.95182474329903
Ag in AgBr emulsion (NIT),100.0,0.0001,0.1
Ag in AgBr emulsion (NIT),250.0,0.0002081383018504683,0.2081383018504683
Ag in AgBr emulsion (NIT),300.0,0.00024082246852806925,0.24082246852806927
W in CaWO4,100.0,3e-05,0.030000000000000002
W in CaWO4,250.0,6.244149055514049e-05,0.06244149055514049
W in CaWO4,300.0,7.224674055842078e-05,0.07224674055842079
