set,output,n,n_total,frac_undefined,p2p5,p16,median,p84,p97p5,half68,half95,mean,std,median_incl_inf,p84_incl_inf,p97p5_incl_inf,rho_rho0,S1_rho0,rho_v0,S1_v0,rho_vesc,S1_vesc,rho_dVsun,S1_dVsun,rho_k,S1_k,rho_frame_idx,S1_frame_idx
A_joint,log10kappa_300,400,400,0,-4.672,-4.353,-3.836,-3.072,-2.266,0.6404,1.203,-3.75,0.6254,-3.84,-3.074,-2.266,-0.1281,0.04047,-0.655,0.4042,-0.7645,0.5715,-0.1657,0.04336,0.4535,0.213,-0.03693,0.02611
A_joint,log10kappa_350,390,400,0.025,-3.693,-3.075,-1.838,0.6634,3.874,1.869,3.783,-1.196,2.167,-1.772,1.091,8.76,-0.04334,0.02257,-0.617,0.328,-0.8803,0.6867,-0.1423,0.03663,0.3002,0.07482,-0.06012,0.01392
A_joint,log10kappa_366,347,400,0.1325,-3.217,-2.501,-0.9553,2.185,5.471,2.343,4.344,-0.2974,2.383,-0.3655,5.284,inf,-0.03707,0.03182,-0.5488,0.2674,-0.8795,0.6993,-0.09495,0.02236,0.3039,0.09199,-0.06186,0.005879
A_joint,log10kappa_380,295,400,0.2625,-2.756,-1.858,-0.1929,3.085,7.595,2.471,5.175,0.5469,2.72,1.325,inf,inf,-0.05573,0.02234,-0.4936,0.1864,-0.8666,0.6688,-0.1238,0.02769,0.3328,0.1074,-0.09711,0.02583
A_joint,deltaH_N1,400,400,0,312.6,328.6,355.4,384.5,405.4,27.96,46.41,356.9,25.67,,,,0.04394,0.03392,0.6321,0.4123,0.8967,0.787,0.1563,0.03876,-0.2828,0.1003,0.08791,0.03561
A_joint,deltamax_june,400,400,0,340.8,358.1,390.4,421.1,438.8,31.49,49.01,389.7,27.86,,,,-0.005678,0.03296,0.641,0.4242,0.9656,0.9144,0.1447,0.03653,-0.01538,0.01505,,
A_joint,log10d10,400,400,0,-0.6613,-0.6457,-0.6087,-0.5699,-0.5513,0.03791,0.05501,-0.6081,0.03278,,,,-0.9854,0.9532,-0.1321,0.04615,-0.04875,0.01741,-0.175,0.04966,0.05703,0.01112,0.01271,0.009578
A_joint,a1_300,400,400,0,0.2908,0.3757,0.553,0.8769,1.209,0.2506,0.4591,0.6119,0.2486,,,,-0.003137,0.03174,-0.5915,0.3471,-0.8967,0.7927,-0.1401,0.03728,0.3617,0.1186,,
A_joint,a1_350,397,400,0.0075,0.5469,0.7809,1.272,1.737,1.899,0.4781,0.6761,1.257,0.4173,,,,1.247e-05,0.03369,-0.6169,0.3843,-0.954,0.8897,-0.1374,0.03607,0.1537,0.04398,,
A_joint,a1_366,366,400,0.085,0.7077,0.9979,1.49,1.789,1.932,0.3955,0.6121,1.423,0.364,,,,0.032,0.02654,-0.5729,0.3187,-0.9518,0.8848,-0.09365,0.02973,0.1303,0.0415,,
A_joint,a1_380,313,400,0.2175,0.8708,1.199,1.602,1.812,1.932,0.3066,0.5306,1.527,0.2922,,,,-0.02353,0.01553,-0.4956,0.274,-0.9414,0.8647,-0.1337,0.03844,0.1624,0.04418,,
A_joint,a1_L10,400,400,0,0.01752,0.02019,0.02479,0.0296,0.03444,0.004702,0.00846,0.02507,0.004551,,,,-0.02391,0.01781,-0.8451,0.6929,-0.5849,0.3382,-0.1326,0.03549,0.402,0.2013,,
A_joint,pct248_300,400,400,0,98.77,99.16,99.42,99.53,99.58,0.1828,0.4073,99.35,0.2137,,,,0.01078,0.03251,0.5938,0.3238,0.8797,0.6911,0.1451,0.03546,-0.36,0.1051,0.06232,0.0202
A_joint,pct248_350,390,400,0.025,0,71.59,96.7,98.7,99.11,13.56,49.56,84,27.82,,,,-0.004423,0.01499,0.5908,0.2129,0.9335,0.5767,0.1354,0.03151,-0.1707,0.008781,0.09636,0.0146
A_sun,log10kappa_300,400,400,0,-4.633,-4.287,-3.775,-2.955,-2.053,0.6661,1.29,-3.626,0.6882,-3.776,-2.956,-2.054,-0.1134,0.03563,-0.6532,0.3977,-0.7826,0.6055,-0.1655,0.04409,0.4733,0.2263,,
A_sun,log10kappa_350,369,400,0.0775,-3.62,-2.939,-1.699,1.379,4.153,2.159,3.886,-0.9572,2.223,-1.403,2.381,inf,-0.01499,0.02374,-0.5932,0.295,-0.8853,0.7253,-0.09489,0.0299,0.3265,0.08489,,
A_sun,log10kappa_366,311,400,0.2225,-3.138,-2.343,-0.8883,2.294,7.298,2.318,5.218,-0.06311,2.629,0.1246,inf,inf,-0.05262,0.01227,-0.5146,0.1971,-0.8747,0.6913,-0.1262,0.03437,0.3569,0.1089,,
A_sun,log10kappa_380,264,400,0.34,-2.603,-1.717,0.0821,3.281,8.283,2.499,5.443,0.8274,2.916,2.014,inf,inf,-0.01416,0.02278,-0.4866,0.2173,-0.8635,0.59,-0.1117,0.0503,0.357,0.121,,
A_sun,deltaH_N1,400,400,0,308.8,325,350.8,376.9,399.9,25.96,45.59,351.5,25.29,,,,0.03891,0.03376,0.6396,0.4215,0.9104,0.8057,0.1579,0.04155,-0.2936,0.1136,,
A_sun,deltamax_june,400,400,0,340.8,358.1,390.4,421.1,438.8,31.49,49.01,389.7,27.86,,,,-0.005678,0.03296,0.641,0.4242,0.9656,0.9144,0.1447,0.03653,-0.01538,0.01505,,
A_sun,log10d10,400,400,0,-0.6581,-0.6449,-0.6066,-0.5679,-0.5489,0.03849,0.05461,-0.6061,0.03268,,,,-0.9871,0.9561,-0.1374,0.04791,-0.05287,0.01905,-0.1766,0.04778,0.07111,0.0136,,
A_sun,a1_300,400,400,0,0.2908,0.3757,0.553,0.8769,1.209,0.2506,0.4591,0.6119,0.2486,,,,-0.003137,0.03174,-0.5915,0.3471,-0.8967,0.7927,-0.1401,0.03728,0.3617,0.1186,,
A_sun,a1_350,397,400,0.0075,0.5469,0.7809,1.272,1.737,1.899,0.4781,0.6761,1.257,0.4173,,,,1.247e-05,0.03369,-0.6169,0.3843,-0.954,0.8897,-0.1374,0.03607,0.1537,0.04398,,
A_sun,a1_366,366,400,0.085,0.7077,0.9979,1.49,1.789,1.932,0.3955,0.6121,1.423,0.364,,,,0.032,0.02654,-0.5729,0.3187,-0.9518,0.8848,-0.09365,0.02973,0.1303,0.0415,,
A_sun,a1_380,313,400,0.2175,0.8708,1.199,1.602,1.812,1.932,0.3066,0.5306,1.527,0.2922,,,,-0.02353,0.01553,-0.4956,0.274,-0.9414,0.8647,-0.1337,0.03844,0.1624,0.04418,,
A_sun,a1_L10,400,400,0,0.01752,0.02019,0.02479,0.0296,0.03444,0.004702,0.00846,0.02507,0.004551,,,,-0.02391,0.01781,-0.8451,0.6929,-0.5849,0.3382,-0.1326,0.03549,0.402,0.2013,,
A_sun,pct248_300,400,400,0,98.47,99.08,99.39,99.52,99.58,0.219,0.553,99.3,0.2867,,,,0.004348,0.02904,0.5975,0.3047,0.8919,0.7092,0.1451,0.03654,-0.3657,0.09542,,
A_sun,pct248_350,369,400,0.0775,0,42.67,96.45,98.53,99.06,27.93,49.53,79.33,31.96,,,,-0.02786,0.02373,0.5741,0.2117,0.9415,0.7392,0.08787,0.0126,-0.1832,0.01624,,
A_june,log10kappa_300,400,400,0,-4.761,-4.457,-4.022,-3.339,-2.66,0.5589,1.05,-3.916,0.5549,-4.023,-3.339,-2.66,-0.1343,0.03971,-0.6589,0.4082,-0.7556,0.5626,-0.1693,0.04509,0.4929,0.2543,,
A_june,log10kappa_350,397,400,0.0075,-3.838,-3.269,-2.179,0.2722,3.193,1.77,3.515,-1.591,1.979,-2.17,0.3208,4.309,-0.05152,0.03444,-0.6377,0.3511,-0.8809,0.7106,-0.1454,0.03989,0.3358,0.0953,,
A_june,log10kappa_366,366,400,0.085,-3.453,-2.7,-1.41,1.837,4.689,2.269,4.071,-0.6093,2.347,-1.031,2.877,inf,-0.007861,0.02222,-0.5898,0.3003,-0.8895,0.7286,-0.1014,0.02712,0.3137,0.08381,,
A_june,log10kappa_380,313,400,0.2175,-3.003,-2.186,-0.6722,2.42,7.573,2.303,5.288,0.1626,2.694,0.3592,inf,inf,-0.05385,0.02162,-0.5131,0.2043,-0.8782,0.6944,-0.1358,0.0307,0.3507,0.1035,,
A_june,deltaH_N1,400,400,0,320.2,336.5,362.3,388.7,412,26.11,45.91,362.9,25.43,,,,0.0413,0.03383,0.6397,0.4216,0.9064,0.7985,0.1578,0.04175,-0.3033,0.1194,,
A_june,deltamax_june,400,400,0,340.8,358.1,390.4,421.1,438.8,31.49,49.01,389.7,27.86,,,,-0.005678,0.03296,0.641,0.4242,0.9656,0.9144,0.1447,0.03653,-0.01538,0.01505,,
