rho0,v0,vesc,dVsun,k,frame_idx,frame,vE_june,vE_sun,vmax_june,deltamax_june,deltamax_sun,a1_300,phase_300,a1_350,phase_350,a1_366,phase_366,a1_380,phase_380,a1_L10,phase_L10,Niso_300__sun,Niso_300__june,Niso_300__annual,Niso_300,pct248_300__sun,pct248_300__june,pct248_300__annual,pct248_300,Niso_350__sun,Niso_350__june,Niso_350__annual,Niso_350,pct248_350__sun,pct248_350__june,pct248_350__annual,pct248_350,Niso_366__sun,Niso_366__june,Niso_366__annual,Niso_366,Niso_380__sun,Niso_380__june,Niso_380__annual,Niso_380,deltaH_N1__sun,deltaH_N1__june,deltaH_N1__annual,deltaH_N1,Nhig_300__sun,Nhig_300__june,Nhig_300__annual,Nhig_300,Nhig_366__sun,Nhig_366__june,Nhig_366__annual,Nhig_366,NL10_lz__sun,NL10_lz__june,NL10_lz__annual,NL10_lz,log10kappa_300,log10kappa_300__sun,log10kappa_300__june,log10kappa_300__annual,log10kappa_350,log10kappa_350__sun,log10kappa_350__june,log10kappa_350__annual,log10kappa_366,log10kappa_366__sun,log10kappa_366__june,log10kappa_366__annual,log10kappa_380,log10kappa_380__sun,log10kappa_380__june,log10kappa_380__annual,d10,log10d10,d10__sun,log10d10__sun,d10__june,log10d10__june,d10__annual,log10d10__annual
0.404235,228.786,523.435,-0.671207,1.20512,2,annual,256.127,240.682,779.561,362.323,349.63,0.854193,151.654,1.71323,151.656,1.8172,151.659,,,0.0286982,151.652,1020.23,2600.08,1335.51,1335.51,99.104,99.2672,99.1814,99.1814,0.0115154,1.00554,0.249492,0.249492,30.4788,85.2543,82.297,82.297,0,0.00374423,0.000799167,0.000799167,0,0,0,0,325.867,337.177,331.116,331.116,51.5574,138.513,69.305,69.305,0,0.00206045,0.000444647,0.000444647,16.696,17.1982,16.7446,16.7446,-3.12565,-3.0087,-3.41499,-3.12565,0.602943,1.93872,-0.00240016,0.602943,3.09736,,2.42664,3.09736,,,,,0.244378,-0.611937,0.244734,-0.611306,0.241134,-0.617742,0.244378,-0.611937
0.480512,227.836,522.757,2.37019,0.224182,2,annual,258.21,242.77,780.966,363.478,350.788,0.660679,151.708,1.66926,151.709,1.76762,151.706,1.93215,150.946,0.0258022,151.706,5718.6,11319.1,6682.72,6682.72,99.3078,99.4138,99.3459,99.3459,0.442423,22.8447,6.0518,6.0518,56.6513,91.4661,89.3989,89.3989,8.79741e-10,0.129712,0.0301986,0.0301986,0,3.18443e-08,5.40534e-09,5.40534e-09,338.854,350.789,344.818,344.818,306.437,636.362,365.011,365.011,4.75842e-07,0.0618679,0.0150819,0.0150819,20.0755,20.6177,20.1274,20.1274,-3.82495,-3.75729,-4.05381,-3.82495,-0.781885,0.354162,-1.35879,-0.781885,1.52001,9.05565,0.887018,1.52001,8.26718,,7.49697,8.26718,0.222898,-0.651893,0.223186,-0.651334,0.220232,-0.65712,0.222898,-0.651893
0.391802,236.909,523.724,-4.50174,1.44789,1,june,260.404,244.968,784.128,366.076,353.39,0.840503,151.764,1.68374,151.765,1.77728,151.765,1.93188,151.633,0.0274904,151.762,1037.16,2602.11,1346.73,2602.11,99.121,99.2715,99.1914,99.2715,0.0271365,1.59178,0.411457,1.59178,52.3497,88.6201,86.3673,88.6201,9.17307e-07,0.00802028,0.00182018,0.00802028,0,7.75983e-07,1.2956e-07,7.75983e-07,326.893,338.172,331.994,338.172,52.7629,139.035,70.1955,139.035,1.23287e-06,0.00381812,0.000901176,0.00381812,16.3517,16.8211,16.3958,16.8211,-3.41533,-3.01585,-3.41533,-3.12928,-0.201884,1.56645,-0.201884,0.385675,2.09581,6.03749,2.09581,2.73989,6.11015,,6.11015,6.88753,0.243822,-0.612927,0.247297,-0.606781,0.243822,-0.612927,0.246964,-0.607366
0.355699,235.606,524.505,5.29683,0.978024,0,sun,268.871,253.451,793.376,373.677,361.004,0.676736,151.969,1.56526,151.97,1.72153,151.97,1.83245,151.97,0.0239991,151.967,3412.68,6946.83,4033.91,3412.68,99.2923,99.3885,99.3286,99.2923,1.3777,25.0877,7.4966,1.3777,84.6727,94.6192,93.4069,84.6727,0.00483065,0.387126,0.0936906,0.00483065,0,0.00383248,0.000786805,0,339.001,350.507,344.292,339.001,183.114,388.099,220.024,183.114,0.00271,0.0718579,0.0208051,0.00271,15.1629,15.5403,15.1964,15.1629,-3.5331,-3.5331,-3.84179,-3.60573,-0.139156,-0.139156,-1.39946,-0.874864,2.31599,2.31599,0.412148,1.0283,,,2.41652,3.10413,0.256808,-0.590391,0.256808,-0.590391,0.253671,-0.59573,0.256525,-0.59087
0.476595,240.394,503.605,1.73327,1.27931,1,june,270.091,254.674,773.696,357.503,344.833,0.937074,151.998,1.75337,151.999,1.90467,151.998,,,0.0256575,151.996,1082.86,3072.41,1489.63,3072.41,99.0053,99.2116,99.1113,99.2116,0.00198343,0.340889,0.0789816,0.340889,2.97365,73.7529,69.0165,73.7529,0,0.000501505,8.75618e-05,0.000501505,0,0,0,0,323.727,335.232,329.316,335.232,53.2939,160.486,75.7186,160.486,0,0.000298286,5.31511e-05,0.000298286,20.2781,20.8172,20.3255,20.8172,-3.48748,-3.03457,-3.48748,-3.17308,0.467386,2.70258,0.467386,1.10247,3.29973,,3.29973,4.05769,,,,,0.219174,-0.659211,0.222068,-0.653514,0.219174,-0.659211,0.221809,-0.654021
0.435227,233.533,534.236,2.8447,1.49122,1,june,264.36,248.932,798.597,377.967,365.288,0.713862,151.861,1.53315,151.863,1.70408,151.863,1.78397,151.863,0.0273566,151.86,2123.48,4553.72,2570.18,4553.72,99.2544,99.3529,99.2941,99.3529,1.03719,15.201,4.68356,15.201,87.5482,94.9064,93.8562,94.9064,0.0047527,0.312253,0.0777245,0.312253,8.027e-08,0.0035872,0.000808917,0.0035872,336.381,347.641,341.288,347.641,112.836,251.372,138.818,251.372,0.00238022,0.0443724,0.0132257,0.0443724,18.2799,18.8006,18.3276,18.8006,-3.65837,-3.32705,-3.65837,-3.40996,-1.18187,-0.01586,-1.18187,-0.670576,0.505494,2.32306,0.505494,1.10944,2.44524,7.09545,2.44524,3.0921,0.230629,-0.637086,0.233891,-0.630987,0.230629,-0.637086,0.233586,-0.631552
0.368712,233.911,545.272,6.70065,1.6537,0,sun,268.58,253.161,813.853,390.505,377.832,0.627886,151.962,1.34031,151.963,1.58594,151.964,1.69242,151.964,0.026947,151.961,2703.33,5252.84,3147.45,2703.33,99.3319,99.4019,99.3572,99.3319,7.39751,47.5693,17.2576,7.39751,94.5548,96.9286,96.3101,94.5548,0.138155,2.93073,0.849851,0.138155,0.00152043,0.0795626,0.0200037,0.00152043,343.538,354.73,348.064,343.538,148.101,296.578,174.432,148.101,0.0213305,0.186183,0.0619227,0.0213305,15.6024,16.0387,15.6412,15.6024,-3.4319,-3.4319,-3.72039,-3.49796,-0.869085,-0.869085,-1.67733,-1.23698,0.859632,0.859632,-0.466976,0.070657,2.81803,2.81803,1.09929,1.69889,0.253165,-0.596596,0.253165,-0.596596,0.249698,-0.602585,0.252851,-0.597135
0.428066,245.684,574.537,1.56727,0.848155,0,sun,275.199,259.792,849.736,419.995,407.333,0.368481,152.113,0.760306,152.113,1.00137,152.114,1.26169,152.114,0.0187786,152.112,25890,37879.2,27580.8,25890,99.5237,99.5496,99.5298,99.5237,1173,2640.39,1443.69,1173,98.559,98.8719,98.6881,98.559,225.104,703.179,325.787,225.104,30.0382,154.049,59.4623,30.0382,382.112,393.842,386.87,382.112,1551.28,2302.14,1658.18,1551.28,10.8541,35.004,16.0273,10.8541,18.5974,18.9574,18.6279,18.5974,-4.41313,-4.41313,-4.5784,-4.44061,-3.0693,-3.0693,-3.42167,-3.15947,-2.35238,-2.35238,-2.84707,-2.51293,-1.47767,-1.47767,-2.18766,-1.77424,0.231886,-0.634726,0.231886,-0.634726,0.229673,-0.63889,0.231696,-0.635081
0.436478,223.909,529.891,-4.83647,0.568471,1,june,247.118,231.654,777.009,360.225,347.517,0.768741,151.41,1.71518,151.412,1.82699,151.417,,,0.0287735,151.408,2199.06,4983.91,2728.01,4983.91,99.198,99.3408,99.2588,99.3408,0.0329322,3.01544,0.749174,3.01544,23.8868,86.0679,82.9878,86.0679,0,0.0113286,0.00238477,0.0113286,0,0,0,0,330.829,342.414,336.544,342.414,113.672,271.888,144.559,271.888,0,0.00636268,0.00134635,0.00636268,17.7582,18.2979,17.8137,18.2979,-3.69757,-3.34224,-3.69757,-3.43585,-0.479351,1.48238,-0.479351,0.125417,1.94582,,1.94582,2.62255,,,,,0.233776,-0.6312,0.237301,-0.6247,0.233776,-0.6312,0.236932,-0.625377
0.46183,226.05,513.263,8.23988,0.921171,2,annual,262.28,246.848,775.542,359.02,346.337,0.85502,151.81,1.73537,151.812,1.86213,151.805,,,0.0277337,151.809,1561.17,3949.78,2030.48,2030.48,99.1071,99.2787,99.1877,99.1877,0.00894464,1.06471,0.254683,0.254683,11.3541,81.2599,77.4079,77.4079,0,0.0028783,0.000553969,0.000553969,0,0,0,0,327.255,338.798,332.88,332.88,78.7358,210.796,105.351,105.351,0,0.00164892,0.000320851,0.000320851,19.3128,19.8716,19.3647,19.3647,-3.3076,-3.19345,-3.59657,-3.3076,0.594,2.04844,-0.0272313,0.594,3.25651,,2.54086,3.25651,,,,,0.227245,-0.643506,0.227551,-0.642922,0.224328,-0.649116,0.227245,-0.643506
