set,model,mu_best,mu_lo68,mu_hi68,exposure_tyr,P0_best,P1_best,P2_best,P3_best,Pge4_best,P_ge1_best,P_ge1_lo68,P_ge1_FC,P_ge2_best,P_ge3_best,PG_J_P0,PG_J_P1,PG_J_P2,PG_J_P3,PG_J_Pge4,PG_J_mean,PG_flat_P0,PG_flat_mean
all hidden (LZ-like 270 window),L10,6.51740270578914,1.9552208117367418,15.381070385662369,19.122,0.0014775016295280855,0.009629473118094208,0.031379577077595484,0.06817111351734656,0.8893423346574356,0.9985224983704719,0.8584667789528919,0.49557054682890755,0.9888930252523777,0.9575134481747822,0.048517484533920636,0.06309519338426804,0.06837747028109865,0.06916184332240649,0.7508480084783062,9.77610405868371,0.017695562326242233,13.03480541157828
all hidden (LZ-like 270 window),d300,6.733073885117086,2.019922165535126,15.890054368876322,19.122,0.0011908667387147134,0.008018193739094591,0.02699354543525355,0.060583178612275725,0.9032142154746614,0.9988091332612853,0.8673342093509038,0.5068652215081295,0.9907909395221907,0.9637973940869371,0.04650201378349669,0.06073293090091999,0.06609908897330635,0.06714342392290551,0.7595225424193714,10.09961082767563,0.01672228730395542,13.466147770234173
all hidden (LZ-like 270 window),d350,6.733098591549297,2.0199295774647887,15.89011267605634,19.122,0.0011908373170098161,0.008018025061923138,0.026993076625720813,0.06058234873674101,0.9032157122586052,0.9988091626829901,0.8673351926567686,0.5068665007845725,0.9907911376210671,0.9637980609953463,0.04650179093015016,0.060732668666309844,0.06609883493290558,0.06714319772872185,0.7595235077419126,10.099647887323945,0.016722180452247055,13.466197183098593
all hidden (LZ-like 270 window),d366,6.733098591549297,2.0199295774647887,15.89011267605634,19.122,0.0011908373170098161,0.008018025061923138,0.026993076625720813,0.06058234873674101,0.9032157122586052,0.9988091626829901,0.8673351926567686,0.5068665007845725,0.9907911376210671,0.9637980609953463,0.04650179093015016,0.060732668666309844,0.06609883493290558,0.06714319772872185,0.7595235077419126,10.099647887323945,0.016722180452247055,13.466197183098593
all hidden (LZ-like 270 window),d380,6.733098591549297,2.0199295774647887,15.89011267605634,19.122,0.0011908373170098161,0.008018025061923138,0.026993076625720813,0.06058234873674101,0.9032157122586052,0.9988091626829901,0.8673351926567686,0.5068665007845725,0.9907911376210671,0.9637980609953463,0.04650179093015016,0.060732668666309844,0.06609883493290558,0.06714319772872185,0.7595235077419126,10.099647887323945,0.016722180452247055,13.466197183098593
all hidden (200-270 keV),L10,2.304441537668913,0.6913324613006739,5.438482028898635,19.122,0.0998145277452705,0.2300167437990075,0.2650300693848907,0.2035821002072721,0.2015565588635592,0.9001854722547296,0.4990918165706204,0.21491741385662877,0.6701687284557221,0.4051386590708312,0.166476482454301,0.17414530572237022,0.151806164340473,0.12351048266137264,0.3840615648214831,3.45666230650337,0.09158067803107356,4.608883075337826
all hidden (200-270 keV),d300,1.201315630854536,0.3603946892563608,2.835104888816705,19.122,0.3007982120657301,0.36135359388765903,0.21704986030135348,0.08691512995160311,0.033883203793654205,0.6992017879342699,0.3025989849445625,0.11850693217293806,0.33784819404661093,0.12079833374525727,0.30617979216610003,0.25063550521249733,0.17097295467234674,0.10885515917215342,0.1633565887769025,1.8019734462818042,0.20636467850370524,2.402631261709072
all hidden (200-270 keV),d350,3.4040562099973597,1.0212168629992078,8.033572655593769,19.122,0.03323817514077165,0.11314461649692362,0.19257531720706128,0.2185124014769695,0.4425294896782742,0.9667618248592283,0.6398435875990971,0.300525473348762,0.8536172083623047,0.6610418911552434,0.10819837044526844,0.1254457200125171,0.12120198456392299,0.10929502409528026,0.5358589008830112,5.106084314996039,0.05155779000842678,6.808112419994719
all hidden (200-270 keV),d366,5.233152652171814,1.5699457956515441,12.35024025912548,19.122,0.005336674076472361,0.027927630097067908,0.07307477575567212,0.12747048551755202,0.7661904345532357,0.9946633259235277,0.791943540383785,0.4227506913895218,0.9667356958264597,0.8936609200707876,0.06425964994844867,0.08092547455215618,0.08492800221115246,0.08318659309107478,0.686700280197168,7.849728978257721,0.025738573524473517,10.466305304343628
all hidden (200-270 keV),d380,5.322374317013956,1.5967122951041868,12.560803388152936,19.122,0.004881150557075293,0.02597931036245591,0.06913580712343491,0.12265554807326681,0.7773481838837669,0.9951188494429247,0.7974386134878263,0.42813326944378194,0.9691395390804688,0.9000037319570339,0.06290420716043964,0.07943212150264801,0.08358558474897812,0.08209248168059198,0.6919856049073423,7.9835614755209345,0.02501725126826783,10.644748634027913
