dataset,experiment,exposure_tyr,model,published_edge_keV,tested_in_published_ROI,hidden_270,hidden_200_270,P_ge1_hidden_270,hidden_ext400_gt200,hidden_270_lo68,hidden_270_hi68
LUX 2013-16,LUX,0.092,L10,50.0,0.0020682817788836567,0.03020691825257519,0.011087157277771155,0.029755248572053916,0.020206985190207197,0.009062075475772556,0.07128832707607745
LUX 2013-16,LUX,0.092,d300,50.0,0.0,0.0323943661971831,0.005779784438793919,0.03187528887507651,0.010334364757727518,0.009718309859154929,0.0764507042253521
LUX 2013-16,LUX,0.092,d350,50.0,0.0,0.0323943661971831,0.016377636822495403,0.03187528887507651,0.0474628046237932,0.009718309859154929,0.0764507042253521
LUX 2013-16,LUX,0.092,d366,50.0,0.0,0.032394366197183104,0.02517780796986753,0.031875288875076624,0.1503625974243201,0.00971830985915493,0.07645070422535212
LUX 2013-16,LUX,0.092,d380,50.0,0.0,0.032394366197183104,0.025607072333714252,0.031875288875076624,0.9654226685980496,0.00971830985915493,0.07645070422535212
PandaX-II 2016-18,PandaX-II,0.36,L10,50.0,0.008093276526066484,0.11820098446659856,0.04338452847823495,0.11148254353935805,0.07907081161385425,0.03546029533997957,0.2789543233411726
PandaX-II 2016-18,PandaX-II,0.36,d300,50.0,0.0,0.1267605633802817,0.022616547803976206,0.1190554222612048,0.04043881861719464,0.038028169014084505,0.29915492957746476
PandaX-II 2016-18,PandaX-II,0.36,d350,50.0,0.0,0.1267605633802817,0.0640864049575907,0.1190554222612048,0.18572401809310382,0.038028169014084505,0.29915492957746476
PandaX-II 2016-18,PandaX-II,0.36,d366,50.0,0.0,0.1267605633802817,0.09852185727339467,0.1190554222612048,0.5883753812256004,0.038028169014084505,0.29915492957746476
PandaX-II 2016-18,PandaX-II,0.36,d380,50.0,0.0,0.12676056338028172,0.1002015873927949,0.1190554222612048,3.7777408771228025,0.03802816901408451,0.2991549295774648
XENON1T 2018,XENON1T,1.0,L10,41.0,0.019783310282741242,0.3311989599602647,0.1205125791062082,0.28193771081716723,0.21964114337181737,0.09935968798807941,0.7816295455062247
XENON1T 2018,XENON1T,1.0,d300,41.0,0.0,0.352112676056338,0.0628237438999339,0.29679911639008716,0.11233005171442956,0.10563380281690139,0.8309859154929576
XENON1T 2018,XENON1T,1.0,d350,41.0,0.0,0.35211267605633806,0.17801779154886307,0.29679911639008716,0.5159000502586217,0.10563380281690142,0.8309859154929577
XENON1T 2018,XENON1T,1.0,d366,41.0,0.0,0.35211267605633806,0.27367182575942967,0.29679911639008716,1.6343760589600012,0.10563380281690142,0.8309859154929577
XENON1T 2018,XENON1T,1.0,d380,41.0,0.0,0.35211267605633806,0.27833774275776363,0.29679911639008716,10.493724658674452,0.10563380281690142,0.8309859154929577
LZ SR1 2022,LZ,0.77,L10,70.0,0.021800301221895028,0.24805472089107491,0.09279468591178032,0.21968275754509692,0.16912368039629938,0.07441641626732247,0.5854091413029368
LZ SR1 2022,LZ,0.77,d300,70.0,0.0,0.27112676056338025,0.04837428280294911,0.23748016716496823,0.08649413982011075,0.08133802816901407,0.6398591549295773
LZ SR1 2022,LZ,0.77,d350,70.0,0.0,0.2711267605633803,0.13707369949262457,0.23748016716496834,0.39724303869913874,0.08133802816901409,0.6398591549295775
LZ SR1 2022,LZ,0.77,d366,70.0,0.0,0.2711267605633803,0.21072730583476085,0.23748016716496834,1.2584695653992009,0.08133802816901409,0.6398591549295775
LZ SR1 2022,LZ,0.77,d380,70.0,0.0,0.2711267605633803,0.214320061923478,0.23748016716496834,8.080167987179328,0.08133802816901409,0.6398591549295775
LZ SR3 (WS2024) analysed,LZ,2.84,L10,270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LZ SR3 (WS2024) analysed,LZ,2.84,d300,270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LZ SR3 (WS2024) analysed,LZ,2.84,d350,270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LZ SR3 (WS2024) analysed,LZ,2.84,d366,270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LZ SR3 (WS2024) analysed,LZ,2.84,d380,270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LZ untouched since Apr 2024,LZ,6.76,L10,,0.0,2.380281690140845,0.8146650347579675,0.9074754894033022,1.4847741291934853,0.7140845070422535,5.617464788732394
LZ untouched since Apr 2024,LZ,6.76,d300,,0.0,2.380281690140845,0.4246885087635532,0.9074754894033022,0.7593511495895438,0.7140845070422535,5.617464788732394
LZ untouched since Apr 2024,LZ,6.76,d350,,0.0,2.380281690140845,1.2034002708703144,0.9074754894033022,3.4874843397482826,0.7140845070422535,5.617464788732394
LZ untouched since Apr 2024,LZ,6.76,d366,,0.0,2.3802816901408455,1.8500215421337445,0.9074754894033022,11.048382158569607,0.7140845070422536,5.617464788732395
LZ untouched since Apr 2024,LZ,6.76,d380,,0.0,2.3802816901408455,1.881563141042482,0.9074754894033022,70.93757869263929,0.7140845070422536,5.617464788732395
XENONnT SR0+SR1 analysed,XENONnT,3.1,L10,60.0,0.0775711118315151,1.0094813073134412,0.37358899522924544,0.6355920537038746,0.6808875444526339,0.30284439219403236,2.382375885259721
XENONnT SR0+SR1 analysed,XENONnT,3.1,d300,60.0,0.0,1.0915492957746478,0.1947536060897951,0.6643040017814903,0.34822316031473166,0.3274647887323943,2.5760563380281685
XENONnT SR0+SR1 analysed,XENONnT,3.1,d350,60.0,0.0,1.091549295774648,0.5518551538014755,0.6643040017814903,1.5992901558017274,0.3274647887323944,2.576056338028169
XENONnT SR0+SR1 analysed,XENONnT,3.1,d366,60.0,0.0,1.091549295774648,0.848382659854232,0.6643040017814903,5.066565782776004,0.3274647887323944,2.576056338028169
XENONnT SR0+SR1 analysed,XENONnT,3.1,d380,60.0,0.0,1.091549295774648,0.8628470025490673,0.6643040017814903,32.530546441890806,0.3274647887323944,2.576056338028169
XENONnT untouched (SR2+),XENONnT,3.0,L10,,0.0,1.0563380281690142,0.3615377373186246,0.6522731524209193,0.6589234301154521,0.31690140845070425,2.4929577464788735
XENONnT untouched (SR2+),XENONnT,3.0,d300,,0.0,1.056338028169014,0.18847123169980173,0.6522731524209192,0.33699015514328867,0.3169014084507042,2.492957746478873
XENONnT untouched (SR2+),XENONnT,3.0,d350,,0.0,1.0563380281690142,0.5340533746465892,0.6522731524209193,1.5477001507758652,0.31690140845070425,2.4929577464788735
XENONnT untouched (SR2+),XENONnT,3.0,d366,,0.0,1.0563380281690142,0.8210154772782889,0.6522731524209193,4.903128176880004,0.31690140845070425,2.4929577464788735
XENONnT untouched (SR2+),XENONnT,3.0,d380,,0.0,1.0563380281690142,0.8350132282732909,0.6522731524209193,31.481173976023356,0.31690140845070425,2.4929577464788735
PandaX-4T Run0+Run1 analysed,PandaX-4T,1.54,L10,100.0,0.07446545249080776,0.4633584064544812,0.18558937182356064,0.3708329054541859,0.33824736079259876,0.13900752193634436,1.0935258392325755
PandaX-4T Run0+Run1 analysed,PandaX-4T,1.54,d300,100.0,2.3283548678545232e-05,0.5422288146945518,0.09674856560589822,0.41854913913441816,0.1729882796402215,0.1626686444083655,1.279660002679142
PandaX-4T Run0+Run1 analysed,PandaX-4T,1.54,d350,100.0,0.0,0.5422535211267606,0.27414739898524915,0.4185635045332353,0.7944860773982775,0.16267605633802817,1.279718309859155
PandaX-4T Run0+Run1 analysed,PandaX-4T,1.54,d366,100.0,0.0,0.5422535211267606,0.4214546116695217,0.4185635045332353,2.5169391307984017,0.16267605633802817,1.279718309859155
PandaX-4T Run0+Run1 analysed,PandaX-4T,1.54,d380,100.0,0.0,0.5422535211267606,0.428640123846956,0.4185635045332353,16.160335974358656,0.16267605633802817,1.279718309859155
PandaX-4T untouched (Run2/3),PandaX-4T,2.5,L10,,0.0,0.8802816901408451,0.3012814477655205,0.5853339121204013,0.5491028584295434,0.2640845070422535,2.0774647887323945
PandaX-4T untouched (Run2/3),PandaX-4T,2.5,d300,,0.0,0.8802816901408451,0.15705935974983476,0.5853339121204013,0.2808251292860739,0.2640845070422535,2.0774647887323945
PandaX-4T untouched (Run2/3),PandaX-4T,2.5,d350,,0.0,0.8802816901408451,0.4450444788721577,0.5853339121204013,1.2897501256465542,0.2640845070422535,2.0774647887323945
PandaX-4T untouched (Run2/3),PandaX-4T,2.5,d366,,0.0,0.8802816901408452,0.6841795643985742,0.5853339121204013,4.085940147400003,0.26408450704225356,2.0774647887323945
PandaX-4T untouched (Run2/3),PandaX-4T,2.5,d380,,0.0,0.8802816901408451,0.695844356894409,0.5853339121204013,26.23431164668613,0.2640845070422535,2.0774647887323945
