model,window,s_low,E_90,E_95
L10,200-270 keV,TableI_lo 0.30,63.7001276016273,82.86825110485253
L10,200-270 keV,FC_lo 0.105,182.000364576078,236.76643172815014
L10,200-270 keV,best 1.0,19.11003828048819,24.86047533145576
L10,200-400 keV,TableI_lo 0.30,34.95095021278093,45.46810544398249
L10,200-400 keV,FC_lo 0.105,99.85985775080266,129.90887269709282
L10,200-400 keV,best 1.0,10.485285063834278,13.640431633194746
d300,200-270 keV,TableI_lo 0.30,122.1937151484336,158.96325253352455
d300,200-270 keV,FC_lo 0.105,349.124900424096,454.18072152435593
d300,200-270 keV,best 1.0,36.65811454453008,47.68897576005737
d300,200-400 keV,TableI_lo 0.30,68.3402753715687,88.90467434356049
d300,200-400 keV,FC_lo 0.105,195.25792963305338,254.01335526731566
d300,200-400 keV,best 1.0,20.502082611470605,26.67140230306814
d350,200-270 keV,TableI_lo 0.30,43.123030568321276,56.099261651189984
d350,200-270 keV,FC_lo 0.105,123.20865876663223,160.28360471768568
d350,200-270 keV,best 1.0,12.936909170496381,16.829778495356994
d350,200-400 keV,TableI_lo 0.30,14.880143281277718,19.357754785370407
d350,200-400 keV,FC_lo 0.105,42.514695089364906,55.30787081534402
d350,200-400 keV,best 1.0,4.464042984383315,5.807326435611121
d366,200-270 keV,TableI_lo 0.30,28.05062832231337,36.491394899544446
d366,200-270 keV,FC_lo 0.105,80.14465234946677,104.26112828441269
d366,200-270 keV,best 1.0,8.41518849669401,10.947418469863333
d366,200-400 keV,TableI_lo 0.30,4.697001418113982,6.1103848235646945
d366,200-400 keV,FC_lo 0.105,13.420004051754235,17.458242353041985
d366,200-400 keV,best 1.0,1.4091004254341946,1.8331154470694082
d380,200-270 keV,TableI_lo 0.30,27.580401387919725,35.879671106473076
d380,200-270 keV,FC_lo 0.105,78.80114682262777,102.5133460184945
d380,200-270 keV,best 1.0,8.274120416375917,10.763901331941922
d380,200-400 keV,TableI_lo 0.30,0.7315483221032377,0.951679884073513
d380,200-400 keV,FC_lo 0.105,2.0901380631521076,2.71908538306718
d380,200-400 keV,best 1.0,0.2194644966309713,0.2855039652220539
