space,best_model,Z_local_max,p_global,Z_global
(c) single model O6s 1 TeV [L10/L4-like],O6s_m1000,2.976036611451482,0.00141,2.9867068403918378
(c') single model O1s 1 TeV delta=350,O1s_m1000_d350,2.847963287487918,0.00264,2.789435576083255
(b1) 6 a-priori high-energy spectra,O6s_m1000,2.976036611451482,0.00443,2.6174094194781725
(b2) 6 spectra with largest fraction above 200 keV,O4s_m4000_d350,3.9444000841594518,0.00021,3.527187010650018
(a) 14 isoscalar ops at 1 TeV + O1s/O4s inelastic 1 TeV x 8 delta (30),O4s_m1000_d350,3.5985470207163295,0.00143,2.9823979264997593
(a') 28 s+v ops at 1 TeV + O1/O4 s+v inelastic 1 TeV x 8 delta (60),O4s_m1000_d350,3.5985470207163295,0.00158,2.9517291296225348
heavy elastic m>=100 GeV (140),O6s_m4000,3.0022409042673104,0.00647,2.4854163349628378
inelastic O1/O4 grid (96),O4s_m4000_d350,3.9444000841594518,0.0005,3.2905267314918945
LZ-like full space (456; LZ 293 distinct),O4s_m4000_d350,3.9444000841594518,0.00079,3.159573946768068
+ continuous delta scan [P021] (497),O4s_m4000_d350,3.9444000841594518,0.001,3.090232306167813
+ light mediators [P051],O4s_m4000_d350,3.9444000841594518,0.0016,2.9478425521849063
+ isospin ratios [P032],O4s_m4000_d350,3.9444000841594518,0.00172,2.925412410366958
"+ halo/date variants [P018,P006] = corpus space",O4s_m4000_d350,3.9444000841594518,0.00191,2.8926555293459373
corpus extras only (scan+lightmed+isospin+halo),ISO_r-0.70_m1000_d350,3.9444000841594518,0.00159,2.9497802711965626
