space,Z_local,p_local,p_global,n_exceed,Z_global,N_eff,N_eff_err,cost_sigma
LZ-like,1.0,0.15865525393145707,0.45675,45675,0.10862491294606244,3.5321117910987656,0.013470534220313692,0.8913750870539375
corpus,1.0,0.15865525393145707,0.45791,45791,0.10570047937123114,3.544485354406675,0.013487628813765836,0.8942995206287688
LZ-like,1.1,0.13566606094638267,0.41093,41093,0.2251533229795533,3.629797537153493,0.01494213681380953,0.8748466770204468
corpus,1.1,0.13566606094638267,0.41359,41359,0.21831973371530483,3.660839650336126,0.014990419941046433,0.8816802662846952
LZ-like,1.2,0.11506967022170822,0.36881,36881,0.3350067425583254,3.7641067642448918,0.01668939046758096,0.8649932574416745
corpus,1.2,0.11506967022170822,0.37138,37138,0.328200592347718,3.797481876255854,0.01674743833976478,0.8717994076522819
LZ-like,1.3,0.09680048458561036,0.3266,32660,0.44932115383725113,3.8837910919416827,0.018669408513579303,0.8506788461627489
corpus,1.3,0.09680048458561036,0.33039,33039,0.438836514823894,3.939227232214338,0.018777419792321302,0.8611634851761061
LZ-like,1.4,0.08075665923377107,0.28406,28406,0.5708224548760676,3.9684256688543638,0.020870204122781063,0.8291775451239323
corpus,1.4,0.08075665923377107,0.2873,28730,0.5612897910059681,4.022292092646849,0.020988889850508716,0.8387102089940318
LZ-like,1.5,0.06680720126885806,0.24253,24253,0.6981874083641089,4.017319410546188,0.023310922204155208,0.8018125916358911
corpus,1.5,0.06680720126885806,0.24476,24476,0.6910724698743191,4.059960512042098,0.02341784590305287,0.8089275301256809
LZ-like,1.6,0.054799291699557974,0.20868,20868,0.811009874714539,4.1529668726229,0.026361217774484493,0.7889901252854611
corpus,1.6,0.054799291699557974,0.21075,21075,0.8038216230099647,4.199443157290255,0.02649164011197443,0.7961783769900354
LZ-like,1.7,0.044565462758543034,0.18063,18063,0.9129668054727383,4.369900616915072,0.030157582214682375,0.7870331945272616
corpus,1.7,0.044565462758543034,0.18218,18218,0.9070884980039846,4.411434486643906,0.030286698090723613,0.7929115019960153
LZ-like,1.8,0.03593031911292579,0.15424,15424,1.0184166350310153,4.5780772602584685,0.03456506945561809,0.7815833649689847
corpus,1.8,0.03593031911292579,0.15541,15541,1.013502924395447,4.6159090298299015,0.034695919845922275,0.7864970756045531
LZ-like,1.9,0.028716559816001797,0.12901,12901,1.131083377292029,4.740537134708877,0.039552986086423034,0.7689166227079709
corpus,1.9,0.028716559816001797,0.13026,13026,1.1251629264060368,4.789827792357296,0.039744141997465975,0.7748370735939631
LZ-like,2.0,0.022750131948179198,0.10632,10632,1.2463389064000439,4.88454145943515,0.04532351296778059,0.7536610935999561
corpus,2.0,0.022750131948179198,0.10788,10788,1.2378815079035403,4.960460438555141,0.04565481097752627,0.7621184920964597
LZ-like,2.1,0.01786442056281655,0.08634,8634,1.3636428466979775,5.009274990331827,0.05201362088168886,0.7363571533020226
corpus,2.1,0.01786442056281655,0.08809,8809,1.3526108011024183,5.115633527330417,0.052538100952556656,0.7473891988975818
LZ-like,2.2,0.013903447513498597,0.06948,6948,1.4796750017802422,5.143324025991918,0.05995251455135235,0.7203249982197579
corpus,2.2,0.013903447513498597,0.0709,7090,1.4691208996137508,5.252401477342349,0.06056205675486835,0.7308791003862494
LZ-like,2.3,0.01072411002167581,0.05681,5681,1.5821295455625113,5.424539190211765,0.07028313640246202,0.7178704544374885
corpus,2.3,0.01072411002167581,0.05825,5825,1.5696352193315077,5.566247264659974,0.0711683183575193,0.7303647806684921
LZ-like,2.4,0.008197535924596131,0.04643,4643,1.680500382247219,5.775797819999539,0.08312200555199743,0.7194996177527808
corpus,2.4,0.008197535924596131,0.04787,4787,1.6658665366937002,5.959396064951951,0.08440115409154285,0.7341334633062997
LZ-like,2.5,0.006209665325776134,0.03758,3758,1.7794867212214478,6.149329978608291,0.09872114724365492,0.7205132787785522
corpus,2.5,0.006209665325776134,0.03892,3892,1.763358763939081,6.37300761550261,0.10046579415957718,0.7366412360609189
LZ-like,2.6,0.004661188023718748,0.03055,3055,1.872771102702043,6.64079892274572,0.11857932814657249,0.727228897297957
corpus,2.6,0.004661188023718748,0.03169,3169,1.8565163131570528,6.892638599342397,0.12077151038253633,0.7434836868429473
LZ-like,2.7,0.0034669738030406656,0.025,2500,1.9599639845400545,7.289900624498979,0.14421799194487173,0.7400360154599457
corpus,2.7,0.0034669738030406656,0.02586,2586,1.9454570016612895,7.543986747933789,0.14667756790018066,0.7545429983387106
LZ-like,2.8,0.002555130330427932,0.01946,1946,2.0650317104723004,7.681299549265922,0.1726467314598291,0.7349682895276994
corpus,2.8,0.002555130330427932,0.02019,2019,2.0498404796157623,7.972405290320948,0.1758551544014451,0.7501595203842375
LZ-like,2.9,0.0018658133003840382,0.01552,1552,2.1565595388492835,8.375489231725073,0.2111434793560304,0.7434404611507164
corpus,2.9,0.0018658133003840382,0.01599,1599,2.1446605157091936,8.631183499974748,0.21431671667274443,0.7553394842908063
LZ-like,3.0,0.001349898031630093,0.01249,1249,2.241711873456164,9.304532838709095,0.2618063977133718,0.7582881265438361
corpus,3.0,0.001349898031630093,0.01292,1292,2.228607974494612,9.62695677010206,0.266274938321212,0.7713920255053881
LZ-like,3.1,0.0009676032132183562,0.01019,1019,2.3192774005832932,10.580077966417042,0.32990567789506753,0.7807225994167069
corpus,3.1,0.0009676032132183562,0.0108,1080,2.2973291519727392,11.216879875462142,0.339636671327318,0.8026708480272609
LZ-like,3.2,0.0006871379379158472,0.00837,837,2.3923690613532416,12.22802086017114,0.4210355837829172,0.8076309386467586
corpus,3.2,0.0006871379379158472,0.00906,906,2.36315682425675,13.240666258760367,0.4380464565510732,0.8368431757432502
LZ-like,3.3,0.0004834241423837776,0.00684,684,2.465558066970587,14.194245374387988,0.5410030523564865,0.8344419330294128
corpus,3.3,0.0004834241423837776,0.00775,775,2.4204807484989144,16.090025135817644,0.575867429311166,0.8795192515010855
LZ-like,3.4,0.00033692926567688086,0.00534,534,2.5529983571055226,15.888814789805181,0.6858543430520504,0.8470016428944773
corpus,3.4,0.00033692926567688086,0.00675,675,2.4702994283625914,20.098412105215246,0.7711043462294255,0.9297005716374085
LZ-like,3.5,0.00023262907903552502,0.00401,401,2.6512266598014085,17.270387039026307,0.8608117470749541,0.8487733401985915
corpus,3.5,0.00023262907903552502,0.0058,580,2.5240846269919865,25.002070812064147,1.0352613378100863,0.9759153730080135
LZ-like,3.6,0.00015910859015753366,0.00259,259,2.795621667622434,16.298010884548138,1.011477565321703,0.8043783323775662
corpus,3.6,0.00015910859015753366,0.00445,445,2.615871671761594,28.028504945101506,1.3258255314086294,0.9841283282384059
LZ-like,3.7,0.00010779973347738824,0.0017,170,2.9290497489376266,15.782552289140803,1.2095025089408218,0.7709502510623736
