tag,m_GeV,delta_keV,kappa_f2,sigmaN_f2_cm2,sigmaN_at_f2fo,kappa_endo_fit,ratio_endo_over_exo_coupling,chi1_endo_events_f2fo,chi1_endo_gap_f2fo,tau_over_tU_f2_0p9,tau_over_tU_f2_0p5,tau_over_tU_f2_0p1,mA_max_GeV,tau_at_mA_max_s,sigma_p_at_mA_max,sigma_p_mA0.1,tau_mA0.1_s,eps_mA0.1_aD0.1,eps_mA0.1_aDrelic,sigma_p_mA0.3,tau_mA0.3_s,eps_mA0.3_aD0.1,eps_mA0.3_aDrelic,sigma_p_mA1.0,tau_mA1.0_s,eps_mA1.0_aD0.1,eps_mA1.0_aDrelic
iso,1000.0,200.0,1.348495909491132e-08,3.997269488002482e-46,7.994538976004964e-46,1.858236186962886e-06,68.90032716762595,0.01414514574418994,0.0036548864428245604,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,1000.0,250.0,3.739400528846166e-08,1.108449164151908e-45,2.216898328303816e-45,1.0044018535491209e-05,134.29984910696908,0.003912547784927683,0.002705391820570101,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,1000.0,300.0,8.057935177274977e-08,2.3885677512049548e-45,4.7771355024099096e-45,6.357530475813451e-05,394.48880736488087,0.0010922520331869637,0.0008422334808386363,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,1000.0,350.0,1.3596943436329776e-07,4.0304643674185393e-45,8.060928734837079e-45,0.0017569223585506624,6460.725407801316,3.601663139564734e-05,1.7033968274765825e-05,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,1000.0,380.0,1.788570806680935e-07,5.301758397899466e-45,1.0603516795798931e-44,0.041173449670844756,115101.53670474656,1.231292937840833e-07,3.9445719514047975e-09,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,1000.0,450.0,3.6305590692249855e-07,1.0761859112557554e-44,2.1523718225115107e-44,,,0.0,0.0,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,4000.0,200.0,5.913736661272958e-08,1.7529752185239028e-45,3.5059504370478056e-45,5.35074540513357e-06,45.23997018817032,0.0212158769480329,0.0055417423267308695,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,4000.0,250.0,1.658652179120896e-07,4.9166480225443993e-45,9.833296045088799e-45,2.530744633677719e-05,76.2891902695067,0.0068843293392197875,0.004603548056834545,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,4000.0,300.0,3.578465010427435e-07,1.0607439666215863e-44,2.1214879332431727e-44,0.00012376136464848665,172.92521274883697,0.0024240889144642188,0.001863602987388101,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,4000.0,350.0,6.114470508579187e-07,1.8124776076226824e-44,3.624955215245365e-44,0.001358241655349048,1110.6780656177057,0.00023978774238146824,0.00014231577282132978,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,4000.0,380.0,8.173520107848027e-07,2.422829932721463e-44,4.845659865442926e-44,0.009371686233780417,5732.956003119109,1.1554612481901893e-05,2.4876371604875672e-06,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
iso,4000.0,450.0,1.744701361574184e-06,5.171718704677861e-44,1.0343437409355721e-43,,,0.0,0.0,9.4912215810299,1.4426950408889634,0.43429448190325176,,,,,,,,,,,,,,,
p,1000.0,200.0,6.125846138304119e-08,1.8158496206400183e-45,3.6316992412800367e-45,8.391955157264125e-06,68.49629396329694,0.014777854919854038,0.0033734867847346668,9.4912215810299,1.4426950408889634,0.43429448190325176,14.337501052771,4.3549488e+17,9.871982054000025e-45,3.6316992412800367e-45,5.002319036439483e+26,1.7010983133201115e-10,3.436737579467569e-10,3.6316992412800367e-45,6.175702514122821e+24,1.5309884819881002e-09,3.093063821520812e-09,3.6316992412800367e-45,5.002319036439484e+22,1.7010983133201116e-08,3.436737579467569e-08
p,1000.0,250.0,1.6125794552835113e-07,4.780077275886488e-45,9.560154551772976e-45,4.404840583482593e-05,136.5774743393394,0.003988884423126429,0.0024286136189681476,9.4912215810299,1.4426950408889634,0.43429448190325176,8.516226176666393,4.3549488e+17,2.5987194395344507e-44,9.560154551772976e-45,6.226819597617694e+25,2.7599863420426755e-10,5.576014452687514e-10,9.560154551772976e-45,7.687431601997155e+23,2.4839877078384076e-09,5.018413007418762e-09,9.560154551772976e-45,6.226819597617695e+21,2.7599863420426754e-08,5.576014452687514e-08
p,1000.0,300.0,3.3782662001161094e-07,1.0014001754866291e-44,2.0028003509732582e-44,0.000262072746457885,387.88054424023437,0.0011640082820534006,0.0007766140405261273,9.4912215810299,1.4426950408889634,0.43429448190325176,5.636083817003472,4.3549488e+17,5.444175800082005e-44,2.0028003509732582e-44,1.194503173133534e+25,3.9947840365360745e-10,8.070682518886935e-10,2.0028003509732582e-44,1.4746952754734992e+23,3.5953056328824666e-09,7.263614266998241e-09,2.0028003509732582e-44,1.1945031731335342e+21,3.9947840365360743e-08,8.070682518886934e-08
p,1000.0,350.0,5.554330339471874e-07,1.6464384530936833e-44,3.2928769061873667e-44,0.006699209774392275,6030.618782955985,5.510989430532998e-05,1.8934344238748636e-05,9.4912215810299,1.4426950408889634,0.43429448190325176,4.10496536039993,4.3549488e+17,8.950967457441559e-44,3.2928769061873667e-44,3.3613638271525734e+24,5.122267141328625e-10,1.0348542373378578e-09,3.2928769061873667e-44,4.149831885373549e+22,4.610040427195761e-09,9.313688136040719e-09,3.2928769061873667e-44,3.361363827152575e+20,5.122267141328624e-08,1.0348542373378577e-07
p,1000.0,380.0,7.126200258220771e-07,2.1123788850298044e-44,4.224757770059609e-44,0.23428357167335156,164381.8326625627,3.782491389734679e-07,6.946033981560068e-09,9.4912215810299,1.4426950408889634,0.43429448190325176,3.4802342529382813,4.3549488e+17,1.1484082275994192e-43,4.224757770059609e-44,1.7366465733566605e+24,5.8019687190595e-10,1.172174692994057e-09,4.224757770059609e-44,2.144008115255136e+22,5.2217718471535495e-09,1.0549572236946511e-08,4.224757770059609e-44,1.7366465733566605e+20,5.8019687190594995e-08,1.1721746929940569e-07
p,1000.0,450.0,1.3290631635391778e-06,3.9396661078845825e-44,7.879332215769165e-44,,,0.0,0.0,9.4912215810299,1.4426950408889634,0.43429448190325176,2.4107403166572263,4.3549488e+17,2.1418245582517264e-43,7.879332215769165e-44,3.9983357430701405e+23,7.923538679478477e-10,1.6007965517866094e-09,7.879332215769165e-44,4.936216966753261e+21,7.1311848115306286e-09,1.4407168966079483e-08,7.879332215769165e-44,3.998335743070141e+19,7.923538679478476e-08,1.6007965517866093e-07
