tag,m_GeV,delta_keV,E_star,halfwidth_v250,v_min_248,exo_lo,exo_mid,exo_gap,exo_hi,exo_roi,exo_lomid,exo_he1700,exo_he1000,exo_all,exo_gap_true,exo_hi_true,exo_lomid_true,exo_roi_true,exo_D248,exo_pct248,exo_p16,exo_p50,exo_p84,exo_p95,exo_mode,exo_fwhm,exo_f_hi_of_roi,endo_lomid,endo_gap,endo_hi,endo_roi,endo_he1700,endo_he1000,endo_all,endo_D248,endo_pct248,endo_p16,endo_p50,endo_p84,endo_mode,R_roi,gap_per_hi,lomid_per_hi,he1700_per_hi,D248_per_hi,endo_D248_per_hi,Z5_exo,mu_hi_exo,mu_gap_exo,mu_lomid_exo,mu_he_exo,kappa_exo,Z4_exo,Z5_endo,mu_hi_endo,kappa_endo,Z4_endo,B_exo,B_endo,B_exo_mu3,B_endo_mu3,B_exo_log,B_endo_log,B_exo_noHE,B_endo_noHE,B_exo_bin,B_endo_bin,kappa_f2_one_event,sigmaN_f2_cm2,endo_events_at_exo_coupling_f2fo,endo_gap_at_exo_coupling_f2fo,date_exo,date_endo,B_exo_date,B_endo_date
iso,300.0,100.0,71.03582356261555,89.11068682730624,303.2042569955581,2033824025.5782962,197114233.75091758,24117638.00342023,2589828.4481934025,2258854424.848578,2230938259.3292136,857929.3915147026,787439.5750111454,2357317953.5320525,24837688.25861032,2402218.0363607756,2231608174.744342,2258854829.7120075,8279.87515727301,0.9999642124449406,17.345218729118628,29.479376873550194,47.81867203491945,63.82867168674203,23.5,33.0,0.0011465229541593905,241311713.29176432,2767968.421444134,268367.2693475774,244388285.5416001,68589.85921659689,64254.24601631463,254754827.71419832,811.7919338437829,0.9999680248297633,19.11655456939583,31.560817319120254,49.85286623537637,25.5,9.242891572493448,9.312446166171382,861.4231807073779,0.33126881130415103,0.0031970747572291278,0.003024928993082185,0.49860156990376964,0.0017352850775713042,0.016159748867843302,1.2945096089674821,0.0005748458249208775,6.70038619269085e-10,1.5155175373188694,0.416160095587714,0.0014306472163633913,5.330930332306957e-09,1.4900171764988683,0.0010107465113956954,0.0009119152812371606,0.003369155037985652,0.003039717604123868,0.2525693596858476,0.23446235132894064,0.001012679342629289,0.0009131838942942481,0.0031038825034962877,0.0028566749044661383,4.4270227819884183e-10,1.3122771055206187e-47,0.10819125077437544,0.00122538592615577,1.0071302923158696,1.1177853964716005,0.001017953429479192,0.0010193255841861907
iso,300.0,110.0,78.1394059188771,92.46913234002498,291.0332263740067,1671609501.4084578,193874560.13505903,25279669.58827608,2758399.605730844,1893908674.9724538,1865484061.5435169,936861.4397549047,858884.4342887022,1974889739.4986477,26032820.002781972,2561011.9131398224,1865307654.2710438,1893908771.4730504,8872.76875415457,0.9999541798776921,19.103979143396614,31.5726357042216,50.08000316221117,66.47659537064561,25.5,33.0,0.0014564586150232213,152844020.45536834,2306527.359924155,225661.0248396056,155381657.7046153,57478.62477068344,53923.607067877434,161927863.12539834,683.5376776684154,0.9999576377489372,21.32112681868715,34.07459575974334,52.54097307131426,28.5,12.188753183292876,9.164614704756737,676.2921723407268,0.33963949161263063,0.0032166364640281004,0.003029046234963514,0.6851729962580333,0.0027930520760733424,0.02559724612753309,1.6358040756859695,0.0009486307871651526,1.012562527296808e-09,1.6434461253601516,0.6336805332460308,0.002620228501658736,1.16113471678201e-08,1.6399796400206326,0.0014796534070425499,0.0014097324214799283,0.004932178023475166,0.00469910807159976,0.3185671647569113,0.30622458113909395,0.0014834377597386368,0.0014123981754918863,0.0048046105601450015,0.004752111940154341,5.280085640953858e-10,1.5651456617758232e-47,0.08204284597137465,0.001217866199360274,1.0116045125037805,1.1326062967148203,0.0014968240635058366,0.0015966718172511977
iso,300.0,120.0,85.24298827513866,95.70980286574547,278.86219575245525,1360481841.824674,188828388.57676795,26376357.74644117,2926058.114970568,1578737133.0283244,1549310230.4014418,1020073.1323200822,934082.6655632821,1645905154.2408366,27160279.083557837,2719291.8647416346,1548849751.1921396,1578737159.2148092,9474.78783868467,0.9999411835252859,20.904533993795955,33.67835669394655,52.3733283139138,69.40335212311211,28.5,34.0,0.001853416920242967,95112111.03834413,1903913.9311592288,188400.9773852422,97205551.27286583,47838.90521262339,44951.36571364348,101306915.85320455,571.0693974418552,0.9999434089608993,23.649479920495015,36.67927215942591,55.38014233181342,31.5,16.241224007841375,9.014297293513078,529.4871699487848,0.3486168395292937,0.00323807233704925,0.0030311381892363163,0.8613192396124438,0.004128078589532443,0.03721172765703159,1.8928721866382119,0.0014391177112113448,1.4107985649403159e-09,1.7654248508035217,0.8405840678303123,0.004221027071684297,2.2404486060882494e-08,1.7848209072735555,0.0021959001797540512,0.002239551191006677,0.007319667265846837,0.007465170636688924,0.39825147648891573,0.39668599130579313,0.0022034032521912874,0.0022453309877888588,0.00747922218379649,0.00805732124232609,6.334176723149634e-10,1.8776038673054708e-47,0.06157171402335151,0.0012059727305629103,1.0160409810957896,1.1483344739442074,0.002231124573025727,0.0025717538387957754
iso,300.0,130.0,92.34657063140021,98.84428305917679,266.69116513090376,1096756310.5083404,182137953.00863594,27398873.602299303,3092147.883797286,1309423987.3796759,1278894263.5169764,1107357.3788731326,1012753.1267502569,1365216636.5409133,28211489.60178442,2876467.7611747393,1278327631.9689171,1309423992.378163,10078.835274337258,0.9999244246137287,22.728607367860135,35.79156945170826,54.726603322415826,72.77385652954062,30.5,34.0,0.0023614565744935435,58105653.33269338,1558668.8035014349,156092.26327377994,59820979.536888115,39497.18469369325,37178.89365464949,62355081.61064136,474.4397208636322,0.9999235549765798,26.09686312362849,39.372508529117276,58.37770015543627,34.5,21.88904289961067,8.860790179495668,413.594146068603,0.3581191522810519,0.00325949328851634,0.003039482616966626,1.0265833383225291,0.005802403349045056,0.051413878612691206,2.0782614904825105,0.002077951768552752,1.876496069107621e-09,1.8814195955873168,1.037984446262595,0.00637957194441517,4.087051984905646e-08,1.9240924128142236,0.003293030902312861,0.0036520736962502146,0.010976769674376205,0.012173578987500712,0.4942606356011791,0.5119283302081278,0.0033080202864772764,0.0036649568828137193,0.011674372342495371,0.013869623447107144,7.636945784085774e-10,2.263776267276546e-47,0.04568495774741191,0.00119034691476863,1.0203939365980121,1.1651535264824129,0.003360188765749924,0.0042552265461595976
iso,300.0,140.0,99.45015298766175,101.88237444408854,254.52013450935232,875617627.9657338,173898059.1596454,28330186.71979098,3254255.0012664213,1081119766.9748173,1049515687.1253792,1198625.4868546005,1094826.0333822619,1127444686.0044196,29168251.55694724,3030454.265053805,1048912084.0492158,1081119768.1576905,10684.277011072518,0.9999027822070584,24.573241439585882,37.918187484754114,57.1550632097438,76.96822567316134,32.5,36.0,0.003010078162174814,34739932.66069924,1262908.35462207,128264.2874068837,36131540.777852826,32332.027548547077,30494.650073742963,37671016.69723189,390.7393090520053,0.9998957228150348,28.709847836373967,42.2085973624314,61.66760180919527,36.5,29.921773157194004,8.705582908765921,322.5056692597695,0.36832561873244263,0.003283171419238701,0.0030463608924321288,1.1814579740505227,0.007888588057839954,0.06867475737062646,2.2032030453797873,0.002905569077329259,2.424084177413891e-09,1.9913196851664545,1.2246847773143392,0.009292984986374632,7.245185058328165e-08,2.058264991089722,0.004974525451395358,0.006097252637445985,0.01658175150465119,0.020324175458153286,0.6099780496716105,0.6596311191005755,0.005004580141719663,0.006126696334945532,0.018211248001059187,0.024222601032782273,9.249669005666171e-10,2.741826610688342e-47,0.03342047928598686,0.0011681484264744622,1.0247151970499506,1.1834695778590896,0.005097471828156589,0.00721591300493842
iso,300.0,150.0,106.55373534392331,104.83245752746745,242.34910388780088,691986622.3276263,164327087.77370217,29172362.63480062,3412132.4764712756,888912881.8311875,856313710.1013285,1293708.5716692384,1180145.7515671635,927316219.8554677,30033309.440822557,3180642.014392366,855689362.4080474,888912882.0381458,11279.574658584403,0.9998748928088697,26.44007697201942,40.06389622885635,59.69721959099657,83.2453634893667,34.5,36.0,0.0038385454257814098,20271495.64735659,1013734.0208721156,104494.59309118039,21390079.406806074,26199.707314102114,24765.410675111674,22308880.695832085,319.02216878551116,0.9998560609421674,31.531875654838036,45.23697345309249,65.42497670693595,39.5,41.557250205828865,8.549598480118156,250.9614488904318,0.3791495730573605,0.0033057258873633766,0.0030530016850454384,1.3258263859625805,0.010470556574671873,0.08951905457680583,2.2755934381472587,0.003969907054959781,3.06862545545131e-09,2.0953536496101997,1.4008134621806556,0.013221033249197467,1.265236110126865e-07,2.187065946481028,0.007543343379523193,0.010382179240473282,0.025144477931743976,0.03460726413491095,0.749027372602721,0.8502222607801503,0.00760356836877935,0.010450764808998553,0.028334511968355396,0.04276710795869278,1.1249696347520239e-09,3.3346833047646953e-47,0.024063189817591417,0.0011404199911962045,1.0289128456546586,1.2037459170196123,0.007761442902375438,0.012497505870485493
iso,300.0,160.0,113.65731770018486,107.70176451725884,230.1780732662494,541768306.9707255,153616117.91047364,29913091.95950658,3564370.080984471,728876235.3383597,695384424.8811991,1392438.7593472926,1268485.5811774407,760713834.1398907,30793530.119158316,3325984.9687776295,694746550.9710039,728876235.3814752,11871.566917899137,0.9998390589813893,28.309896588584,42.222664454804274,62.39550717620811,113.27061546380062,37.5,36.0,0.004890226774000685,11509942.832961857,804034.6902763924,84266.36858046771,12398532.159852682,21001.861901704742,19901.593071580413,12937221.29767405,258.06205243377735,0.9997990385630158,34.56818163499611,48.52170048796289,70.04493841051303,43.5,58.78730045952634,8.392252005225185,195.09321677650698,0.3906549341707818,0.0033306213014278915,0.0030624560756685334,1.4601369937171707,0.013627078104448529,0.11436187354741836,2.302304735304918,0.005323485299833441,3.823137832164936e-09,2.193136886927874,1.5659106128875626,0.01846274166488827,2.1909976632323743e-07,2.3094837535094777,0.01143179973861365,0.017897692131503298,0.03810599912871217,0.05965897377167765,0.9154596471927757,1.0962072426086273,0.011551694821201618,0.0180590350694258,0.043769643597319344,0.07576783113755478,1.3719750370730347e-09,4.0668673263255314e-47,0.017010476619665097,0.0011031155239999593,1.0329987603392414,1.226461992584313,0.011809034958434366,0.021950839154264115
iso,300.0,170.0,120.76090005644643,110.49658822341021,218.00704264469798,419214575.67254686,142045021.74935842,30551110.08669246,3711032.9593268665,595536598.5863378,561259597.4219053,1494530.5235535607,1359619.2841052776,621925864.2791749,31447712.171844963,3466497.3435507733,560611628.6204746,595536598.5930732,12451.48818406842,0.9997929626898289,30.217567169054945,44.43223977531419,65.3672636744216,135.24037655708082,39.5,36.0,0.006231410408925288,6320224.100432143,630064.7452990811,67279.42106587024,7017800.022116786,16624.071279771822,15797.87840445023,7327689.726394061,206.5921604908808,0.9997155805093622,37.92803013662282,52.2027586488146,76.61244362060442,46.5,84.86086760943432,8.23250842057572,151.2408010312338,0.4027262867060737,0.003355262084852773,0.0030706590101097298,1.5850838040447242,0.017467875010389607,0.1438044281125966,2.2878467840942323,0.007034772439580024,4.707011552265505e-09,2.2853136798578833,1.7195357918994651,0.025403890135282263,3.775878230344828e-07,2.425453341164158,0.01728600118782226,0.031044012466994387,0.05762000395940753,0.10348004155664799,1.114353035631983,1.412660962726563,0.017522861819220102,0.031423981365656536,0.06713136155835939,0.13418870618978468,1.6791579264377069e-09,4.977432039389587e-47,0.011783994533292116,0.001057978211237907,1.036849441999029,1.2520692183196103,0.017922980685988063,0.0388692524230539
iso,300.0,180.0,127.86448241270799,113.22244449709025,205.8360120231465,320968025.13600516,129841287.34180206,31079403.647184864,3848941.437557183,485753252.1501133,450809312.4778072,1599972.9064642184,1453413.161182658,507679532.53552026,31988381.14995884,3599222.828408428,450154295.5204313,485753252.15140563,13012.73460235493,0.9997341239755353,32.14932665400126,46.68317677089508,68.75039882508665,147.20001854045972,41.5,36.0,0.00792365551958824,3343103.6673404155,487171.47031569656,53108.635710817005,3883568.0044670445,12958.684701499176,12355.368555344849,4059011.35190657,163.48133001643666,0.9995929904915988,41.64552382884093,56.41327353529553,95.77375403406717,49.5,125.07911580056775,8.074792550470734,117.12553173163462,0.4156916732616428,0.003380860637519534,0.003078243826608773,1.7001811819519819,0.022044149263875344,0.17800193225740554,2.23595372175313,0.009163569293129753,5.727327791681381e-09,2.371103907696358,1.8594304656959817,0.034299305865735645,6.458329310603938e-07,2.532744893316976,0.025903692534016382,0.05330482311272239,0.0863456417800546,0.17768274370907464,1.3485140960141582,1.8094204351509489,0.02636404324994542,0.05417901170738133,0.10157381050800221,0.23393083513339122,2.058658373512995e-09,6.10236356280058e-47,0.007994939791503234,0.0010029196267020463,1.0404642212895148,1.280891619535565,0.026951865280928373,0.0682777012059118
iso,300.0,190.0,134.96806476896953,115.884200246537,193.66498140159507,242774003.8292058,117335679.74758671,31493512.93195122,3979135.819751143,395598692.41549975,360109683.57679254,1707986.9777036717,1549196.9514844152,413882630.4526309,32411684.187626813,3724988.9369496335,359450077.0536233,395598692.4156825,13555.926727310098,0.9996590966015609,34.11271858519443,49.01534422841031,72.86497632927487,156.6192386960451,43.5,37.0,0.010058516107459304,1685945.934583004,370797.6243435485,41347.80569117214,2098235.8579202453,9927.453753749398,9501.376830847235,2196103.567093773,127.63213851071974,0.9994113775754176,45.86880812464776,61.5387087709062,138.8428918892178,53.5,188.53871499823381,7.914661463835341,90.49947020891435,0.42923565695490384,0.003406751450911241,0.0030867935160576007,1.80606534505846,0.02743131494056359,0.2171095712624093,2.1498618603747275,0.011774498489649681,6.8937870389855545e-09,2.450832975095883,1.9844348446728395,0.045249339874568056,1.094358917436552e-06,2.6297924272279336,0.0383782740961496,0.0892557594889507,0.12792758032049867,0.29751919829650236,1.6218599157423377,2.2910446866960728,0.03925568301008002,0.09117909803445556,0.15140969874834123,0.3957015639245049,2.5278142197439164e-09,7.4930554707682685e-47,0.005303950438027371,0.0009373075074628848,1.0436695925558785,1.3124713248745667,0.04005423768892628,0.11714562490914882
