m_GeV,delta_keV,halo,exo_roi,exo_all,mode,fwhm,p16,p84,pct248,gap_per_hi,lomid_per_hi,he1700_per_hi,f_hi_of_roi,Z5,mu_hi,mu_gap,B,frac_hi_of_all
1000.0,278.0,"SHM sun (v0=238, vE=251)",16585706.225476613,18518446.414745826,61.5,36.0,59.97406917024311,183.60640309900947,0.9966510256111574,5.741714943303425,5.267687472415442,0.8406432893809024,0.083230464132754,2.448701660819334,0.11022535210253655,0.6328825512980156,0.6093103881399811,0.07454383570841643
1000.0,278.0,SHM annual (WimPyDD),16753790.810131095,18693458.203597333,61.5,36.0,59.607020730525846,183.27158353712554,0.996694659010164,5.756564987538827,5.403927740668523,0.8424080937847194,0.08219682654797944,2.4461761364782024,0.10958027851911996,0.6308059946479189,0.6019755739928205,0.07366793357563287
1000.0,278.0,"v0=150, vE=251",12595314.950289277,14511665.864706997,157.5,74.0,124.28964748592931,193.97343402883303,0.9950193695884658,5.725335100960655,1.2930843100730827,0.8377633037205211,0.12462884785323441,2.4937686929976004,0.1247496618763769,0.7142336179737939,0.7725303569578356,0.10817087474573447
1000.0,278.0,"v0=100, vE=251",12452380.944337726,14466875.252981087,156.5,72.0,134.75396348743575,195.10331644431318,0.9948615308233667,6.0621967772208825,0.5995359641485031,0.8756280683584576,0.1304276694209536,2.4779550964609394,0.12153224993573956,0.7367524138888432,0.7242976969372455,0.11226577936912732
1000.0,278.0,"v0=50, vE=251",13191820.252460323,15323283.627497436,152.5,69.0,135.53993705363894,193.90186286914562,0.9951463666868349,6.594393562546504,0.4897988772064318,0.9247692894457252,0.12361657321337118,2.450156572286673,0.11359017705797655,0.7490583323596381,0.6329614638600016,0.10642155126134807
1000.0,278.0,"disk lag 100, sig 50",9312596.623900972,10956997.936618222,187.5,64.0,164.53609850693803,216.31896311178764,0.9838603767265743,1.851099477378067,0.0046622268006101366,0.3669372366042079,0.3494359692361165,2.877669367061142,0.30880864269448205,0.5716355171015859,5.3065141793591675,0.2969934142729416
1000.0,278.0,"disk lag 50, sig 50",6967173.647672842,8088143.523817403,200.5,60.0,176.81495554143953,225.7275310989175,0.9701667926481038,0.9197793932139477,0.00039611841311333227,0.21728725787086148,0.5189222546664354,3.087951719027505,0.46644218449049274,0.42902390942005364,14.966691175240715,0.44700263382524336
1000.0,278.0,"disk lag 50, sig 20",4231684.41649068,4697854.484510158,218.5,43.0,201.7376507223353,237.84827596033335,0.9301173830013391,0.15000681183932374,8.844470616521596e-11,0.0729079302573517,0.8628981336844102,3.3686724717286145,0.8166839147718296,0.12250815033538015,64.73244591153079,0.7772723904861327
1000.0,278.0,"disk lag 20, sig 20",2844085.9703554357,3063017.783516697,230.5,40.0,214.0525342312246,246.82217889099755,0.8496716910053447,0.028895045644029664,1.908029395560188e-13,0.030268280575283447,0.9606380111845517,3.5921993787318285,0.9435934070100312,0.027265174564960314,162.67649885908764,0.8919755885528434
1000.0,278.0,"disk lag 10, sig 10",1917026.9879369484,2042497.0559618443,241.5,32.0,228.28625401208137,254.4188808645867,0.6821852017723977,0.000560346582451971,4.935508447602744e-22,0.014207792744355852,0.9822174280327568,3.7751264185888895,0.9851551977014825,0.0005520283482168216,333.04507088635455,0.9218800644361796
1000.0,278.0,"SHM + disk(lag 50, sig 20) rho_d/rho_0 = 0.25",17811711.914253768,19867921.82472487,61.5,36.0,60.51069721676021,192.76452314593783,0.992740322353261,3.5215717908751625,3.249710954368676,0.535655256050958,0.1285663385191923,2.738268263466781,0.16884847791316984,0.5946120367512268,1.9593446584158187,0.11526049899816293
1000.0,278.0,"SHM + disk(lag 50, sig 20) rho_d/rho_0 = 1.0",20985475.226621773,23391312.68810749,61.5,36.0,63.21775078300618,213.14913187366173,0.9832694676177127,1.6853857025895602,1.479887717295818,0.2836386977770108,0.23962388119728995,3.007820401423973,0.2983768890843614,0.5028801428459337,7.486359803975519,0.2149781455031088
4000.0,256.0,"SHM sun (v0=238, vE=251)",5345375.753967631,5889541.3330912655,58.5,37.0,53.07393489590881,176.416718486129,0.9974008333443248,5.8985465951305365,8.529114637262252,0.8631090475996316,0.0647958689976102,2.4043672680522032,0.09870557133494579,0.5822194117181587,0.48869433260449624,0.05880903919478803
4000.0,256.0,SHM annual (WimPyDD),5407883.107701172,5954535.071997438,58.5,37.0,52.79448911120006,175.99963673614408,0.997438694030055,5.911911158196536,8.734739887480812,0.864686389717495,0.06388931167105148,2.4013939908843325,0.09801722932385627,0.5794691517352146,0.4817573379386677,0.05802399770443125
4000.0,256.0,"v0=150, vE=251",3593233.170707906,4104510.3385181786,156.5,74.0,86.37651309707628,190.8913073566493,0.9956337980228768,5.920348491356769,2.2049386410797,0.8641971309331831,0.10952080321564328,2.470906481223605,0.1179144154398784,0.6980944315586994,0.6902036145436828,0.09587837538231106
4000.0,256.0,"v0=100, vE=251",3326095.1750989743,3851105.769380071,154.5,72.0,130.9272611735868,193.6006081817602,0.995190341688472,6.273163328952595,0.9072102006876617,0.9013590965078964,0.12216391875393835,2.4626005051028885,0.11692609747510678,0.7334965068783765,0.6713130409470177,0.1055096497139485
4000.0,256.0,"v0=50, vE=251",3429810.090244031,3974464.984787754,151.5,72.0,133.32982590239425,192.99319697952544,0.9953329589257068,6.749912031621162,0.657702128460444,0.9391393545007208,0.11886434297420855,2.440466967753773,0.1108273127884611,0.7480746120230755,0.6033612873425529,0.10257534648400957
4000.0,256.0,"disk lag 100, sig 50",2670136.6342014954,3155258.5273855897,183.5,65.0,160.7021734799303,213.99836488246896,0.9858826933905894,2.1827393494456735,0.010755815236037131,0.4260737026072186,0.3125566339230748,2.829347153655786,0.27502338964545703,0.6003043745970688,4.120846696774683,0.2645009628393975
4000.0,256.0,"disk lag 50, sig 50",2018269.2770655535,2364668.3898323798,197.5,63.0,172.98460633434803,223.5283023814739,0.9740475763891195,1.1159342798005343,0.001104401659798269,0.2615322609502063,0.4708473237088441,3.038481010649125,0.41903199082099263,0.46761216289020857,11.560754933830758,0.4018731301675079
4000.0,256.0,"disk lag 50, sig 20",1219666.726371948,1374725.8473463005,215.5,45.0,198.86900092397104,236.16013268213356,0.9385739196609404,0.20505277502559277,8.494713423942765e-10,0.09632385967863275,0.8239272104919166,3.32361590476869,0.7672867637951509,0.15733428015660222,52.31822275497873,0.7309941873350864
4000.0,256.0,"disk lag 20, sig 20",797187.8596100542,867093.5114523763,228.5,41.0,211.9549251965168,245.82829540164937,0.8622616664813884,0.04173425316840122,1.9618018697503227e-12,0.0416407527647773,0.9487133158391867,3.5630621284264836,0.9224465332197294,0.038497617151706215,143.3053423386605,0.8722274214353145
4000.0,256.0,"disk lag 10, sig 10",510873.6669206258,545300.3189334862,241.5,33.0,227.599998288732,254.2804054840802,0.6900059436762006,0.0007784397012940088,2.474814084168596e-21,0.016014022010539735,0.9811416165566862,3.76639016088636,0.9831840013027137,0.0007653494602911328,321.6135497907309,0.9191988304703049
4000.0,256.0,"SHM + disk(lag 50, sig 20) rho_d/rho_0 = 0.25",5712799.789294159,6298216.533834014,58.5,37.0,53.461057733955016,185.54846449271795,0.9942968279879458,3.5092885650941987,5.057360498081659,0.5412010234416125,0.10445580140304997,2.6979491574816783,0.1564953406049972,0.5491873092756385,1.6224167381986292,0.09474667583120333
4000.0,256.0,"SHM + disk(lag 50, sig 20) rho_d/rho_0 = 1.0",6627549.83407312,7329260.91934374,58.5,37.0,55.41109557605353,208.06382115041197,0.9866058208792119,1.6651538628297204,2.2347852984426013,0.292909597507002,0.20375894059600716,2.9687364594460637,0.2828778681619704,0.47103517487894137,6.301584204788696,0.18425084709071846
1000.0,300.0,"SHM sun (v0=238, vE=251)",12305418.521443157,14119505.0424397,158.5,76.0,71.07328795063442,190.44056991835157,0.995513905705557,5.370909355172255,2.8333708704834355,0.9088640340412099,0.10857844995454706,2.499629138239488,0.1231913171090417,0.6616493975369439,0.772917574272235,0.0946281944787923
