op,n,m_med_GeV,R_lo,R_hi,R_100_200,R_roi,N_lo,ratio_100_200_over_hi,f_hi,pct248_true,pct248_obs,E_peak_keV,N_hi_unit,c_anand_1hi,c_mv2_1hi,Lambda_1hi_GeV,gchi_gN_1hi
O1s,1,0.01,4.8265e+05,0.67974,15.954,1.1718e+06,7.1005e+05,23.471,5.8008e-07,1,1,1,1.9305,1.1874e-05,0.71973,290.2,1.1874e-09
O1s,1,0.03,2.2404e+07,53.411,1235.2,3.4966e+07,4.1946e+05,23.127,1.5275e-06,1,1,4.3,151.69,1.3395e-06,0.081194,864.02,1.2056e-09
O1s,1,0.1,2.5288e+08,4805.2,97266,2.9366e+08,52627,20.242,1.6363e-05,1,1,8.45,13647,1.4122e-07,0.0085602,2661,1.4122e-09
O1s,1,0.3,4.6435e+08,74629,1.0507e+06,5.2103e+08,6222.1,14.079,0.00014323,1,0.99999,9.6,2.1195e+05,3.5835e-08,0.0021721,5282.6,3.2252e-09
O1s,1,1,5.1032e+08,1.689e+05,1.9439e+06,5.7249e+08,3021.4,11.509,0.00029503,0.99999,0.99997,9.8,4.7968e+05,2.382e-08,0.0014439,6479.3,2.382e-08
O1s,1,3,5.1479e+08,1.8497e+05,2.0744e+06,5.7759e+08,2783.1,11.215,0.00032024,0.99999,0.99997,9.8,5.253e+05,2.2762e-08,0.0013797,6628.1,2.0486e-07
O1s,1,10,5.153e+08,1.8694e+05,2.09e+06,5.7817e+08,2756.5,11.18,0.00032332,0.99999,0.99997,9.8,5.309e+05,2.2642e-08,0.0013724,6645.7,2.2642e-06
O1s,1,inf,5.1535e+08,1.8713e+05,2.0916e+06,5.7823e+08,2753.9,11.177,0.00032363,0.99999,0.99997,9.8,5.3146e+05,,,,
O1s,1,0,5.2675e+13,6.8235e+07,1.6046e+09,1.5288e+14,7.7197e+05,23.516,4.4633e-07,1,1,1,1.9379e+08,,,,
O1s,2,0.01,983.89,2.4965e-06,0.00013309,21311,3.9411e+08,53.31,1.1714e-10,1,1,1,7.09e-06,0.0061959,375.56,12.704,
O1s,2,0.03,1.6847e+06,0.015409,0.79464,5.65e+06,1.0933e+08,51.571,2.7272e-09,1,1,1,0.043761,7.8864e-05,4.7803,112.61,
O1s,2,0.1,1.3662e+08,124.38,4777.8,1.6944e+08,1.0984e+06,38.413,7.3407e-07,1,1,7.35,353.24,8.7779e-07,0.053207,1067.3,
O1s,2,0.3,4.1973e+08,29812,5.3177e+05,4.7197e+08,14079,17.837,6.3165e-05,1,0.99999,9.4,84666,5.6698e-08,0.0034367,4199.7,
O1s,2,1,5.0535e+08,1.5245e+05,1.8068e+06,5.6683e+08,3314.9,11.852,0.00026895,1,0.99997,9.8,4.3295e+05,2.5073e-08,0.0015198,6315.4,
O1s,2,3,5.1422e+08,1.8282e+05,2.0573e+06,5.7694e+08,2812.7,11.253,0.00031688,0.99999,0.99997,9.8,5.1921e+05,2.2896e-08,0.0013878,6608.8,
O1s,2,10,5.1525e+08,1.8674e+05,2.0885e+06,5.7812e+08,2759.2,11.184,0.00032302,0.99999,0.99997,9.8,5.3034e+05,2.2654e-08,0.0013732,6644,
O1s,2,inf,5.1535e+08,1.8713e+05,2.0916e+06,5.7823e+08,2753.9,11.177,0.00032363,0.99999,0.99997,9.8,5.3146e+05,,,,
O1s,2,0,1.2227e+19,2.5158e+10,1.3469e+12,5.7683e+20,4.8603e+08,53.537,4.3614e-11,1,1,1,7.1448e+10,,,,
O3s,1,0.01,0.073772,7.5291e-05,0.00026126,0.08421,979.82,3.4701,0.00089408,0.99985,0.99979,10.6,0.00021383,0.0011282,68.387,29.772,1.1282e-07
O3s,1,0.03,4.2803,0.0059255,0.020085,4.8366,722.34,3.3896,0.0012251,0.99979,0.99971,13,0.016829,0.00012717,7.7086,88.675,1.1446e-07
O3s,1,0.1,94.4,0.54153,1.4944,119.25,174.32,2.7597,0.0045412,0.99919,0.99889,26,1.5379,1.3303e-05,0.80636,274.17,1.3303e-07
O3s,1,0.3,247.93,8.8874,14.635,387.39,27.897,1.6467,0.022942,0.99539,0.99396,36,25.24,3.2838e-06,0.19905,551.84,2.9554e-07
O3s,1,1,291.17,20.953,26.372,497.96,13.897,1.2587,0.042077,0.99079,0.98832,39,59.505,2.1387e-06,0.12963,683.8,2.1387e-06
O3s,1,3,295.57,23.082,28.079,511.21,12.805,1.2165,0.045151,0.99,0.98738,39,65.552,2.0377e-06,0.12351,700.54,1.8339e-05
O3s,1,10,296.08,23.344,28.285,512.77,12.683,1.2116,0.045526,0.9899,0.98726,39,66.298,2.0262e-06,0.12281,702.53,0.00020262
O3s,1,inf,296.13,23.371,28.305,512.93,12.671,1.2111,0.045563,0.98989,0.98725,39,66.373,,,,
O3s,1,0,7.7577e+06,7556.4,26300,8.9279e+06,1026.6,3.4805,0.00084638,0.99986,0.9998,10.25,21460,,,,
O3s,2,0.01,5.9253e-05,2.4867e-10,2.9977e-09,0.00011873,2.3828e+05,12.055,2.0944e-06,1,1,1,7.0621e-10,0.62081,37630,1.2692,
O3s,2,0.03,0.13829,1.5392e-06,1.757e-05,0.16552,89845,11.415,9.2991e-06,1,1,7.4,4.3713e-06,0.0078907,478.29,11.257,
O3s,2,0.1,34.131,0.012777,0.090759,37.742,2671.3,7.1032,0.00033854,0.99995,0.99993,17,0.036287,8.6606e-05,5.2496,107.45,
O3s,2,0.3,208.35,3.3926,7.7186,301.2,61.414,2.2751,0.011264,0.99796,0.99721,33,9.635,5.3149e-06,0.32216,433.76,
O3s,2,1,286.3,18.786,24.579,483.68,15.24,1.3084,0.03884,0.99162,0.98931,39,53.353,2.2586e-06,0.13691,665.39,
O3s,2,3,295.01,22.796,27.856,509.5,12.941,1.2219,0.044742,0.99011,0.9875,39,64.742,2.0504e-06,0.12428,698.37,
O3s,2,10,296.03,23.318,28.264,512.62,12.695,1.2121,0.045489,0.98991,0.98727,39,66.224,2.0273e-06,0.12288,702.33,
O3s,2,inf,296.13,23.371,28.305,512.93,12.671,1.2111,0.045563,0.98989,0.98725,39,66.373,,,,
O3s,2,0,7.0188e+11,2.505e+06,3.041e+07,1.919e+12,2.8019e+05,12.14,1.3053e-06,1,1,1,7.1141e+06,,,,
O4s,1,0.01,0.4246,5.5749e-05,0.00072813,1.0644,7616.3,13.061,5.2377e-05,0.99999,0.99999,1,0.00015833,0.0013111,79.474,27.617,1.3111e-07
O4s,1,0.03,19.719,0.0043865,0.056043,31.501,4495.3,12.776,0.00013925,0.99998,0.99997,3.6,0.012458,0.00014781,8.9594,82.252,1.3303e-07
O4s,1,0.1,226.75,0.39999,4.1993,278.58,566.88,10.498,0.0014358,0.99977,0.99968,8.25,1.136,1.5479e-05,0.93824,254.17,1.5479e-07
O4s,1,0.3,428.25,6.5158,40.763,580.98,65.725,6.256,0.011215,0.99794,0.99726,9.35,18.505,3.8351e-06,0.23246,510.63,3.4516e-07
O4s,1,1,474.09,15.282,72.106,693.13,31.023,4.7184,0.022048,0.99557,0.99429,9.55,43.401,2.5042e-06,0.15179,631.92,2.5042e-06
O4s,1,3,478.59,16.823,76.551,706.65,28.449,4.5505,0.023806,0.99515,0.99379,9.55,47.776,2.3868e-06,0.14468,647.28,2.1481e-05
O4s,1,10,479.11,17.013,77.084,708.25,28.162,4.531,0.024021,0.9951,0.99373,9.55,48.316,2.3735e-06,0.14387,649.1,0.00023735
O4s,1,inf,479.16,17.032,77.137,708.4,28.134,4.5291,0.024042,0.99509,0.99372,9.55,48.369,,,,
O4s,1,0,4.6344e+07,5595.3,73287,1.3941e+08,8282.6,13.098,4.0136e-05,0.99999,0.99999,1,15891,,,,
O4s,2,0.01,0.00086944,1.871e-10,7.8514e-09,0.019807,4.647e+06,41.964,9.4462e-09,1,1,1,5.3136e-10,0.7157,43382,1.182,
O4s,2,0.03,1.4821,1.1576e-06,4.6251e-05,5.143,1.2804e+06,39.955,2.2508e-07,1,1,1,3.2875e-06,0.0090989,551.53,10.483,
O4s,2,0.1,120.38,0.0095668,0.24831,152.02,12583,25.955,6.2932e-05,0.99999,0.99999,7.2,0.02717,0.00010009,6.0668,99.956,
O4s,2,0.3,384.29,2.5024,21.79,493.49,153.57,8.7075,0.0050708,0.99917,0.99884,9.15,7.1069,6.1885e-06,0.37511,401.98,
O4s,2,1,469.09,13.713,67.416,678.58,34.207,4.9162,0.020209,0.99599,0.99482,9.5,38.945,2.6436e-06,0.16024,615.04,
O4s,2,3,478.02,16.616,75.97,704.91,28.768,4.5721,0.023572,0.99521,0.99386,9.55,47.19,2.4016e-06,0.14557,645.28,
O4s,2,10,479.06,16.994,77.031,708.09,28.19,4.5329,0.023999,0.9951,0.99373,9.55,48.262,2.3748e-06,0.14395,648.92,
O4s,2,inf,479.16,17.032,77.137,708.4,28.134,4.5291,0.024042,0.99509,0.99372,9.55,48.369,,,,
O4s,2,0,1.0813e+13,1.8849e+06,7.9597e+07,5.3798e+14,5.7368e+06,42.229,3.5036e-09,1,1,1,5.353e+06,,,,
O5s,1,0.01,0.0004557,2.0458e-07,1.269e-06,0.00061086,2227.5,6.2028,0.0003349,0.99993,0.99991,6.25,5.81e-07,0.021644,1311.9,6.7972,2.1644e-06
O5s,1,0.03,0.023447,1.6104e-05,9.7873e-05,0.02726,1456,6.0775,0.00059075,0.99987,0.99984,8.35,4.5736e-05,0.0024395,147.87,20.247,2.1955e-06
O5s,1,0.1,0.36403,0.0014748,0.0074704,0.4087,246.84,5.0654,0.0036085,0.99917,0.99899,12.75,0.0041884,0.00025492,15.452,62.632,2.5492e-06
O5s,1,0.3,0.79766,0.024386,0.075961,1.0377,32.709,3.1149,0.023502,0.99392,0.99289,17,0.069258,6.2689e-05,3.7999,126.3,5.642e-06
O5s,1,1,0.90638,0.057827,0.13753,1.2899,15.674,2.3782,0.044829,0.98741,0.98567,18,0.16423,4.071e-05,2.4676,156.73,4.071e-05
O5s,1,3,0.91723,0.063758,0.14642,1.3213,14.386,2.2965,0.048255,0.98629,0.98446,18,0.18107,3.877e-05,2.35,160.6,0.00034893
O5s,1,10,0.91847,0.06449,0.14749,1.325,14.242,2.287,0.048672,0.98615,0.98431,18,0.18315,3.8549e-05,2.3367,161.06,0.0038549
O5s,1,inf,0.9186,0.064563,0.14759,1.3254,14.228,2.286,0.048714,0.98613,0.98429,18,0.18336,,,,
O5s,1,0,48897,20.532,127.69,69502,2381.5,6.219,0.00029541,0.99993,0.99992,1,58.31,,,,
O5s,2,0.01,6.5096e-07,6.6621e-13,1.2634e-11,3.5688e-06,9.7711e+05,18.964,1.8668e-07,1,1,1,1.892e-12,11.994,7.27e+05,0.28875,
O5s,2,0.03,0.0012621,4.1252e-09,7.4679e-08,0.0021329,3.0595e+05,18.103,1.9341e-06,1,1,3.9,1.1715e-08,0.15242,9238.9,2.5614,
O5s,2,0.1,0.16404,3.4364e-05,0.00041368,0.17723,4773.5,12.038,0.00019389,0.99996,0.99995,10.75,9.7594e-05,0.00167,101.22,24.471,
O5s,2,0.3,0.69547,0.0092496,0.039569,0.84609,75.189,4.2779,0.010932,0.99744,0.9969,16,0.026269,0.00010179,6.1699,99.117,
O5s,2,1,0.89436,0.051798,0.12817,1.2564,17.266,2.4744,0.041228,0.98857,0.98694,18,0.14711,4.3014e-05,2.6073,152.47,
O5s,2,3,0.91586,0.062962,0.14525,1.3172,14.546,2.307,0.0478,0.98644,0.98462,18,0.17881,3.9014e-05,2.3648,160.1,
O5s,2,10,0.91835,0.064417,0.14738,1.3246,14.256,2.2879,0.048631,0.98616,0.98432,18,0.18294,3.8571e-05,2.338,161.02,
O5s,2,inf,0.9186,0.064563,0.14759,1.3254,14.228,2.286,0.048714,0.98613,0.98429,18,0.18336,,,,
O5s,2,0,7.9372e+09,6710.9,1.2803e+05,7.8637e+10,1.1827e+06,19.077,8.534e-08,1,1,1,19059,,,,
O6s,1,0.01,3.6087e-06,1.3523e-07,7.3206e-07,5.6892e-06,26.685,5.4133,0.02377,0.99478,0.99354,11.35,3.8406e-07,0.026621,1613.6,6.129,2.6621e-06
O6s,1,0.03,0.00021703,1.0645e-05,5.6494e-05,0.00036646,20.387,5.3069,0.029049,0.9936,0.99208,14.25,3.0233e-05,0.0030004,181.87,18.256,2.7004e-06
