op,n,m_med_GeV,R_lo,R_hi,R_100_200,R_roi,N_lo,ratio_100_200_over_hi,f_hi,pct248_true,pct248_obs,E_peak_keV,N_hi_unit,c_anand_1hi,c_mv2_1hi,Lambda_1hi_GeV,gchi_gN_1hi
O6s,1,0.3,0.015304,0.016114,0.044579,0.10104,0.94976,2.7665,0.15948,0.95913,0.95199,81,0.045763,7.712e-05,4.6746,113.87,6.9408e-06
O6s,1,1,0.018233,0.038201,0.08118,0.17367,0.4773,2.1251,0.21996,0.93877,0.93005,129,0.10849,5.0087e-05,3.036,141.3,5.0087e-05
O6s,1,3,0.018534,0.042117,0.086491,0.18456,0.44007,2.0536,0.2282,0.93573,0.92686,132,0.11961,4.7702e-05,2.8914,144.79,0.00042932
O6s,1,10,0.018569,0.042601,0.08713,0.18588,0.43589,2.0453,0.22919,0.93536,0.92647,132,0.12099,4.743e-05,2.875,145.2,0.004743
O6s,1,inf,0.018573,0.042649,0.087193,0.18601,0.43548,2.0444,0.22929,0.93532,0.92643,132,0.12112,,,,
O6s,2,0.3,0.012656,0.0061135,0.02307,0.058771,2.0701,3.7736,0.10402,0.97587,0.97065,60,0.017362,0.0001252,7.5892,89.37,
O6s,2,1,0.017901,0.034219,0.075595,0.16231,0.52312,2.2091,0.21083,0.94209,0.93354,114,0.097183,5.2921e-05,3.2078,137.46,
O6s,2,3,0.018496,0.041592,0.085795,0.18312,0.44471,2.0628,0.22712,0.93613,0.92728,132,0.11812,4.8002e-05,2.9096,144.33,
O6s,2,10,0.018566,0.042553,0.087066,0.18575,0.4363,2.0461,0.22909,0.9354,0.92651,132,0.12085,4.7457e-05,2.8766,145.16,
O6s,2,inf,0.018573,0.042649,0.087193,0.18601,0.43548,2.0444,0.22929,0.93532,0.92643,132,0.12112,,,,
O9s,1,0.3,0.77732,0.16042,0.43761,1.5805,4.8455,2.7279,0.1015,0.98127,0.9748,12.5,0.45559,2.4442e-05,1.4815,202.27,2.1998e-06
O9s,1,1,0.86172,0.37684,0.80675,2.3304,2.2867,2.1408,0.16171,0.96737,0.95759,13,1.0702,1.5947e-05,0.96663,250.41,1.5947e-05
O9s,1,3,0.86997,0.41493,0.86084,2.4406,2.0967,2.0747,0.17001,0.96526,0.95507,13,1.1784,1.5198e-05,0.9212,256.51,0.00013678
O9s,1,10,0.87092,0.41962,0.86735,2.4539,2.0755,2.067,0.171,0.96501,0.95476,13,1.1917,1.5112e-05,0.91603,257.24,0.0015112
O9s,1,inf,0.87101,0.42009,0.86799,2.4552,2.0734,2.0662,0.1711,0.96498,0.95473,13,1.1931,,,,
