m_GeV,delta_keV,N_iso_unit,N_p_unit,source
300.0,240.0,94776.57658955794,21526.97110516145,P011
300.0,245.0,71883.68876035945,16202.28909706154,P011
300.0,250.0,54630.86792215223,12246.367620800458,P011
300.0,255.0,41295.0805329264,9248.29903461814,P011
300.0,260.0,30838.926497869845,6930.762391568356,P011
300.0,265.0,22518.779005120297,5105.785422203403,P011
300.0,270.0,15926.80194536325,3662.6213004271535,P011
300.0,275.0,10792.248382809215,2530.5307639068146,P011
300.0,280.0,6912.532984255652,1661.2065504881182,P011
300.0,285.0,4137.8185962956395,1025.1127370163708,P011
300.0,290.0,2263.5663279102732,581.0681288490083,P011
300.0,295.0,1109.5223047383524,297.4955372924161,P011
300.0,300.0,469.3567134063129,132.6479322235181,P011
300.0,305.0,158.8556266938363,48.3151284833186,P011
300.0,310.0,38.469709454172175,12.898422712359151,P011
300.0,315.0,5.646405631865344,2.174799646678826,P011
300.0,320.0,0.3673657255828634,0.176571543581678,P011
500.0,250.0,104078.72130440496,24210.982772333697,WimPyDD-live
500.0,260.0,67219.8613651996,15620.287711476276,WimPyDD-live
500.0,270.0,43059.50150755009,10092.445169348252,WimPyDD-live
500.0,280.0,26535.571639460504,6355.789042685172,WimPyDD-live
500.0,290.0,15205.937260477767,3773.1734879746314,WimPyDD-live
500.0,300.0,7818.137216160397,2041.042549142566,WimPyDD-live
500.0,310.0,3431.3910374931834,959.582159720714,WimPyDD-live
500.0,320.0,1202.4149541432969,368.87829912969875,WimPyDD-live
500.0,330.0,306.6753132134924,106.67678388570882,WimPyDD-live
500.0,340.0,46.18982594925701,19.61404302436783,WimPyDD-live
500.0,350.0,2.6961294072492548,1.6026473542092157,WimPyDD-live
500.0,360.0,0.0338115593277317,0.0264885573680338,WimPyDD-live
500.0,370.0,0.0,0.0,WimPyDD-live
500.0,380.0,0.0,0.0,WimPyDD-live
500.0,390.0,0.0,0.0,WimPyDD-live
1000.0,240.0,157807.02670234084,37364.311821669304,P011
1000.0,245.0,128018.3549377056,30292.74719982898,P011
1000.0,250.0,104590.33635641636,24729.033234551363,P011
1000.0,255.0,85921.29009996465,20307.275171488283,P011
1000.0,260.0,70920.34367599069,16767.576778215378,P011
1000.0,265.0,58620.790429462606,13885.420024142571,P011
1000.0,270.0,48483.68908613764,11521.445961076506,P011
1000.0,275.0,39997.95362247972,9556.617908016076,P011
1000.0,280.0,32827.621528703756,7901.842610119945,P011
1000.0,285.0,26759.079585306135,6505.230489527464,P011
1000.0,290.0,21608.10864970441,5318.579808556987,P011
1000.0,295.0,17237.163572569265,4305.32462648164,P011
1000.0,300.0,13574.36844020978,3449.1372479438432,P011
1000.0,305.0,10491.712853185794,2721.0002338711593,P011
1000.0,310.0,7946.209039016155,2109.000203978476,P011
1000.0,315.0,5898.561517389935,1607.4312682165646,P011
1000.0,320.0,4257.177392782752,1195.4666649877872,P011
1000.0,325.0,2980.7099890370173,865.6125379566291,P011
1000.0,330.0,2017.336239691061,609.0290459156785,P011
1000.0,335.0,1312.1767862516344,413.69916259673306,P011
1000.0,340.0,814.5081572324478,269.8643482038106,P011
1000.0,345.0,478.8784926990968,168.0290181449281,P011
1000.0,350.0,264.9941188172267,99.2847481690405,P011
1000.0,355.0,135.1441996286685,54.70908244541831,P011
1000.0,360.0,62.974854049146174,27.92007360674987,P011
1000.0,365.0,26.2016085338862,12.963904864451766,P011
1000.0,370.0,9.434334882008898,5.355367378139414,P011
1000.0,375.0,2.8093206975306444,1.865521852013713,P011
1000.0,380.0,0.6840030790078221,0.5297782686359239,P011
1000.0,385.0,0.1529457482584266,0.1138719125000837,P011
1000.0,390.0,0.037469478223337,0.0169048725502035,P011
1000.0,395.0,0.0089143638521608,0.0012210488083895,P011
1000.0,400.0,0.0010613685545082,1.2203820260007466e-05,P011
2000.0,250.0,71557.22826437821,17019.788365332017,WimPyDD-live
2000.0,260.0,49378.96560307848,11756.605953473478,WimPyDD-live
2000.0,270.0,34485.45776964934,8247.216276737077,WimPyDD-live
2000.0,280.0,24032.15490819069,5806.813669618254,WimPyDD-live
2000.0,290.0,16456.019990720273,4048.736666421325,WimPyDD-live
2000.0,300.0,10914.656741441646,2756.3385841199192,WimPyDD-live
2000.0,310.0,6908.297898968103,1806.9543687460489,WimPyDD-live
2000.0,320.0,4106.053214667781,1123.8536288302644,WimPyDD-live
2000.0,330.0,2245.21929028539,650.8652946671853,WimPyDD-live
2000.0,340.0,1104.492535450912,344.30171869568477,WimPyDD-live
2000.0,350.0,475.0790157215706,162.32038411073376,WimPyDD-live
2000.0,360.0,170.32274884998606,65.48513196914593,WimPyDD-live
2000.0,370.0,47.52337871243623,21.364703242006,WimPyDD-live
2000.0,380.0,9.378827542618655,5.218034656704975,WimPyDD-live
2000.0,390.0,1.1190893070849444,0.8200555091307833,WimPyDD-live
3000.0,240.0,77702.51512898998,18493.944242831847,P011
3000.0,245.0,63791.660076844186,15193.15590649764,P011
3000.0,250.0,52716.056301235905,12559.985881912851,P011
3000.0,255.0,43807.99979426833,10441.79387027121,P011
3000.0,260.0,36562.792175951174,8722.883214373616,P011
3000.0,265.0,30625.458744330605,7317.994251796527,P011
3000.0,270.0,25687.92499346779,6156.217798182248,P011
3000.0,275.0,21559.65056203045,5186.8665392249595,P011
3000.0,280.0,18058.425866193404,4369.71009154415,P011
3000.0,285.0,15053.119456796145,3669.540653772456,P011
3000.0,290.0,12500.4102083476,3076.182141615264,P011
3000.0,295.0,10301.00899513202,2563.371571266058,P011
3000.0,300.0,8421.208203971575,2123.6678317602928,P011
3000.0,305.0,6800.891700015726,1741.5418928696056,P011
3000.0,310.0,5431.626481277154,1416.0869153020035,P011
3000.0,315.0,4279.995645853278,1137.7692756994109,P011
3000.0,320.0,3314.7122100280885,901.628629245996,P011
3000.0,325.0,2521.0548052258127,703.1338923648954,P011
3000.0,330.0,1880.04306268154,539.1975501714495,P011
3000.0,335.0,1368.4583368582842,405.282032476289,P011
3000.0,340.0,970.151336844803,297.6012052634725,P011
3000.0,345.0,669.1783284118475,213.49326391716144,P011
3000.0,350.0,445.3379901438389,148.58650681640515,P011
3000.0,355.0,285.6262022612244,100.19851537150488,P011
3000.0,360.0,174.17607898401187,64.72395886628614,P011
3000.0,365.0,101.66375838732418,40.30245209849195,P011
3000.0,370.0,55.89095614784385,23.87600039374903,P011
3000.0,375.0,28.429182488559704,13.242582223031691,P011
3000.0,380.0,13.339852343651785,6.858511080393016,P011
3000.0,385.0,5.696376087893481,3.2849194347602992,P011
3000.0,390.0,2.1488744502552475,1.4114447479539307,P011
3000.0,395.0,0.7037306135758072,0.5281989051428243,P011
3000.0,400.0,0.2100137080752573,0.1658897740044884,P011
5000.0,250.0,34199.06309142439,8158.782959647257,WimPyDD-live
5000.0,260.0,23835.24426756227,5695.03032223712,WimPyDD-live
5000.0,270.0,16818.281515183797,4036.8130734946576,WimPyDD-live
5000.0,280.0,11887.381259281789,2880.008566243479,WimPyDD-live
5000.0,290.0,8303.298962244291,2043.5428645305024,WimPyDD-live
5000.0,300.0,5649.484972245908,1423.3609027423531,WimPyDD-live
5000.0,310.0,3698.868620002934,961.5475795460916,WimPyDD-live
