m_GeV,delta_keV,source,N_iso_unit,N_p_unit
500.0,250.0,WimPyDD-live,104078.72130440497,24210.982772333697
500.0,260.0,WimPyDD-live,67219.8613651996,15620.287711476276
500.0,270.0,WimPyDD-live,43059.50150755009,10092.445169348252
500.0,280.0,WimPyDD-live,26535.571639460504,6355.789042685172
500.0,290.0,WimPyDD-live,15205.937260477767,3773.1734879746314
500.0,300.0,WimPyDD-live,7818.137216160397,2041.042549142566
500.0,310.0,WimPyDD-live,3431.3910374931834,959.5821597207139
500.0,320.0,WimPyDD-live,1202.4149541432967,368.87829912969875
500.0,330.0,WimPyDD-live,306.6753132134924,106.67678388570882
500.0,340.0,WimPyDD-live,46.18982594925701,19.61404302436783
500.0,350.0,WimPyDD-live,2.6961294072492548,1.6026473542092157
500.0,360.0,WimPyDD-live,0.03381155932773176,0.026488557368033884
500.0,370.0,WimPyDD-live,0.0,0.0
500.0,380.0,WimPyDD-live,0.0,0.0
500.0,390.0,WimPyDD-live,0.0,0.0
2000.0,250.0,WimPyDD-live,71557.22826437821,17019.788365332017
2000.0,260.0,WimPyDD-live,49378.96560307848,11756.605953473478
2000.0,270.0,WimPyDD-live,34485.45776964934,8247.216276737077
2000.0,280.0,WimPyDD-live,24032.15490819069,5806.813669618254
2000.0,290.0,WimPyDD-live,16456.019990720273,4048.736666421325
2000.0,300.0,WimPyDD-live,10914.656741441646,2756.3385841199192
2000.0,310.0,WimPyDD-live,6908.297898968103,1806.9543687460489
2000.0,320.0,WimPyDD-live,4106.053214667781,1123.8536288302644
2000.0,330.0,WimPyDD-live,2245.21929028539,650.8652946671853
2000.0,340.0,WimPyDD-live,1104.492535450912,344.30171869568477
2000.0,350.0,WimPyDD-live,475.0790157215706,162.32038411073376
2000.0,360.0,WimPyDD-live,170.32274884998606,65.48513196914593
2000.0,370.0,WimPyDD-live,47.52337871243623,21.364703242006
2000.0,380.0,WimPyDD-live,9.378827542618657,5.218034656704975
2000.0,390.0,WimPyDD-live,1.1190893070849444,0.8200555091307833
5000.0,250.0,WimPyDD-live,34199.06309142439,8158.782959647257
5000.0,260.0,WimPyDD-live,23835.24426756227,5695.03032223712
5000.0,270.0,WimPyDD-live,16818.281515183797,4036.8130734946576
5000.0,280.0,WimPyDD-live,11887.381259281787,2880.0085662434794
5000.0,290.0,WimPyDD-live,8303.298962244291,2043.5428645305024
5000.0,300.0,WimPyDD-live,5649.484972245908,1423.3609027423533
5000.0,310.0,WimPyDD-live,3698.8686200029347,961.5475795460915
5000.0,320.0,WimPyDD-live,2301.1705950340274,622.7448413224195
5000.0,330.0,WimPyDD-live,1338.4459748192935,381.1338876628752
5000.0,340.0,WimPyDD-live,713.755010431895,216.53547579635293
5000.0,350.0,WimPyDD-live,343.5679134885753,112.67650467388486
5000.0,360.0,WimPyDD-live,143.54975189193954,52.05298044454699
5000.0,370.0,WimPyDD-live,49.98053668422143,20.587575721730374
5000.0,380.0,WimPyDD-live,13.67657249811358,6.657737831243128
5000.0,390.0,WimPyDD-live,2.648243181008225,1.6104981474631948
10000.0,250.0,WimPyDD-live,18122.404858061916,4327.383366280783
10000.0,260.0,WimPyDD-live,12662.998080504682,3029.0140971548876
10000.0,270.0,WimPyDD-live,8973.787603548382,2155.9363543530194
10000.0,280.0,WimPyDD-live,6363.192840029062,1542.9873041578041
10000.0,290.0,WimPyDD-live,4468.891019414509,1100.1576501169902
10000.0,300.0,WimPyDD-live,3065.701876771561,772.0139918365027
10000.0,310.0,WimPyDD-live,2027.245473620534,526.1028626559482
10000.0,320.0,WimPyDD-live,1278.2267783504903,344.7904647479489
10000.0,330.0,WimPyDD-live,757.0316523554094,214.3409767594322
10000.0,340.0,WimPyDD-live,413.9552225289181,124.4933811737866
10000.0,350.0,WimPyDD-live,205.34980373909457,66.58602160456898
10000.0,360.0,WimPyDD-live,89.79947122965935,31.9719592583114
10000.0,370.0,WimPyDD-live,33.07638923900837,13.284606933410473
10000.0,380.0,WimPyDD-live,9.797298387861137,4.599832142678187
10000.0,390.0,WimPyDD-live,2.1554396617241283,1.2405387280984785
1000.0,300.0,WimPyDD-live,13574.370320864828,3449.1383830288178
1000.0,365.0,WimPyDD-live,26.201636046364516,12.963908647258732
