m_GeV,delta_keV,alpha_D_thermal,sigma_p_N1_cm2,eps_mA1GeV,eps_mA10GeV,mA_ceiling_GeV,mA_floor_planck_GeV,mA_floor_chi2_GeV,window_open,window_ratio,k_alphaD_to_open,dilution_D_to_open,alpha_D_diluted
300.0,250.0,0.010366367136513984,2.4099540222830684e-42,1.3640002075961954e-06,0.00013640002075961954,27.076515993217033,2.704269687786257,4.999999999999999,True,5.415303198643407,1.0,1.0,0.010366367136513984
300.0,252.5,0.010366367136513984,2.7732017866213797e-42,1.463190233134844e-06,0.0001463190233134844,26.14264967842609,2.704269687786257,4.824805475599088,True,5.418384183702246,1.0,1.0,0.010366367136513984
300.0,255.0,0.010366367136513984,3.191201192309174e-42,1.569593352272428e-06,0.0001569593352272428,25.240992318957154,2.704269687786257,4.655749575474188,True,5.421466921658121,1.0,1.0,0.010366367136513984
300.0,257.5,0.010366367136513984,3.6863334102251586e-42,1.6869700180269604e-06,0.00016869700180269603,24.347048336526846,2.704269687786257,4.492617208953199,True,5.419346275041275,1.0,1.0,0.010366367136513984
300.0,260.0,0.010366367136513984,4.258288084152125e-42,1.8131242959214147e-06,0.00018131242959214147,23.484764592871052,2.704269687786257,4.335200821905617,True,5.417226457930937,1.0,1.0,0.010366367136513984
300.0,262.5,0.010366367136513984,4.961286017573899e-42,1.9570737429546727e-06,0.0001957073742954673,22.604578060732287,2.704269687786257,4.183300132670377,True,5.40352768002396,1.0,1.0,0.010366367136513984
300.0,265.0,0.010366367136513984,5.780341409915493e-42,2.1124517739784446e-06,0.00021124517739784442,21.757380078608364,2.704269687786257,4.036721877236486,True,5.389863542816907,1.0,1.0,0.010366367136513984
300.0,267.5,0.010366367136513984,6.824781653282753e-42,2.29537918270256e-06,0.000229537918270256,20.87241882412448,2.704269687786257,3.8952795633522452,True,5.358387885813734,1.0,1.0,0.010366367136513984
300.0,270.0,0.010366367136513984,8.057940061306152e-42,2.494147159848033e-06,0.0002494147159848033,20.023452547855253,2.704269687786257,3.7587932332502274,True,5.327096039954552,1.0,1.0,0.010366367136513984
300.0,272.5,0.010366367136513984,9.694250333056359e-42,2.735691827312943e-06,0.0002735691827312943,19.119054601850962,2.704269687786257,3.6270892346861,True,5.271183961787912,1.0,1.0,0.010366367136513984
300.0,275.0,0.010366367136513984,1.166284296047862e-41,3.0006287898757417e-06,0.00030006287898757416,18.25550553756585,2.704269687786257,3.5,True,5.215858725018814,1.0,1.0,0.010366367136513984
300.0,277.5,0.010366367136513984,1.4394560890338836e-41,3.3335676156241507e-06,0.00033335676156241506,17.319899424526213,2.704269687786257,3.377363832919362,True,5.128230265187347,1.0,1.0,0.010366367136513984
300.0,280.0,0.010366367136513984,1.7766112767514202e-41,3.703448119085156e-06,0.0003703448119085156,16.432243711816813,2.704269687786257,3.259024702831932,True,5.04207399764046,1.0,1.0,0.010366367136513984
300.0,282.5,0.010366367136513984,2.2616136519022281e-41,4.178489030723888e-06,0.0004178489030723888,15.470001891416937,2.704269687786257,3.1448320462672394,True,4.919182221441385,1.0,1.0,0.010366367136513984
300.0,285.0,0.010366367136513984,2.87901826212836e-41,4.714463391536003e-06,0.00047144633915360026,14.564107173528734,2.704269687786257,3.034640575333932,True,4.799285718351044,1.0,1.0,0.010366367136513984
300.0,287.5,0.010366367136513984,3.823989638507779e-41,5.43335912570254e-06,0.0005433359125702541,13.566436749065307,2.704269687786257,2.9283100928692645,True,4.632855236916669,1.0,1.0,0.010366367136513984
300.0,290.0,0.010366367136513984,5.079126085363776e-41,6.2618773203023645e-06,0.0006261877320302365,12.63710874092646,2.704269687786257,2.825705314065541,True,4.4721962612387784,1.0,1.0,0.010366367136513984
300.0,292.5,0.010366367136513984,7.098429837422159e-41,7.402717987381105e-06,0.0007402717987381105,11.622629600031315,2.704269687786257,2.726695694346572,True,4.262532714644042,1.0,1.0,0.010366367136513984
300.0,295.0,0.010366367136513984,9.920546430616174e-41,8.75140645490155e-06,0.000875140645490155,10.689590600897265,2.704269687786257,2.6311552632751596,True,3.952856717351987,1.0,1.0,0.010366367136513984
300.0,297.5,0.010366367136513984,1.4856810348918801e-40,1.0709590068432172e-05,0.0010709590068432172,9.66303552516955,2.704269687786257,2.5389624642802704,True,3.5732514285880304,1.0,1.0,0.010366367136513984
300.0,300.0,0.010366367136513984,2.224925968417967e-40,1.3105929889660389e-05,0.0013105929889660388,8.735063768751917,2.704269687786257,2.45,True,3.230100832103965,1.0,1.0,0.010366367136513984
300.0,302.5,0.010366367136513984,3.686584881734575e-40,1.6870275572692032e-05,0.001687027557269203,7.699081405391996,2.704269687786257,2.3329056316913084,True,2.8470094680884226,1.0,1.0,0.010366367136513984
300.0,305.0,0.010366367136513984,6.108476544007324e-40,2.1715833999928744e-05,0.0021715833999928747,6.785967001053987,2.704269687786257,2.221407627092662,True,2.509352906517637,1.0,1.0,0.010366367136513984
300.0,307.5,0.010366367136513984,1.1822414370232969e-39,3.021086404188082e-05,0.003021086404188082,5.753318630221207,2.704269687786257,2.1152385157251006,True,2.1274944049426274,1.0,1.0,0.010366367136513984
300.0,310.0,0.010366367136513984,2.288123405804179e-39,4.202906994776247e-05,0.004202906994776247,4.877812588199934,2.704269687786257,2.0141436104920203,True,1.8037448743482982,1.0,1.0,0.010366367136513984
300.0,312.5,0.010366367136513984,5.5723465730232325e-39,6.558871429102801e-05,0.006558871429102801,3.9046799388072784,2.704269687786257,1.9178803967150608,True,1.443894429776229,1.0,1.0,0.010366367136513984
300.0,315.0,0.010366367136513984,1.3570529566332823e-38,0.00010235485695250615,0.010235485695250617,3.125689056075535,2.704269687786257,1.8262179503701736,True,1.1558348156593272,1.0,1.0,0.010366367136513984
300.0,317.5,0.010366367136513984,4.76262147230874e-38,0.00019174899249173547,0.019174899249173545,2.28367056754223,2.704269687786257,1.7389363841283003,False,0.844468500259553,0.9403793295749803,1.1308209643208098,0.009748317377963127
300.0,320.0,0.010366367136513984,1.6714574901166369e-37,0.0003592176982735294,0.03592176982735294,1.6684805070170816,2.704269687786257,1.6558263198717678,False,0.616980072125468,0.8389478374232248,1.4207906231492702,0.008696841291113594
300.0,322.5,0.010366367136513984,,,,,,,,,,,
300.0,325.0,0.010366367136513984,,,,,,,,,,,
300.0,327.5,0.010366367136513984,,,,,,,,,,,
300.0,330.0,0.010366367136513984,,,,,,,,,,,
300.0,332.5,0.010366367136513984,,,,,,,,,,,
300.0,335.0,0.010366367136513984,,,,,,,,,,,
300.0,337.5,0.010366367136513984,,,,,,,,,,,
300.0,340.0,0.010366367136513984,,,,,,,,,,,
300.0,342.5,0.010366367136513984,,,,,,,,,,,
300.0,345.0,0.010366367136513984,,,,,,,,,,,
300.0,347.5,0.010366367136513984,,,,,,,,,,,
300.0,350.0,0.010366367136513984,,,,,,,,,,,
300.0,352.5,0.010366367136513984,,,,,,,,,,,
300.0,355.0,0.010366367136513984,,,,,,,,,,,
300.0,357.5,0.010366367136513984,,,,,,,,,,,
300.0,360.0,0.010366367136513984,,,,,,,,,,,
300.0,362.5,0.010366367136513984,,,,,,,,,,,
300.0,365.0,0.010366367136513984,,,,,,,,,,,
300.0,367.5,0.010366367136513984,,,,,,,,,,,
300.0,370.0,0.010366367136513984,,,,,,,,,,,
300.0,372.5,0.010366367136513984,,,,,,,,,,,
300.0,375.0,0.010366367136513984,,,,,,,,,,,
300.0,377.5,0.010366367136513984,,,,,,,,,,,
300.0,380.0,0.010366367136513984,,,,,,,,,,,
300.0,382.5,0.010366367136513984,,,,,,,,,,,
300.0,385.0,0.010366367136513984,,,,,,,,,,,
300.0,387.5,0.010366367136513984,,,,,,,,,,,
300.0,390.0,0.010366367136513984,,,,,,,,,,,
347.2,250.0,0.012015645996695315,1.752207500836202e-42,1.0798375877835219e-06,0.00010798375877835219,30.431319215023265,3.1345163469639954,4.999999999999999,True,6.086263843004654,1.0,1.0,0.012015645996695315
347.2,252.5,0.012015645996695315,2.002201857812819e-42,1.1543024118264283e-06,0.00011543024118264284,29.433384135814578,3.1345163469639954,4.824805475599088,True,6.1004291851082115,1.0,1.0,0.012015645996695315
347.2,255.0,0.012015645996695315,2.287863895980344e-42,1.233902276622196e-06,0.0001233902276622196,28.468174368817266,3.1345163469639954,4.655749575474188,True,6.114627496028453,1.0,1.0,0.012015645996695315
347.2,257.5,0.012015645996695315,2.6105623948367295e-42,1.3180525082884876e-06,0.00013180525082884877,27.54442076885363,3.1345163469639954,4.492617208953199,True,6.131041103159468,1.0,1.0,0.012015645996695315
347.2,260.0,0.012015645996695315,2.991299321965379e-42,1.4108979724096706e-06,0.00014108979724096704,26.622705947417284,3.1345163469639954,4.335200821905617,True,6.141054830238472,1.0,1.0,0.012015645996695315
347.2,262.5,0.012015645996695315,3.42973107590477e-42,1.5107607991052767e-06,0.00015107607991052765,25.727770103081706,3.1345163469639954,4.183300132670377,True,6.150113376316269,1.0,1.0,0.012015645996695315
347.2,265.0,0.012015645996695315,3.9325408045562693e-42,1.6177160409238088e-06,0.0001617716040923809,24.86273230925769,3.1345163469639954,4.036721877236486,True,6.159139288109331,1.0,1.0,0.012015645996695315
347.2,267.5,0.012015645996695315,4.5265969457960796e-42,1.7356077715530296e-06,0.00017356077715530296,24.003479839709446,3.1345163469639954,3.8952795633522452,True,6.1621969487222765,1.0,1.0,0.012015645996695315
347.2,270.0,0.012015645996695315,5.2416402255873303e-42,1.8676662781103718e-06,0.00018676662781103717,23.139307702974087,3.1345163469639954,3.7587932332502274,True,6.156046972279327,1.0,1.0,0.012015645996695315
347.2,272.5,0.012015645996695315,6.095907244005674e-42,2.0141177096934516e-06,0.00020141177096934517,22.28217475164603,3.1345163469639954,3.6270892346861,True,6.143266214285571,1.0,1.0,0.012015645996695315
347.2,275.0,0.012015645996695315,7.100422787692075e-42,2.1737409036403754e-06,0.00021737409036403756,21.448459797248784,3.1345163469639954,3.5,True,6.128131370642509,1.0,1.0,0.012015645996695315
347.2,277.5,0.012015645996695315,8.37063203547233e-42,2.3601782219159225e-06,0.00023601782219159225,20.583897029580474,3.1345163469639954,3.377363832919362,True,6.0946637815411036,1.0,1.0,0.012015645996695315
