m_GeV,delta_keV,mA_GeV,s_channel_over_required,N_th_contact_Ap
300.0,300.0,1.0,9.673125476327235e-10,0.007976834652583645
300.0,300.0,10.0,9.678447905525145e-06,0.007976834652583645
300.0,300.0,100.0,0.10233715078296653,0.007976834652583645
300.0,300.0,1000.0,306.0620354226904,0.007976834652583645
300.0,300.0,5000.0,129.05297496318536,0.007976834652583645
300.0,300.0,20000.0,125.58896812469426,0.007976834652583645
300.0,350.0,1.0,,
300.0,350.0,10.0,,
300.0,350.0,100.0,,
300.0,350.0,1000.0,,
300.0,350.0,5000.0,,
300.0,350.0,20000.0,,
300.0,366.0,1.0,,
300.0,366.0,10.0,,
300.0,366.0,100.0,,
300.0,366.0,1000.0,,
300.0,366.0,5000.0,,
300.0,366.0,20000.0,,
1000.0,300.0,1.0,3.246051750242236e-12,0.019254169698726356
1000.0,300.0,10.0,3.2462124358094716e-08,0.019254169698726356
1000.0,300.0,100.0,0.00032623414448065667,0.019254169698726356
1000.0,300.0,1000.0,5.770755781718336,0.019254169698726356
1000.0,300.0,5000.0,73.60657884844815,0.019254169698726356
1000.0,300.0,20000.0,52.99132949236304,0.019254169698726356
1000.0,350.0,1.0,1.1276735054463302e-10,0.0005542387131395304
1000.0,350.0,10.0,1.1277293273711857e-06,0.0005542387131395304
1000.0,350.0,100.0,0.011333325208858215,0.0005542387131395304
1000.0,350.0,1000.0,200.47518961949297,0.0005542387131395304
1000.0,350.0,5000.0,2557.0815002486347,0.0005542387131395304
1000.0,350.0,20000.0,1840.9108321349215,0.0005542387131395304
1000.0,366.0,1.0,1.030669426480554e-09,6.064023016907733e-05
1000.0,366.0,10.0,1.0307204465240311e-05,6.064023016907733e-05
1000.0,366.0,100.0,0.10358416453624338,6.064023016907733e-05
1000.0,366.0,1000.0,1832.3002864816092,6.064023016907733e-05
1000.0,366.0,5000.0,23371.177123489913,6.064023016907733e-05
1000.0,366.0,20000.0,16825.530638031305,6.064023016907733e-05
3000.0,300.0,1.0,5.764779018131649e-13,0.0013384814555972746
3000.0,300.0,10.0,5.764810724547919e-09,0.0013384814555972746
3000.0,300.0,100.0,5.767982687632223e-05,0.0013384814555972746
3000.0,300.0,1000.0,0.6098900565252682,0.0013384814555972746
3000.0,300.0,5000.0,3859.0667316294084,0.0013384814555972746
3000.0,300.0,20000.0,902.2042256290948,0.0013384814555972746
3000.0,350.0,1.0,8.239291723265143e-12,9.364943092860522e-05
3000.0,350.0,10.0,8.239337039557809e-08,9.364943092860522e-05
3000.0,350.0,100.0,0.0008243870557513106,9.364943092860522e-05
3000.0,350.0,1000.0,8.716833861324597,9.364943092860522e-05
3000.0,350.0,5000.0,55155.58615765822,9.364943092860522e-05
3000.0,350.0,20000.0,12894.724646929877,9.364943092860522e-05
3000.0,366.0,1.0,3.372964426582938e-11,2.2876167179748187e-05
3000.0,366.0,10.0,3.3729829779643236e-07,2.2876167179748187e-05
3000.0,366.0,100.0,0.003374838889285841,2.2876167179748187e-05
3000.0,366.0,1000.0,35.68458493059635,2.2876167179748187e-05
3000.0,366.0,5000.0,225793.4738635358,2.2876167179748187e-05
3000.0,366.0,20000.0,52787.84753046797,2.2876167179748187e-05
