m_GeV,model,delta_keV,G_GeV2,S,closed_form_check,Y_required,Y_FI_TRH_10m,overproduction_TRH_10m,Yeq_at_T_eq_m,thermalises,T_RH_for_Omega_DM_GeV,m_over_T_RH
300.0,Z' U(1)_B,300.0,7.615043450992018e-07,2.0,1.0000394737666307,1.4519056261343012e-12,8295053965564.511,5.713218418782557e+24,0.00703162087592441,True,11.410954780566705,26.290525707008456
300.0,Z' B-L,300.0,7.615043450992018e-07,6.5,1.000039473766631,1.4519056261343012e-12,26958925388084.664,1.8567959861043312e+25,0.00703162087592441,True,11.152803503026895,26.899066222997593
300.0,Higgsino-equivalent isoscalar,,4.598692940087001e-06,6.5,1.000039473766631,1.4519056261343012e-12,983165498350024.6,6.771552369885795e+26,0.00703162087592441,True,10.44261640737436,28.728432444204905
1000.0,Z' U(1)_B,300.0,1.41600271616938e-07,2.0,1.0000382569366766,4.3557168784029036e-13,10622692895898.7,2.438793244016743e+25,0.00703162087592441,True,37.014347671151285,27.01655068689466
1000.0,Z' B-L,300.0,1.41600271616938e-07,6.5,1.0000382569366764,4.3557168784029036e-13,34523751911670.777,7.926078043054417e+25,0.00703162087592441,True,36.2096118837591,27.61697648707813
1000.0,Z' U(1)_B,366.0,3.569616763905019e-06,2.0,1.0000382569366766,4.3557168784029036e-13,6750712899565177.0,1.5498511698585053e+28,0.00703162087592441,True,32.992653392791794,30.309778001016404
1000.0,Higgsino-equivalent isoscalar,,4.598692940087001e-06,6.5,1.000038256936677,4.3557168784029036e-13,3.641318257570223e+16,8.35985983300497e+28,0.00703162087592441,True,32.11325562651508,31.139788865702116
3000.0,Z' U(1)_B,300.0,1.797780644540304e-07,2.0,1.0000382566247816,1.4519056261343013e-13,462320996025007.4,3.1842358601222386e+27,0.00703162087592441,True,101.92746606989783,29.432694794381707
3000.0,Z' B-L,300.0,1.797780644540304e-07,6.5,1.0000382566247816,1.4519056261343013e-13,1502543237081273.8,1.0348766545397273e+28,0.00703162087592441,True,99.87136184725485,30.03864115308908
3000.0,Z' U(1)_B,366.0,1.7370938570267827e-06,2.0,1.0000382566247814,1.4519056261343013e-13,4.316351314154811e+16,2.972886967624126e+29,0.00703162087592441,True,94.55192063047743,31.72859927112886
3000.0,Higgsino-equivalent isoscalar,,4.598692940087001e-06,6.5,1.000038256624782,1.4519056261343013e-13,9.831559270941262e+17,6.771486447860795e+30,0.00703162087592441,True,90.02545190430611,33.32390936719645
10000.0,Z' U(1)_B,300.0,2.979606705307543e-07,2.0,1.0000382566247816,4.3557168784029036e-14,4.7035345455269576e+16,1.0798531394105641e+30,0.00703162087592441,True,309.59821918028337,32.299927391303434
10000.0,Z' B-L,300.0,2.979606705307543e-07,6.5,1.0000382566247816,4.3557168784029036e-14,1.5286487272962614e+17,3.509522703084334e+30,0.00703162087592441,True,303.9537662804712,32.89974038608415
10000.0,Z' U(1)_B,366.0,2.349166065718435e-06,2.0,1.0000382566247812,4.3557168784029036e-14,2.923707283544347e+18,6.712344638470564e+31,0.00703162087592441,True,290.71052647372653,34.39847920644101
10000.0,Higgsino-equivalent isoscalar,,4.598692940087001e-06,6.5,1.0000382566247819,4.3557168784029036e-14,3.6413182484967633e+19,8.359859812173819e+32,0.00703162087592441,True,280.29165829485385,35.67712311110045
