m_GeV,f_thermal,rho_fraction_used,dilution_D,delta_N1_full_density,delta_lo_full,delta_hi_full,delta_N1_thermal_density,delta_lo_thermal,delta_hi_thermal,N_at_300keV_thermal,N_at_366keV_thermal,N_at_366keV_full
300.0,0.07334374233458264,0.07334374233458264,1.0,310.0,306.81188729194133,310.0,301.9543121516663,295.4683780306452,310.0,1.6992878078395264,0.0,0.0
500.0,0.19777130558549677,0.19777130558549677,1.0,342.35187633798114,336.4321090557255,351.066106077558,334.79438934344273,327.69481789291495,344.89866681664176,86.72308194240446,0.0,0.0
700.0,0.3806769412190577,0.3806769412190577,1.0,356.8530633906706,349.7192606349645,368.1300697497922,351.5236034493048,343.50796592727824,363.63273281090187,262.449668916561,0.06411327178286112,0.16841911038149174
1000.0,0.7619837260657554,0.7619837260657554,1.0,365.782531145048,357.7956919749437,379.5498700306408,364.15690011591033,355.9766438204945,377.826980143601,602.3228290355969,0.7345420039012303,0.9639864721177037
1100.0,0.917013013147322,0.917013013147322,1.0,368.02606410931344,359.71304785687676,383.34996772683314,367.4895192143923,359.12422009204295,382.7953764514521,724.7158357599616,1.271783723682853,1.3868764188175546
1150.0,0.9997091271084859,0.9997091271084859,1.0,368.9476518135831,360.50167160861025,385.0260223240159,368.9458312948801,360.49968777558536,385.02415186730315,788.306459993018,1.5933305306883505,1.593794122193151
1300.0,1.2683963597033014,1.0,1.2683963597033014,371.1077077241041,362.3211887562073,389.3471823939156,371.1077077241041,362.3211887562073,389.3471823939156,776.9254564796973,2.152649324980678,2.152649324980678
2000.0,2.920239791836488,1.0,2.920239791836488,374.91659832320806,365.38093436827563,391.1988907548968,374.91659832320806,365.38093436827563,391.1988907548968,643.7552942542088,3.368272822730578,3.368272822730578
3000.0,6.3628135497608564,1.0,6.3628135497608564,376.76892965673477,366.5678797546578,393.78442976262966,376.76892965673477,366.5678797546578,393.78442976262966,500.3034370406992,3.903101782852801,3.903101782852801
5000.0,16.81537824939337,1.0,16.81537824939337,376.0818834454219,365.0074201631321,390.0,376.0818834454219,365.0074201631321,390.0,336.5745625675524,3.274307547087541,3.274307547087541
10000.0,63.64926703317696,1.0,63.64926703317696,372.8676793641738,360.85505438216495,390.0,372.8676793641738,360.85505438216495,390.0,182.84716501732083,2.1315577360970788,2.1315577360970788
