m_GeV,delta_keV,N_events,source
5000.0,250.0,2139.7759659707617,WimPyDD-live
5000.0,260.0,1496.5683485399745,WimPyDD-live
5000.0,270.0,1053.3592413277415,WimPyDD-live
5000.0,280.0,737.6866578228095,WimPyDD-live
5000.0,290.0,506.78207857376,WimPyDD-live
5000.0,300.0,336.5745625675523,WimPyDD-live
5000.0,310.0,213.56376624283857,WimPyDD-live
5000.0,320.0,127.77145225085616,WimPyDD-live
5000.0,330.0,70.84121358514828,WimPyDD-live
5000.0,340.0,35.71580164927172,WimPyDD-live
5000.0,350.0,16.138058813092726,WimPyDD-live
5000.0,360.0,6.313580863059896,WimPyDD-live
5000.0,370.0,2.1135634193466046,WimPyDD-live
5000.0,380.0,0.6174705045552668,WimPyDD-live
5000.0,390.0,0.17114617948354058,WimPyDD-live
10000.0,250.0,1132.75777696331,WimPyDD-live
10000.0,260.0,794.1890503268978,WimPyDD-live
10000.0,270.0,561.6280684022627,WimPyDD-live
10000.0,280.0,394.6970694463625,WimPyDD-live
10000.0,290.0,272.8305778391404,WimPyDD-live
10000.0,300.0,182.8471650173209,WimPyDD-live
10000.0,310.0,117.31041810675005,WimPyDD-live
10000.0,320.0,71.23208917368218,WimPyDD-live
10000.0,330.0,40.30830273184514,WimPyDD-live
10000.0,340.0,20.885060248617705,WimPyDD-live
10000.0,350.0,9.733558218376865,WimPyDD-live
10000.0,360.0,3.991304529903367,WimPyDD-live
10000.0,370.0,1.4030891221650479,WimPyDD-live
10000.0,380.0,0.43070344195330884,WimPyDD-live
10000.0,390.0,0.12394874612837148,WimPyDD-live
1000.0,300.0,797.4921427592282,WimPyDD-live
1000.0,350.0,11.3978761722621,WimPyDD-live
1000.0,365.0,1.1916260224439175,WimPyDD-live
1000.0,375.0,0.23029664039903336,WimPyDD-live
