model,delta_keV,C,Gamma_A_lo,Gamma_A_hi,Gamma_A_eq,limit_used,Gamma_lim_central,Gamma_lim_lo,Gamma_lim_hi,ratio_lo,ratio_hi,status,channel,status_U1B,ratio_hi_U1B
Higgsino,200.0,1.3377738533693e+24,6.605437519643297e+23,6.6888692668465e+23,6.6888692668465e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,17339.326099381084,17558.335100298187,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,210.0,1.219995852459671e+24,5.9528739060154075e+23,6.099979262298355e+23,6.099979262298355e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,15626.341416135523,16012.494148028052,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,220.0,1.1061690024436093e+24,5.2937899728919036e+23,5.5308450122180465e+23,5.5308450122180465e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,13896.2408422816,14518.51220858461,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,230.0,9.99599275877098e+23,4.646050023268943e+23,4.99799637938549e+23,4.99799637938549e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,12195.918315468009,13119.780303420514,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,240.0,9.013474913954926e+23,4.0208639828946e+23,4.506737456977463e+23,4.506737456977463e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,10554.799980067124,11830.221719370305,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,250.0,8.084616862653159e+23,3.4119899733142975e+23,4.0423084313265795e+23,4.0423084313265795e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,8956.500855421,10611.091827999633,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,260.0,7.219343783671988e+23,2.779052630930004e+23,3.609671891835994e+23,3.609671891835994e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,7295.035290507212,9475.417466017307,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,270.0,6.43434393303915e+23,2.2621567386000905e+23,3.217171966519575e+23,3.217171966519575e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,5938.17945622132,8445.102035918193,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,280.0,5.72043044826926e+23,1.758969809323358e+23,2.86021522413463e+23,2.86021522413463e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,4617.309759137784,7508.087744104929,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,290.0,5.051198384127786e+23,1.3273754467115122e+23,2.525599192063893e+23,2.525599192063893e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,3484.3711197627727,6629.71799480348,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
