z_cm,collection,f_top,TBA,t_mean_ns,t_median_ns,t_sd_ns,t_mean_bottom,t_mean_top,t_p10_bottom,direct_bottom_ns,unfinished
-7.0,0.132435,0.07792501982104429,-0.8441499603579115,11.858291483065122,2.5920727526535323,21.99408152500275,9.0010717209106,45.667341023326706,0.46907914220370306,0.38051382291722263,0.0
-2.0,0.128195,0.09836577089590078,-0.8032684582081985,14.3392621448721,4.174166985293877,23.942647614560883,10.995840739980544,44.98552408653669,0.8340801263701574,0.6623759139670172,0.0
2.0,0.1228,0.11803745928338762,-0.7639250814332248,17.246567800867393,6.485297565329699,25.12058858800411,13.681409785808025,43.88502511863248,1.1640280709656563,0.8878655868068528,0.0
10.0,0.12103,0.1481037759233248,-0.7037924481533504,20.44290076328924,9.602946314475808,26.768600711212077,16.249052341692437,44.56601047088971,1.8010212641729864,1.3388449324865241,0.0
26.4,0.11654,0.21203020422172644,-0.5759395915565471,26.70350964788571,16.159626601349753,28.976542648104676,22.29157712176882,43.09961502519503,3.326219455123291,2.26335259112985,0.0
40.0,0.115895,0.27460201044048493,-0.45079597911903013,30.644796835318978,20.656301432800767,29.52066522533797,26.65209244330144,41.192060252032725,4.822417553582145,3.0300174787852914,0.0
60.0,0.111125,0.3583352080989876,-0.2833295838020247,34.763195075513664,24.887499697896832,30.829887150924762,32.720234338357216,38.42149028804358,7.248194466079101,4.15746584298447,0.0
73.0,0.11194,0.4142397713060568,-0.17152045738788638,35.67889633609309,26.0682566906044,30.718895154526006,35.743714203338776,35.58723992989728,8.973828199954902,4.8903072797139355,0.0
100.0,0.109495,0.526553723914334,0.05310744782866798,36.10216173444213,26.7505143750888,31.793107447900155,42.53355847827833,30.319426374100967,12.869158458305359,6.412362571382826,0.0
120.0,0.11314,0.600715927169878,0.20143185433975605,33.847905949624675,25.150114506138443,31.734718520805437,46.09875569208685,25.705006852799407,15.985179006411316,7.539810935582004,0.0
140.0,0.11444,0.6659821740650123,0.33196434813002446,30.74690092640023,21.73182347273503,32.096988790581506,48.25509317207488,21.965812576457125,17.894518746999566,8.667259299781183,0.0
