label,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh,r_Nlo_min,Nlo_min,r_max_rho_hi,max_rho_hi,r_max_ratio_enh,max_ratio_enh
iso,1.887000022728662e+18,6.344367668555831e+16,688013201545085.9,0.00036460688566934777,2742.679963830615,92.21287693765396,1736032045794.284,0.999993853559651,101.99249595013754,266.8609940968725,10.0,1.8510113919680805e-05,0.5,sunframe,1000.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.7436332887381135,7.244914885870793,2.0,1.915896400762094,-0.74,374.90365172692276
p-only,3.4433023848198854e+17,1.497150870227062e+16,277645281801834.56,0.000806334299961163,1240.180406623115,53.92315189046261,1613196797529.416,0.9999572224229443,108.09815590571819,291.9462655444428,10.0,9.848258950500323e-05,0.5,sunframe,1000.0,0.0,0.0,0.18247495195261104,0.4035464452983179,0.9292436746415776,2.211516928652867,-0.7436332887381135,7.244914885870793,2.0,1.915896400762094,-0.74,374.90365172692276
xeno,2056337242478563.5,1413532552278374.0,121157370642634.16,0.058919017824430216,16.972448573054105,11.666913410061781,1661510346386.3376,0.9922646708845216,143.67213805693282,366.0255875021231,41.5,0.029707609793455256,0.5,sunframe,1000.0,0.0,-0.7,0.0010897388541124841,0.17609745041308578,0.9570735462006691,161.59600967564364,-0.7436332887381135,7.244914885870793,2.0,1.915896400762094,-0.74,374.90365172692276
N_lo-min,832937729365136.0,1123908001228270.0,114968601079020.42,0.13802784653139596,7.244914885870793,9.775782176002851,1668183733840.3354,0.9868179467233347,149.4632827800168,372.1506434140267,7.0,0.042812279423525536,0.5,sunframe,1000.0,0.0,-0.7436332887381135,0.0004414084363182368,0.16710231841603182,0.9609175924382743,378.5662091323468,-0.7436332887381135,7.244914885870793,2.0,1.915896400762094,-0.74,374.90365172692276
vec,4.131582857676292e+16,738906161519293.5,87058257287281.56,0.0021071405387775607,474.5767933353611,8.487490842838652,1716072847823.085,0.9992644500452066,68.64706093833911,181.62820450279318,9.0,0.0006682527303060619,0.5,sunframe,1000.0,0.0,-1.0,0.021894980434085484,0.12653573665704812,0.9885029783755708,5.779212136680464,-0.7436332887381135,7.244914885870793,2.0,1.915896400762094,-0.74,374.90365172692276
r=-2,9.779567930129853e+17,2.074586906330433e+16,116252128001426.84,0.00011887245820264295,8412.37756095942,178.45582201342327,2044660196675.2915,0.9999383121330057,90.38606233702455,224.33720422036376,9.5,3.902863891647938e-05,0.5,sunframe,1000.0,0.0,-2.0,0.5182600854444235,0.16896787407619066,1.1777779112019797,0.32602910936368107,-0.7436332887381135,7.244914885870793,2.0,1.915896400762094,-0.74,374.90365172692276
r=+2,4.669325181316783e+18,1.4615541011138237e+17,1318162016517035.2,0.000282302466701474,3542.2999015359956,110.87818362234952,2084578592617.6897,0.999995404960331,100.2425932743853,259.59275722264863,10.0,8.879372106596928e-06,0.5,sunframe,1000.0,0.0,2.0,2.474470124576252,1.915896400762094,1.2007719544508384,0.7742653191620923,-0.7436332887381135,7.244914885870793,2.0,1.915896400762094,-0.74,374.90365172692276
iso,94903178.63645028,114309362982611.31,14634435913334.986,154203.85411320894,6.484922220334706e-06,7.810985244634672,41367154440.69793,0.9974842973905237,101.26293327612771,266.0800287809625,157.0,0.02563020256582321,54.5,sunframe,1000.0,250.0,1.0,1.0,1.0,1.0,1.0,-0.7544394376030227,0.9729871146491623,2.0,1.9010649082600475,-0.9,9427.338086901364
p-only,21077575.912450083,24415008071696.203,6074614286394.373,288202.69995119434,3.469780124090943e-06,4.019186555824582,39550902441.75441,0.9863022196154299,107.57627713847285,291.35539578685416,168.5,0.11764454631007895,54.5,sunframe,1000.0,250.0,0.0,0.22209557377622585,0.41509042933859497,0.9560943452964062,1.8689720928739562,-0.7544394376030227,0.9729871146491623,2.0,1.9010649082600475,-0.9,9427.338086901364
xeno,970887.7703983128,2855410288278.4883,2835658388449.885,2920686.071971571,3.4238530788930805e-07,1.0069655427850746,41814763822.39119,0.8736793050714509,143.6190291249579,365.6712429748866,221.0,0.8331339582932281,54.5,sunframe,1000.0,250.0,-0.7,0.010230297702857084,0.19376615574680373,1.0108204054096817,18.94042200675053,-0.7544394376030227,0.9729871146491623,2.0,1.9010649082600475,-0.9,9427.338086901364
N_mid-min,496816.97913803597,2606414618346.1797,2678776089738.861,5391877.0940286,1.8546416814794995e-07,0.9729871146491623,42112839741.73428,0.8582318295998277,150.81832189848538,372.9788254242283,227.0,0.9070406836405981,54.5,sunframe,1000.0,250.0,-0.7544394376030227,0.005234987766228719,0.18304607745748122,1.0180260235715592,34.96590357637979,-0.7544394376030227,0.9729871146491623,2.0,1.9010649082600475,-0.9,9427.338086901364
vec,312870.27206058765,4044099638466.572,2141547686199.8794,6844842.343427139,1.4609540290730944e-07,1.8884004612770129,43676226543.478546,0.8535930448530061,nan,181.25978477000814,118.5,0.5578461622651052,54.5,sunframe,1000.0,250.0,-1.0,0.003296731221818327,0.14633619627583241,1.0558189736277557,44.388270207578536,-0.7544394376030227,0.9729871146491623,2.0,1.9010649082600475,-0.9,9427.338086901364
r=-2,32609061.715281796,53196637682922.41,2835236112751.505,86946.2647379029,1.1501356648436506e-05,18.762683447657132,53743126745.87032,0.9673303855519202,89.305661578865,223.5208307473224,139.5,0.062793834982258,54.5,sunframe,1000.0,250.0,-2.0,0.3436034723367775,0.19373730081171223,1.2991738849940482,0.5638397641739303,-0.7544394376030227,0.9729871146491623,2.0,1.9010649082600475,-0.9,9427.338086901364
