config,family,s,z_b,edge,M_t,mass_gain,d_reco_min,feasible,b_wall,b_rfr,b_uni,b_leak_lowE_diag,b_total,b_total_worst,b_total_worst_long,b_total_best,P_ge1_bkg,P_ge1_bkg_worst,Z_L10,Z_L10_worst,Z_L10_3D,Z_L10_3D_worst,Z_inel350,Z_inel366,N5sigma,N5sigma_worst,P5_L10,P5_L10_worst,P5lo_L10,Zmed_L10,Zmed_L10_worst,P5_inel366,P5_inel366_worst,P5lo_inel366,Zlo_L10,Zlo_inel366,s_L10,s_inel350,s_inel366,live_5sigma_L10_d,live_5sigma_inel350_d,live_5sigma_inel366_d,live_5sigma_L10_lo68_d,tyr_5sigma_L10,tyr_5sigma_inel366,reach_MA_L10,reach_MA_inel366,FoM_M_sqrtb,d_reco_mean
"LZ 2026 (600 phd, s=8, z_b=9)",A,8.0,9.0,600,4.71,0.0,6.20742626665502,True,0.0004003018867924528,8.339622641509436e-06,0.0004805748053908356,0.0002382749326145553,0.0008892163148247978,0.0017744076894878709,0.0017744076894878709,0.0006848955601078167,0.0008888210791562212,0.0017728343588778728,5.7329245914434255,5.4394231162762905,5.7714753202101745,5.564047794789903,5.7329245914434255,5.7329245914434255,3,3,0.4260107657680159,0.42624264185032784,0.03608124978691258,4.93776321837257,4.6611286522018,0.4260107657680159,0.42624264185032784,0.03608124978691258,2.8543999982736445,2.8543999982736445,2.382749326145553,2.382749326145553,2.382749326145553,398.738881534478,398.738881534478,398.738881534478,1608.464129199968,5.141848410752612,5.141848410752612,1.0,1.0,157.94911468063472,7.303703370159761
"edge 800 (s=8, z_b=9)",A,8.0,9.0,800,4.71,0.0,6.20742626665502,True,0.002339135465099767,0.0002451998763612606,0.0006696242814016174,0.0002382749326145553,0.003253959622862645,0.006314844829552783,0.006314844829552783,0.0019617919521321314,0.00324867123387218,0.006294948100557862,6.31764121474145,5.958396103297466,6.5967777196104835,6.538910917357772,7.752849593240233,11.021176453472089,3,3,0.6523460000165435,0.6529459538209614,0.08216328681357567,5.707621382570281,5.359304303949612,0.9926766232477379,0.9926944898115009,0.492006278121355,3.0947946275275897,5.488096989696859,3.3560592442811443,4.77301307000635,8.795066646928742,328.34554519393316,218.03104061214242,107.89097891276433,1368.2875532018452,4.234106825088091,1.391284081257002,1.4084818774075842,3.69114222399385,82.56858219951835,7.303703370159761
"edge 1000 (s=8, z_b=9)",A,8.0,9.0,1000,4.71,0.0,6.20742626665502,True,0.005580017304018061,0.0015371860683837564,0.0008526363471698115,0.0002382749326145553,0.007969839719571629,0.015563592957202558,0.015563592957202558,0.004411238033370721,0.007938164750992294,0.015443106123530614,6.946068656511429,6.504149749884482,7.473821148161633,7.538564778368068,9.109416325587247,14.046092412045065,3,4,0.8282452649191525,0.6617166057006254,0.15703084925854582,6.282077392663174,5.852961993157906,0.9999630644974354,0.9998017446766093,0.8294260448718562,3.3586241165091115,6.955761072937871,4.508314181928633,7.144745078151078,15.06312982116248,271.6207234286922,157.9282936084953,66.42476124830914,1161.7648720414613,3.5026245238853946,0.8565657097317894,1.8920639835922204,6.321743397795565,52.758946319680874,7.303703370159761
"edge 1200 (s=8, z_b=9)",A,8.0,9.0,1200,4.71,0.0,6.20742626665502,True,0.01068524318239137,0.0070263634995595785,0.001029046529380054,0.0002382749326145553,0.018740653211331004,0.03692880975851106,0.03692880975851106,0.00988484987035553,0.01856613904020199,0.036255257872116364,7.404407061057351,6.869755474913507,8.28261966240856,8.474651874700877,8.693386017809845,13.556683349666287,4,4,0.8288550804707667,0.830648233711516,0.1007369423485575,7.4185364878741895,6.861257537904903,0.9999054676204987,0.9999068750344611,0.7069405031963293,3.523003754544919,6.615261680798914,5.769287802803238,7.536135443786482,15.963287904635887,239.03443660968117,173.40559908945204,71.307324319697,1055.8806542663742,3.0824153221946564,0.919527714019912,2.4212735009502278,6.699524674909404,34.405553185227646,7.303703370159761
"1000 phd, s=7, z_b=9",A,7.0,9.0,1000,4.863268196869073,0.03254101844353996,5.20742626665502,True,0.007162205457299151,0.0015912019403134044,0.0008803820022686968,0.0017673281595966932,0.009633789399881253,0.030190086422774445,0.017971786213367362,0.005517018899864872,0.009587533111070079,0.029738917440091828,6.954733879865606,6.161206537663315,7.542829123270629,7.5777135339127595,9.131018013544953,14.100769934291357,3,4,0.8441125019081839,0.6879824088855127,0.16798792893461134,6.163332671772552,6.251084112672634,0.9999760156075136,0.9998687941298516,0.8452335940665374,3.349849888064179,6.964481261540398,4.655019316872046,7.377242359513583,15.553299406490364,270.94429554125907,157.1819403941015,65.91061915233556,1167.8588408535206,3.6075969216396993,0.8775934783285506,1.9536336725786527,6.527459366298557,49.54840130368703,6.303703370159761
"1000 phd, s=6, z_b=9",A,6.0,9.0,1000,5.0189920418257605,0.06560340590780478,4.20742626665502,True,0.009190382971389084,0.0016461506278410512,0.0009085721955449406,0.013108591782737261,0.011745105794775074,0.06357859946479266,0.020834531848540058,0.007018423116687006,0.011676401283355675,0.061599641364022406,6.9525509034388175,5.711785351975303,7.608273012359549,7.60645276891755,9.13955194544355,14.137718337295652,3,5,0.8589537231933889,0.5359853684177833,0.17944297379156363,6.948619306037656,5.646009928137763,0.999984566240399,0.9996333912402712,0.8600137182714018,3.3343871725297642,6.962342958715834,4.804074947165611,7.613464689620813,16.05132244106216,271.11446556174894,156.88854445185115,65.56655941259233,1178.715492674582,3.725452005689972,0.9009665705727495,2.016189825111359,6.736471295966132,46.31141392161462,5.303703370159761
"1000 phd, s=6, z_b=5",A,6.0,5.0,1000,5.156743639192765,0.09485002955260402,4.20742626665502,True,0.009270048604160922,0.00715165003307857,0.0009335089298964924,0.010583911512069373,0.01735520756713599,0.0844376190133422,0.0237612768979333,0.007746527205243757,0.01720547342599077,0.08097101647652072,6.792570254367995,5.580948894974825,7.650038678729911,7.631355683942395,8.955749379715769,13.908614927542637,4,5,0.7283548905843225,0.5630728946294355,0.06540841759550836,6.668373804287837,5.399892732420341,0.9999388812885338,0.9997432429250024,0.7300145604738725,3.2242906404257807,6.80224790178826,4.935927915316988,7.82242435995953,16.491868129854453,284.0355938757239,163.39440514056125,67.74438086275259,1260.5865809572856,4.010126603759011,0.9564419030939124,2.0715263083513604,6.921360945900454,39.143588342290656,5.410466978631312
"1000 phd, s=5, z_b=5 (d_reco,min 3.2 cm)",A,5.0,5.0,1000,5.319638174223318,0.12943485652299747,3.2074262666550197,True,0.011891993609774814,0.007395976979648328,0.0009629972104320286,0.07850278100474067,0.02025096779985517,0.16161821925016914,0.027302244018425487,0.009826877907656531,0.020047294131461002,0.14923405139243828,6.809405108000564,5.137626013303985,7.712921346146793,7.652143991078658,8.98771066601943,13.97855435315668,4,6,0.750358384388337,0.4284215262062727,0.07178513145662814,6.554536593920568,4.797491056347556,0.9999604794871487,0.9994058495662849,0.751963822030723,3.220041423146287,6.819147581967351,5.091847181227161,8.069524132234955,17.01282386835193,282.6328907932665,162.23437451009855,67.0681807275472,1263.9157558607626,4.116371567843807,0.9768061724133298,2.1369630138408104,7.1399973474644405,37.38171330081009,4.410466978631313
"1000 phd, reco-margin 3 cm, z_b=5",C,3.0,5.0,1000,5.549774281563131,0.17829602580958204,3.0,True,0.015681159713471633,0.008592318793954038,0.0010046580193309878,1.3253427056533507,0.02527813652675666,0.2892151801096321,0.03303486698504292,0.013014603559375122,0.02496131956165548,0.2511489497864875,6.820064036162698,4.751412991734885,7.797347011225227,7.6788278465644515,9.016772226321262,14.054916904376203,4,7,0.779185962599777,0.3299550760322139,0.08144225832405089,6.38766898241707,4.2014194106845855,0.9999787606105082,0.9989835790465411,0.7807072662451569,3.2063571958755346,6.8298844308835545,5.312128683667486,8.418624731007988,17.74882600452955,281.7501396846303,161.19027892165977,66.34137679487053,1274.7271639970766,4.281039504582015,1.0080209903892172,2.2294114724441596,7.448885121810477,34.90621766124462,3.0
"1000 phd, cylinder s=6, z_b=5 (infeasible at bottom)",B,6.0,5.0,1000,5.655868034949298,0.2008212388427384,0.5980402667530456,False,0.018173259837719755,0.009156256729634177,0.0010238638346908003,4.701882983781886,0.028353380402044735,0.42519014573654396,0.03631088155936983,0.01522079151469266,0.027955195483092554,0.3463545145895711,6.811162443254786,4.44583721509061,7.8330100610224,7.683045259595228,9.013392483408369,14.067072941692675,4,8,0.7916448645243575,0.23415004414609938,0.08620810345196045,6.299673255255735,4.388442976134509,0.9999840830672577,0.9979209545878526,0.7931247948445481,3.1917345978535487,6.821005065920411,5.413679421035828,8.579561635960935,18.088126212697325,282.4870664429304,161.31118430594103,66.22676875809717,1286.433977664057,4.374290402138723,1.0255163982940467,2.272030616746937,7.591283738586772,33.588982295641394,2.368054380101343
