m_GeV,response,R_lo_unit,R_win_unit,N_lo,eps_one_event,N_lo_events_at_eps1,KE_700kms_keV
60,Helm,3.5456569346856887e+21,0.0,inf,,,163.5595582398819
60,shell,3.4911405770911483e+21,0.0,inf,,,163.5595582398819
100,Helm,2.463883911996715e+21,374214096999760.9,6584155.786088116,3.067473066087452e-08,6584155.786088114,272.5992637331365
100,shell,2.4250049310474817e+21,113227052125946.0,21417186.842858654,5.576551658988429e-08,21417186.842858657,272.5992637331365
200,Helm,1.3346957020963018e+21,1945587718935670.0,686011.5784583819,1.3452884757098479e-08,686011.5784583819,545.198527466273
200,shell,1.313330512793441e+21,577880855830728.9,2272666.587830585,2.4684348901301984e-08,2272666.587830585,545.198527466273
400,Helm,6.879020324831261e+20,2114195423111124.0,325372.9645629686,1.290530478711587e-08,325372.9645629686,1090.397054932546
400,shell,6.76829860521513e+20,623846041252031.2,1084930.9216792425,2.375757550644863e-08,1084930.9216792425,1090.397054932546
1000,Helm,2.7934834086556507e+20,1218157709029793.8,229320.34070371158,1.700157168719402e-08,229320.34070371155,2725.992637331365
1000,shell,2.7483964877760443e+20,358228945407373.2,767217.8708648472,3.1351656535792164e-08,767217.8708648471,2725.992637331365
4000,Helm,7.030549036240783e+19,356096756622392.3,197433.6723233913,3.1445378090833665e-08,197433.67232339137,10903.97054932546
4000,shell,6.9169358085417796e+19,104557819230541.6,661541.7057705164,5.803133635691562e-08,661541.7057705164,10903.97054932546
10000,Helm,2.815787060096702e+19,146669254152370.1,191982.09443210703,4.899720290340426e-08,191982.09443210706,27259.926373313654
10000,shell,2.7702734351008285e+19,43052522168939.14,643463.6800673857,9.043603858173325e-08,643463.6800673858,27259.926373313654
