spectrum,sigma_N_cm2,lambda_cm,P1,m_one_event_GeV,N_traversals_TPC,N_lo_events,N_hesb_events
flat (opaque composite),1e-26,7523.255307718465,0.012684307956877883,4570821898319500.0,1103.2801980313757,1.430672543316578,1.6463404214652946
flat (opaque composite),7.750606429655013e-25,97.06666666666665,0.30972662016265656,1.1161075738186496e+17,45.18289641105401,1.430672543316578,1.6463404214652946
flat (opaque composite),1e-24,75.23255307718466,0.2948835970919566,1.0626203712692754e+17,47.45718626794688,1.430672543316578,1.6463404214652946
flat (opaque composite),1e-23,7.523255307718465,0.03161177672180092,1.139138231080598e+16,442.6940604355228,1.430672543316578,1.6463404214652946
contact x Helm,1e-26,7523.255307718465,0.012684307956877883,42106714273594.055,119764.68304739195,676.0553118764221,0.17399372460902637
contact x Helm,7.750606429655013e-25,97.06666666666665,0.30972662016265656,1028165694372263.5,4904.751555850128,676.0553118764221,0.17399372460902637
contact x Helm,1e-24,75.23255307718466,0.2948835970919566,978892928879729.5,5151.633176996497,676.0553118764221,0.17399372460902637
contact x Helm,1e-23,7.523255307718465,0.03161177672180092,104938168848523.61,48055.89181209575,676.0553118764221,0.17399372460902637
contact x shell,1e-26,7523.255307718465,0.012684307956877883,12537402428810.453,402228.2380882749,2270.426486983275,0.4840589826871096
contact x shell,7.750606429655013e-25,97.06666666666665,0.30972662016265656,306139467213814.5,16472.548721142237,2270.426486983275,0.4840589826871096
contact x shell,1e-24,75.23255307718466,0.2948835970919566,291468351207317.9,17301.697656899756,2270.426486983275,0.4840589826871096
contact x shell,1e-23,7.523255307718465,0.03161177672180092,31245659408325.59,161395.13086417297,2270.426486983275,0.4840589826871096
