exposure_tyr,class4,weight,mean_H,P0_H,mean_L2M,mean_X
1.0,elastic-isoscalar,0.2529625,0.07765918079534855,0.9289915886525254,0.2772320959785969,0.06381816723096263
1.0,elastic-isovector,0.170385,0.06302790086316763,0.9415307099026711,0.28531455183510923,0.06826467926637102
1.0,inelastic-O1,0.325685,0.3512780156310692,0.763102201865074,0.2377220385751229,6.524637230686072
1.0,inelastic-O4,0.2509675,0.25952655380723655,0.8177018050374106,0.30461074107584746,4.767329510830815
2.8,elastic-isoscalar,0.2529625,0.21272758318336563,0.8302696770393109,0.7594134126618205,0.17481464835162042
2.8,elastic-isovector,0.170385,0.172665871397862,0.8574106420269818,0.7816288181368182,0.18701465545843518
2.8,inelastic-O1,0.325685,0.5749635903779492,0.6591244218863727,0.48244963661337137,8.632176144296043
2.8,inelastic-O4,0.2509675,0.4293004672242986,0.722442436649321,0.6681528381037071,6.3353059126422275
5.6,elastic-isoscalar,0.2529625,0.42545516636673125,0.7161641989578595,1.518826825323641,0.34962929670324083
5.6,elastic-isovector,0.170385,0.345331742795724,0.7559721921395525,1.5632576362736363,0.37402931091687036
5.6,inelastic-O1,0.325685,1.1499271807558986,0.5072662548503433,0.9648992732267427,17.264352288592086
5.6,inelastic-O4,0.2509675,0.8586009344485972,0.5800571525600796,1.3363056762074141,12.670611825284459
10.0,elastic-isoscalar,0.2529625,0.761054481783566,0.594492257874502,2.716876558015316,0.6254168308123972
10.0,elastic-isovector,0.170385,0.6177248240594568,0.6425808955040897,2.7963329226633284,0.6690579259883619
10.0,inelastic-O1,0.325685,2.1610835469155765,0.3724480315031552,1.7728207865346957,33.31961960520315
10.0,inelastic-O4,0.2509675,1.6113828048750394,0.44297798634322544,2.4369774841807272,24.437859760222903
