exposure_tyr,outcome,P_DM,P_B,P_Usteady,BF_DM_vs_B,BF_DM_vs_Usteady,BF_DM_vs_U_mixed,postDM_med,postDM_16,postDM_84,postDM_at_0p015,postDM_at_0p137,postDM_at_0p5,P_outcome_mix_med
1.0,N=0,0.8491702631214342,0.999799487993811,0.7395833333333334,0.849340566102281,1.148173876896587,0.9764041046162794,0.014434993809043128,0.001539408430536106,0.1263938943126929,0.014318615922465201,0.13151664664838025,0.4882068828511113,0.8870735332196698
1.0,N=1,0.11255647987369345,0.00020049190231297346,0.19259982638888892,561.4016255778233,0.5844059259244837,1.1675964113678516,0.025336488940496213,0.002209620822933508,0.2349998633129411,0.020662763698600522,0.1802898227002069,0.5807976338035176,0.08362663773579473
1.0,N=2,0.02559831769660216,2.0102532245607484e-08,0.050156204788773175,1273387.7197085724,0.5103719032252619,1.020743397338089,0.022243617998312773,0.0019339988330184111,0.21206561166679974,0.01811791341642062,0.1613236321949052,0.5478583751702177,0.021424868744099844
1.0,N>=2,0.03827325700487237,2.0103876006337612e-08,0.0678168402777777,1903775.0229262747,0.5643621384910467,1.1287239423789757,0.02453894368043881,0.0021381518679796123,0.22935400792040725,0.019996213797435672,0.17539617090137574,0.572627140417185,0.02929842423591491
1.0,N>=3,0.012674939308270239,1.3438139490062895e-12,0.01766063548900454,9432064102.060392,0.7176944066458775,1.435388813182535,0.0309992969771627,0.0027174917107896882,0.2745589105075776,0.02529161647165218,0.2129041980307274,0.6301653155737263,0.007819364667452405
2.8,N=0,0.7520935149816759,0.9994386676940161,0.5035460992907801,0.7525159264819776,1.4935941635551593,1.0007999169419177,0.01425484982937998,0.001534474692112523,0.1227046150632601,0.014280445818712567,0.13120764154798503,0.4875302687483062,0.7881640017037335
2.8,N=1,0.16853652446444137,0.0005611747295179654,0.2499874251798199,300.32807180966597,0.6741800086272756,1.3453399821465941,0.029048539405164473,0.002541837985974933,0.2610651518438995,0.023723215375924346,0.20211391834833953,0.6147443672997123,0.11034347871157772
2.8,N=2,0.04984831460002714,1.575469747314075e-07,0.12410723235877583,316402.8676844514,0.40165519488761914,0.8033093700203165,0.017588724538972735,0.001522653877948276,0.17478796434079027,0.014313757338297295,0.13147732498474185,0.4881208545533083,0.05174876113787681
2.8,N>=2,0.07936996055388276,1.575764659094911e-07,0.24646647552940001,503691.71624569467,0.32203146648402914,0.6440625211915856,0.014151304617474884,0.0012211743119520994,0.14516839708120677,0.01150887903227481,0.10823448821254572,0.43328289535320524,0.10134084921365817
2.8,N>=3,0.029521645953855646,2.949118727002542e-11,0.12235924317062419,1001032806.2940072,0.24127025624610235,0.4825405123759021,0.010640113832300829,0.0009152012436136367,0.11287146568603018,0.008647571954617203,0.08335330589060083,0.36419555503874296,0.04971100763518591
5.6,N=0,0.620753511782631,0.9988776504819901,0.33649289099526064,0.6214509970095916,1.8447745209314812,0.9297097584553929,0.012793989146903096,0.0013915776050318698,0.11136860522771687,0.012961320286247111,0.12040696149320455,0.463030535090651,0.7122894822846084
5.6,N=1,0.20669629238441942,0.0011217194480259702,0.22326542530491222,184.26736983848207,0.9257872870469557,1.8423184858651567,0.03926058618033294,0.003475848157104146,0.32468271411814226,0.03217240365636944,0.25735011591742657,0.6858194386632095,0.10173485572442384
5.6,N=2,0.08499555393320499,6.298341540991231e-07,0.1481381968847759,134949.10268049454,0.5737585289992142,1.1475121791597636,0.024937218722135737,0.0021736601739083218,0.2322840411348539,0.02032226817967179,0.17779643206623902,0.5766619060381997,0.0641163153313247
5.6,N>=2,0.17255019583294953,6.300699839649655e-07,0.4402416836998271,273858.77795210766,0.39194424840197684,0.7838873749113114,0.017170775322646405,0.001485894506581127,0.17128584555334828,0.013972521421317306,0.12870766266588488,0.48200773761073634,0.1831903527396005
5.6,N>=3,0.08755464189974449,2.358299111548945e-10,0.29210348681505116,371261819.46546245,0.2997384346705206,0.5994768688570532,0.01318458758260626,0.0011367342387474128,0.13649076058059403,0.010720713127520879,0.10150242352572283,0.4157590571082886,0.11970265484558795
10.0,N=0,0.4923442085907416,0.9979966881989656,0.22118380062305298,0.4933325074246994,2.2259505768680006,0.8076641860737918,0.010813353003371814,0.0011886461038541503,0.094803530867296,0.011053598195825881,0.10435678740123491,0.42328739405805466,0.6573564276040318
10.0,N=1,0.21478107828800158,0.0020013038306366526,0.17226152696499455,107.3205752170452,1.246831385232336,2.4650245529396755,0.051531168696858184,0.004625658138172074,0.388857845154575,0.04248513565502677,0.3162564890416476,0.7444836441807734,0.08098921756149988
10.0,N=2,0.11039576741658302,2.0066284136418117e-06,0.13416006772974656,55015.550794592185,0.8228660680088907,1.6457075212160113,0.03538071178260896,0.003114401614439287,0.3026103486705407,0.028890222022707135,0.23671426952169858,0.6614259307477132,0.06008689879884454
10.0,N>=2,0.29287471312125674,2.0079703977604613e-06,0.6065546724119525,145856.09102998086,0.48284965303563865,0.9656961091802325,0.0210693222591858,0.0018298886559016132,0.20294963113398493,0.017157585146671636,0.1539630021426258,0.5340927670704212,0.25735078661085564
10.0,N>=3,0.18247894570467382,1.3419840794171023e-09,0.47239460468220595,135976982.51676315,0.3862849911832352,0.7725699801717447,0.016927068903356275,0.0014644745133583906,0.1692316552538302,0.0137735785564464,0.1270856546933266,0.47837790212766534,0.19633927632809325
