variant,exposure_tyr,mean_H,P0,P1,Pge2,mean_L2M,mean_X
"baseline: uniform model prior, log-uniform s, astro on",1.0,0.20992258032393657,0.8491702631214342,0.11255647987369345,0.03827325700487237,0.27261254228770254,3.349196125990389
"baseline: uniform model prior, log-uniform s, astro on",2.8,0.3782292576995034,0.7520935149816759,0.16853652446444137,0.07936996055388276,0.6500921988759255,4.477412216740027
"baseline: uniform model prior, log-uniform s, astro on",5.6,0.7564585153990068,0.620753511782631,0.20669629238441942,0.17255019583294953,1.300184397751851,8.954824433480056
"baseline: uniform model prior, log-uniform s, astro on",10.0,1.406006497555222,0.4923442085907416,0.21478107828800158,0.29287471312125674,2.3527043559586196,17.257013320278237
flat prior on s,1.0,0.41767507489892086,0.7371398893038765,0.1738432928085874,0.08901681788753607,0.5427683412162374,6.502089692870528
flat prior on s,2.8,0.7539205066982496,0.5841801241099911,0.23728469292872262,0.1785351829612863,1.2931538921139654,8.75121545666601
flat prior on s,5.6,1.5078410133964992,0.41465736897100947,0.24361596949767017,0.34172666153132036,2.5863077842279307,17.502430913332024
flat prior on s,10.0,2.8020468462648314,0.2779205908607637,0.20943085552862928,0.512648553610607,4.680330568790677,33.69751950287842
Jeffreys prior on s,1.0,0.3140641590895176,0.789312157915144,0.14768453932450462,0.0630033027603514,0.40766929442366573,4.966942916743908
Jeffreys prior on s,2.8,0.5660554034923422,0.6603593239193748,0.21128306423743726,0.12835761184318795,0.9718146645901667,6.661814218497309
Jeffreys prior on s,5.6,1.1321108069846844,0.5031126539241764,0.2359528011694594,0.26093454490636425,1.943629329180334,13.323628436994618
Jeffreys prior on s,10.0,2.1041390970587543,0.36434211236801134,0.2215495869401534,0.41410830069183535,3.5171260517679084,25.664623270541426
class model prior (P027),1.0,0.2687370862923376,0.8127797493702925,0.13505185593589913,0.05216839469380835,0.2734378667113828,4.545267329204256
class model prior (P027),2.8,0.45420507485866707,0.7141930479009977,0.18582820735701105,0.09997874474199125,0.6062119355115474,6.059708748820267
class model prior (P027),5.6,0.9084101497173341,0.5729664492239576,0.21665059669062042,0.210382954085422,1.2124238710230948,12.119417497640535
class model prior (P027),10.0,1.7006847173011976,0.4397592266859911,0.21389151414411064,0.3463492591698982,2.2085970307499583,23.364616678749062
no astro spread,1.0,0.203461312070049,0.8513333566240424,0.11199023668042349,0.0366764066955341,0.2688127980739654,0.2704840905418645
no astro spread,2.8,0.37797318047135314,0.7524080407751719,0.1682094060578816,0.07938255316694653,0.6490866747734443,0.4585728745664972
no astro spread,5.6,0.7559463609427063,0.6213233885739958,0.2063246764939594,0.17235193493204476,1.2981733495468886,0.9171457491329945
no astro spread,10.0,1.4003979230128445,0.4934536454557912,0.21468024217618636,0.29186611236802246,2.346474580157197,1.7157823673409587
P038 empty 600-1000 phd sideband reweighting,1.0,0.10048531381784083,0.913157693894137,0.07568833726314514,0.011153968842717826,0.24410833191109366,0.0967603332166652
annual-average window (no seasonal factor),1.0,0.13546129761718725,0.8870600651215323,0.09489522336679018,0.01804471151167747,0.2324323008360155,1.606839541968785
"extension 270-420 keV only, annual window",1.0,0.05672373723969581,0.8560266615984152,0.08896987916614078,0.05500345923544399,0.9372989805862721,0.0695383515906497
P038 empty 600-1000 phd sideband reweighting,2.8,0.21304016485757232,0.8317428239760942,0.13408083524797876,0.03417634077592702,0.6028706758258322,0.19429438144392946
annual-average window (no seasonal factor),2.8,0.3792916333281243,0.7517235554252657,0.16862086366259083,0.07965558091214348,0.6508104423408434,4.499150717512598
"extension 270-420 keV only, annual window",2.8,0.15882646427114824,0.7362036941826158,0.14424575690342872,0.1195505489139555,0.8493109876696976,0.19470738445381916
P038 empty 600-1000 phd sideband reweighting,5.6,0.4260803297151447,0.7192630738888405,0.18938858159946312,0.0913483445116964,1.2057413516516644,0.38858876288785893
annual-average window (no seasonal factor),5.6,0.7585832666562486,0.6203604731373321,0.20667586884867833,0.17296365801398955,1.3016208846816868,8.998301435025196
"extension 270-420 keV only, annual window",5.6,0.3176529285422965,0.6247711430107623,0.17514922590444804,0.20007963108478966,0.7499026443978254,0.3894147689076383
P038 empty 600-1000 phd sideband reweighting,10.0,0.7791887713224127,0.5953471864867985,0.22115723380073268,0.1834955797124688,2.1753996157589253,0.7142824009275135
annual-average window (no seasonal factor),10.0,1.3546129761718726,0.49662124677440894,0.21610440995500824,0.2872743432705829,2.324323008360155,16.068395419687853
"extension 270-420 keV only, annual window",10.0,0.5672373723969582,0.5188915334033599,0.18748879597395054,0.29361967062268957,0.6428182894486516,0.695383515906497
