delta_keV,experiment,variant,N_unit_base,N_unit_variant,N_at_LZfit_base,N_at_LZfit_variant
250,LUX 2021 EFT,E_hi=100,780.7,0,0.00856,0
250,LUX 2021 EFT,E_hi=250,780.7,2445,0.00856,0.02681
250,PandaX-II 2019 SD-EFT,E_hi=50,0,0,0,0
250,PandaX-II 2019 SD-EFT,E_hi=150,0,1258,0,0.0138
250,LZ SR1 2022 (NREFT 2023),erf edge 260.4,2.88e+04,2.894e+04,0.3158,0.3173
250,LZ SR1 2022 (NREFT 2023),0.77 t yr,2.88e+04,2.455e+04,0.3158,0.2692
250,LZ SR1 2022 (NREFT 2023),no 100 keV floor,2.88e+04,3.293e+04,0.3158,0.361
300,LUX 2021 EFT,E_hi=100,72.52,0,0.005501,0
300,LUX 2021 EFT,E_hi=250,72.52,361,0.005501,0.02739
300,PandaX-II 2019 SD-EFT,E_hi=50,0,0,0,0
300,PandaX-II 2019 SD-EFT,E_hi=150,0,116.9,0,0.008868
300,LZ SR1 2022 (NREFT 2023),erf edge 260.4,4257,4276,0.3229,0.3244
300,LZ SR1 2022 (NREFT 2023),0.77 t yr,4257,3628,0.3229,0.2752
300,LZ SR1 2022 (NREFT 2023),no 100 keV floor,4257,4257,0.3229,0.3229
350,LUX 2021 EFT,E_hi=100,0,0,0,0
350,LUX 2021 EFT,E_hi=250,0,6.826,0,0.02595
350,PandaX-II 2019 SD-EFT,E_hi=50,0,0,0,0
350,PandaX-II 2019 SD-EFT,E_hi=150,0,0,0,0
350,LZ SR1 2022 (NREFT 2023),erf edge 260.4,81.32,81.46,0.3092,0.3097
350,LZ SR1 2022 (NREFT 2023),0.77 t yr,81.32,69.3,0.3092,0.2635
350,LZ SR1 2022 (NREFT 2023),no 100 keV floor,81.32,81.32,0.3092,0.3092
365,LUX 2021 EFT,E_hi=100,0,0,0,0
365,LUX 2021 EFT,E_hi=250,0,0.6333,0,0.02521
365,PandaX-II 2019 SD-EFT,E_hi=50,0,0,0,0
365,PandaX-II 2019 SD-EFT,E_hi=150,0,0,0,0
365,LZ SR1 2022 (NREFT 2023),erf edge 260.4,7.709,7.681,0.3069,0.3058
365,LZ SR1 2022 (NREFT 2023),0.77 t yr,7.709,6.57,0.3069,0.2615
365,LZ SR1 2022 (NREFT 2023),no 100 keV floor,7.709,7.709,0.3069,0.3069
380,LUX 2021 EFT,E_hi=100,0,0,0,0
380,LUX 2021 EFT,E_hi=250,0,0.007732,0,0.01615
380,PandaX-II 2019 SD-EFT,E_hi=50,0,0,0,0
380,PandaX-II 2019 SD-EFT,E_hi=150,0,0,0,0
380,LZ SR1 2022 (NREFT 2023),erf edge 260.4,0.1181,0.112,0.2467,0.2339
380,LZ SR1 2022 (NREFT 2023),0.77 t yr,0.1181,0.1006,0.2467,0.2102
380,LZ SR1 2022 (NREFT 2023),no 100 keV floor,0.1181,0.1181,0.2467,0.2467
