delta_keV,N_LZ,N_arch,N_SR1,lnL_LZ,lnL_joint,dm2_LZ,dm2_joint
100,7.1634e+06,51855,49493,-7.0017e+06,-7.0535e+06,1.4004e+07,1.4108e+07
110,4.7173e+06,44602,42583,-4.6109e+06,-4.6555e+06,9.2225e+06,9.3117e+06
120,3.0645e+06,38041,36330,-2.9954e+06,-3.0335e+06,5.9915e+06,6.0676e+06
130,1.9652e+06,32208,30770,-1.9208e+06,-1.953e+06,3.8423e+06,3.9067e+06
140,1.2439e+06,27027,25830,-1.2158e+06,-1.2428e+06,2.4321e+06,2.4862e+06
150,7.7766e+05,22493,21507,-7.5992e+05,-7.8242e+05,1.5205e+06,1.5655e+06
160,4.7973e+05,18548,17743,-4.6862e+05,-4.8717e+05,9.3787e+05,9.7496e+05
170,2.9286e+05,15155,14506,-2.8588e+05,-3.0104e+05,5.7239e+05,6.027e+05
180,1.7719e+05,12261,11742,-1.7275e+05,-1.8501e+05,3.4613e+05,3.7065e+05
190,1.0644e+05,9816.1,9407.1,-1.0355e+05,-1.1337e+05,2.0773e+05,2.2736e+05
200,63952,7771.3,7452.8,-61987,-69759,1.246e+05,1.4015e+05
210,38708,6081.3,5836.7,-37302,-43384,75234,87396
220,23822,4694.8,4509.8,-22760,-27454,46148,55538
230,15041,3572.8,3435.5,-14201,-17774,29031,36176
240,9791.2,2673,2573.2,-9107.4,-11780,18844,24190
250,6547.6,1959.9,1889.1,-5984.4,-7944.3,12598,16518
260,4453,1404.5,1355.9,-3981.3,-5385.8,8591.9,11401
270,3026.7,977.62,945.48,-2609.6,-3587.2,5848.4,7803.4
280,2020.9,657.23,637.04,-1638,-2295.2,3905.2,5219.4
290,1298.5,421.68,409.92,-940.02,-1361.7,2509.3,3352.4
300,787.71,254.55,248.38,-447.59,-702.14,1524.4,2033.3
305,595.92,191.93,187.71,-262.97,-454.9,1155.2,1538.8
310,442.04,141.8,139.04,-114.71,-256.52,858.67,1142.1
315,318.94,101.83,100.14,4.3175,-97.513,620.61,824.06
320,223.69,71.022,70.06,96.936,25.914,435.37,577.2
325,151.89,47.913,47.416,167.23,119.31,294.79,390.4
330,99.22,31.058,30.831,219.1,188.05,191.04,252.94
335,62.137,19.269,19.183,255.74,236.47,117.76,156.09
340,37.005,11.339,11.314,280.55,269.21,68.143,90.607
345,20.918,6.3086,6.3036,296.33,290.03,36.578,48.981
350,11.152,3.2867,3.2867,305.77,302.48,17.709,24.067
355,5.5563,1.5798,1.5798,311,309.42,7.2555,10.201
360,2.6098,0.70075,0.70075,313.53,312.83,2.1839,3.3708
365,1.1562,0.28287,0.28287,314.51,314.23,0.21719,0.56827
370,0.50128,0.10733,0.10733,314.62,314.52,0,0
375,0.22258,0.041356,0.041356,314.27,314.23,0.70643,0.57449
380,0.10116,0.017137,0.017137,313.66,313.65,1.9223,1.7419
385,0.042193,0.0069272,0.0069272,312.81,312.8,3.6246,3.4238
390,0.0094954,0.0011452,0.0011452,310.52,310.52,8.2077,7.9954
395,3.737e-07,0,0,308.75,308.75,11.752,11.537
