m_GeV,region,delta_keV,kappa_lo_68,kappa_hi_68,sigma_lo_68_cm2,sigma_hi_68_cm2,kappa_lo_90,kappa_hi_90,sigma_lo_90_cm2,sigma_hi_90_cm2
1000.0,LZ,100.0,,,,,,,,
1000.0,LZ,110.0,,,,,,,,
1000.0,LZ,120.0,,,,,,,,
1000.0,LZ,130.0,,,,,,,,
1000.0,LZ,140.0,,,,,,,,
1000.0,LZ,150.0,,,,,,,,
1000.0,LZ,160.0,,,,,,,,
1000.0,LZ,170.0,,,,,,,,
1000.0,LZ,180.0,,,,,,,,
1000.0,LZ,190.0,,,,,,,,
1000.0,LZ,200.0,,,,,,,,
1000.0,LZ,210.0,,,,,,,,
1000.0,LZ,220.0,,,,,,,,
1000.0,LZ,230.0,,,,,,,,
1000.0,LZ,240.0,,,,,,,,
1000.0,LZ,250.0,,,,,,,,
1000.0,LZ,260.0,,,,,,,,
1000.0,LZ,270.0,,,,,,,,
1000.0,LZ,280.0,,,,,,,,
1000.0,LZ,290.0,,,,,,,,
1000.0,LZ,300.0,,,,,,,,
1000.0,LZ,305.0,,,,,,,,
1000.0,LZ,310.0,,,,,,,,
1000.0,LZ,315.0,,,,,,,,
1000.0,LZ,320.0,,,,,,,,
1000.0,LZ,325.0,,,,,,,,
1000.0,LZ,330.0,,,,,0.0003019951720402016,0.0007585775750291835,8.952344826975418e-42,2.2487273501074523e-41
1000.0,LZ,335.0,,,,,0.0003467368504525317,0.001445439770745928,1.0278667133980712e-41,4.2848616310393395e-41
1000.0,LZ,340.0,,,,,0.0004168693834703355,0.002754228703338169,1.2357675930455908e-41,8.164635519853395e-41
1000.0,LZ,345.0,,,,,0.0005495408738576248,0.005248074602497723,1.6290589568219816e-41,1.5557392259568058e-40
1000.0,LZ,350.0,,,,,0.0007943282347242822,0.01096478196143185,2.354706605080366e-41,3.2503999454094145e-40
1000.0,LZ,355.0,,,,,0.001202264434617413,0.023988329190194897,3.563992668886422e-41,7.111100263054435e-40
1000.0,LZ,360.0,0.010471285480509006,0.023988329190194897,3.104107849470474e-40,7.111100263054435e-40,0.001995262314968879,0.05495408738576248,5.914755571487352e-41,1.6290589568219817e-39
1000.0,LZ,365.0,0.015135612484362071,0.08317637711026708,4.486800938309228e-40,2.465680508463664e-39,0.0036307805477010175,0.1513561248436207,1.0763085791903735e-40,4.4868009383092287e-39
1000.0,LZ,370.0,0.030199517204020192,0.28840315031266056,8.952344826975428e-40,8.549422937268877e-39,0.007585775750291836,0.47863009232263803,2.2487273501074525e-40,1.4188510372837796e-38
1000.0,LZ,375.0,0.07585775750291836,1.1481536214968842,2.2487273501074525e-39,3.403586575421287e-38,0.02089296130854041,1.8197008586099825,6.193509413647526e-40,5.394321193337223e-38
1000.0,LZ,380.0,0.2754228703338169,6.606934480075965,8.164635519853396e-39,1.9585596456820127e-37,0.07943282347242822,10.0,2.3547066050803664e-39,2.964399982455243e-37
1000.0,LZ,385.0,2.5118864315095824,27.542287033381633,7.446236093496568e-38,8.164635519853378e-37,0.6606934480075964,43.651583224016655,1.958559645682013e-38,1.2940075254341854e-36
1000.0,LZ,390.0,,,,,6.606934480075965,100.0,1.9585596456820127e-37,2.9643999824552427e-36
1000.0,LZ,395.0,,,,,,,,
1000.0,joint,100.0,,,,,,,,
1000.0,joint,110.0,,,,,,,,
1000.0,joint,120.0,,,,,,,,
1000.0,joint,130.0,,,,,,,,
1000.0,joint,140.0,,,,,,,,
1000.0,joint,150.0,,,,,,,,
1000.0,joint,160.0,,,,,,,,
1000.0,joint,170.0,,,,,,,,
1000.0,joint,180.0,,,,,,,,
1000.0,joint,190.0,,,,,,,,
1000.0,joint,200.0,,,,,,,,
1000.0,joint,210.0,,,,,,,,
1000.0,joint,220.0,,,,,,,,
1000.0,joint,230.0,,,,,,,,
1000.0,joint,240.0,,,,,,,,
1000.0,joint,250.0,,,,,,,,
1000.0,joint,260.0,,,,,,,,
1000.0,joint,270.0,,,,,,,,
1000.0,joint,280.0,,,,,,,,
1000.0,joint,290.0,,,,,,,,
1000.0,joint,300.0,,,,,,,,
1000.0,joint,305.0,,,,,,,,
1000.0,joint,310.0,,,,,,,,
1000.0,joint,315.0,,,,,,,,
1000.0,joint,320.0,,,,,,,,
1000.0,joint,325.0,,,,,,,,
1000.0,joint,330.0,,,,,0.0002754228703338166,0.0005011872336272725,8.164635519853387e-42,1.4857194265714784e-41
1000.0,joint,335.0,,,,,0.00028840315031266055,0.001,8.549422937268878e-42,2.964399982455243e-41
1000.0,joint,340.0,,,,,0.0003467368504525317,0.001995262314968879,1.0278667133980712e-41,5.914755571487352e-41
1000.0,joint,345.0,,,,,0.0004570881896148752,0.0038018939632056127,1.3549922212748347e-41,1.1270334397823412e-40
1000.0,joint,350.0,,,,,0.000630957344480193,0.00794328234724282,1.870409940907091e-41,2.354706605080366e-40
1000.0,joint,355.0,,,,,0.0009549925860214369,0.017378008287493762,2.8309800052468347e-41,5.151536746255357e-40
1000.0,joint,360.0,0.00954992586021437,0.01584893192461114,2.830980005246835e-40,4.6982573519251605e-40,0.001584893192461114,0.04168693834703355,4.69825735192516e-41,1.2357675930455904e-39
1000.0,joint,365.0,0.012589254117941687,0.06025595860743581,3.731958468635093e-40,1.7862276263870656e-39,0.0028840315031266055,0.1148153621496884,8.549422937268878e-41,3.4035865754212866e-39
1000.0,joint,370.0,0.023988329190194897,0.21877616239495518,7.111100263054435e-40,6.485400519652305e-39,0.00630957344480193,0.36307805477010174,1.870409940907091e-40,1.0763085791903734e-38
1000.0,joint,375.0,0.06025595860743581,0.9120108393559097,1.7862276263870656e-39,2.7035649161856503e-38,0.016595869074375595,1.3803842646028865,4.9196793992908525e-40,4.0920110897702906e-38
