m_GeV,delta_keV,S_tot_unit,S_H_unit,S_L_unit,f_ev_unit,N_arch_unit,N_SR1_unit,N_arch_nonSR1_unit,Z_LZ,Z_joint,q0_LZ,q0_joint,llmax_LZ,llmax_joint,kappa_hat_LZ,kappa_hat_joint,mu_hat_LZ,mu_hat_joint,k68lo_LZ,k68hi_LZ,k90lo_LZ,k90hi_LZ,k68lo_joint,k68hi_joint,k90lo_joint,k90hi_joint,N_arch_at_LZfit,N_SR1_at_LZfit,UL_excl_LZ,UL_excl_joint,UL_n1_LZ,UL_n1_joint,sigma_kappa_hat_LZ,sigma_kappa_hat_joint,sigma_k90hi_joint,sigma_k90lo_joint,sigma_UL_excl_LZ,sigma_UL_excl_joint,sigma_UL_n1_LZ,sigma_UL_n1_joint
200.0,200.0,566157.0391726115,11711.556344922508,416367.211781102,28.078133439214056,56816.31928041047,54662.50042513223,2153.8188552782362,1.7441922429824595,1.653485418189719,3.042206580480183,2.7340140281660297,310.2684792994164,310.11438302325934,3.0199517204020193e-06,2.5118864315095823e-06,1.7097669244670417,1.422122184801322,7.043521343334366e-07,7.292154027742097e-06,5.920227748051073e-08,1.1282757433144376e-05,5.493684473169182e-07,6.150844813236739e-06,0.0,9.577437147059514e-06,0.171582541157786,0.1650781122003542,7.482870029132895e-06,6.339563206371413e-06,1.2029203054803348e-05,1.0213408667770751e-05,8.885585653361917e-44,7.390708231496098e-44,2.8179635301771894e-43,0.0,2.2016803158688884e-43,1.865285841974192e-43,3.539345128037647e-43,3.0050850454716876e-43
200.0,210.0,245884.08689234254,7648.608227091584,147549.88106653158,17.714591221914226,37122.90814034237,35732.15088145577,1390.757258886603,1.8603043807738577,1.749291778395239,3.460732389126406,3.060021725961178,310.4777422037395,310.2773868721569,6.025595860743581e-06,4.78630092322638e-06,1.4815981362012143,1.1768752320994946,1.5208305747063605e-06,1.4813327290443918e-05,2.349336306207411e-07,2.3001223906139705e-05,1.1349554251819142e-06,1.1891865895863117e-05,9.93646864688473e-08,1.8551023941799666e-05,0.22368764162921118,0.21530750044676497,1.5007903411018798e-05,1.2111158835239203e-05,2.4525734150154853e-05,1.980286003547645e-05,1.7729074200581153e-43,1.4082704213043412e-43,5.458256536978191e-43,2.9236011508848226e-45,4.415766329477538e-43,3.5634589276699793e-43,7.216191902358421e-43,5.8265835125119025e-43
200.0,220.0,105534.68208209533,4682.978497625987,44610.59370394003,10.279512996247025,22857.098819727747,22013.83224957155,843.2665701561946,1.9272286227050657,1.7977084191950465,3.7142101641736645,3.2317555604447534,310.60448109126315,310.3632537893987,1.2022644346174132e-05,9.120108393559096e-06,1.2688059488595878,0.9624877398685083,3.120337415573113e-06,2.962468087824918e-05,5.78919045184905e-07,4.613183958730664e-05,2.227462651457052e-06,2.2731765008993232e-05,2.658253409074099e-07,3.5526850243544595e-05,0.27480276989494323,0.2646644758329372,2.978124900629394e-05,2.30103102536522e-05,4.922730701521027e-05,3.794610740039081e-05,3.537415363170658e-43,2.6834039680649766e-43,1.045304362651049e-42,7.821362902955575e-45,8.76251885491392e-43,6.770309647269482e-43,1.4484120723286456e-42,1.1164860194286754e-42
200.0,230.0,46088.91474497484,2597.0886143990347,11509.694418266765,5.215762769359003,12874.084363028487,12408.239793144194,465.8445698842936,1.9319930771198779,1.788479664821605,3.7325972500391345,3.1986595114804004,310.6136746341959,310.3467057649165,2.39883291901949e-05,1.8197008586099827e-05,1.105596058921284,0.8386803773383301,6.228925130919412e-06,5.9214389306240754e-05,1.1676856010480223e-06,9.238212173545945e-05,4.28503901465575e-06,4.409439216540673e-05,4.867728860925474e-07,6.903926952915078e-05,0.30882777372266795,0.29765294082881877,5.941057669674186e-05,4.460662789594073e-05,9.86267737263534e-05,7.371665393565463e-05,7.058071566526364e-43,5.354094813318e-43,2.0313382452522947e-42,1.4322289140879808e-44,1.7480337993093908e-42,1.3124581105033727e-42,2.9018895889620255e-42,2.1689606433088994e-42
200.0,240.0,19931.291247282355,1232.5446256452938,2782.270407415557,2.149275863831703,6312.609685495581,6090.477976887058,222.13170860852384,1.868548019706682,1.715349004703068,3.491471701949763,2.942422207935806,310.4931118601512,310.2185871131442,5.2480746024977334e-05,3.6307805477010174e-05,1.046009033898479,0.7236614455119632,1.283097953195512e-05,0.00012609054402155516,2.0330110103869846e-06,0.0001970043044721466,8.54289091354547e-06,9.255842480366133e-05,5.310678371304953e-07,0.0001452502381577584,0.33129046565930564,0.31963282787572744,0.00012685493633256048,9.412199525117549e-05,0.00021039558767042176,0.0001551437288999022,1.5441378112335905e-42,1.068282361178376e-42,4.273688958677025e-42,1.562557680207051e-44,3.732445107382999e-42,2.7693457647670946e-42,6.190456631161244e-42,4.564784537477733e-42
200.0,250.0,7426.046760630869,452.80371405049993,689.2016687842681,0.633094270220474,2435.436046341832,2353.952413543646,81.48363279818604,1.7318408908240353,1.5695062632824208,2.999272871130188,2.463349910482748,310.2470124447414,309.9790509644177,0.00013182567385564074,9.120108393559096e-05,0.9789436183036624,0.6772635139259193,3.0334408008849133e-05,0.0003245378614398376,2.2689002141980424e-06,0.0005090295370782058,1.9159560649903992e-05,0.00023738196335365517,0.0,0.00037416299809226914,0.3210529979413295,0.310311363139503,0.00032969394943788746,0.000244422797238736,0.0005438381451250675,0.0004000226270271256,3.8786988164185524e-42,2.6834039680649763e-42,1.1008975227673398e-41,0.0,9.700565102860454e-42,7.191637157066814e-42,1.6001316800624122e-41,1.1769841523357866e-41
200.0,260.0,1875.389732291747,107.42866271354858,122.44601310067407,0.0874183972514267,615.0844620109528,596.6019219704835,18.482540040469306,1.3819224248878674,1.1981141896432563,1.9097095884079636,1.435477611424517,309.7022308033803,309.4651148148886,0.0004570881896148752,0.00031622776601683794,0.85721849755556,0.5930503054535349,7.474295177495752e-05,0.0012185058233932643,0.0,0.0019356593463710002,3.192673916560861e-05,0.0008840511794055733,0.0,0.0014183498941004085,0.2811478432008259,0.27269969243424336,0.001281326025022918,0.0009548239893929619,0.0020710532937503424,0.0015194151955072604,1.3448878114589313e-41,9.304350403786757e-42,4.1732023016541054e-41,0.0,3.770037801699447e-41,2.809372840075228e-41,6.093647560645845e-41,4.470566125773081e-41
200.0,270.0,187.24216774047568,8.42666205205915,4.840619162620094,0.0016388657343568858,60.9478168679387,59.56741978884563,1.3803970790930626,0.08765054049058936,0.0,0.007682617248292445,0.0,308.75121731780047,308.7473760091763,0.0004570881896148752,0.0,0.08558618347205882,0.0,0.0,0.007832927412042308,0.0,0.014831694890125568,0.0,0.004797148161573992,0.0,0.010027194788202338,0.027858527273145053,0.027227564071312743,0.012505432237220462,0.00939453074691642,0.016151096700341303,0.011015490762891902,1.3448878114589313e-41,0.0,2.950295448486684e-40,0.0,3.679465751900948e-40,2.7641470908599673e-40,4.752127398497258e-40,3.2410811744521273e-40
200.0,280.0,0.713439773546018,0.017738825891374255,3.2124107358071737e-06,4.689022381429242e-10,0.2269669869857477,0.2269669869857477,0.0,0.0,0.0,0.0,0.0,308.7473760091763,308.7473760091763,0.0,0.0,0.0,0.0,0.0,0.700738498769109,0.0,1.8964205778632128,0.0,0.5316042700188692,0.0,1.4386928232887597,0.0,0.0,3.2271870919636196,2.4483038347570134,2.1462703607209037,1.6282360801553117,0.0,0.0,4.23305717897622e-38,0.0,9.495333031764295e-38,7.203629542227212e-38,6.314958281160479e-38,4.790749155482627e-38
300.0,200.0,1099750.2776220806,31547.96284984429,793068.3222947572,93.78606581369019,113367.56774152255,109512.21609059174,3855.351650930815,2.00525522301461,1.922611931010967,4.021048509427374,3.6964366372657196,310.75790026389,310.5955943278092,1.584893192461114e-06,1.3182567385564074e-06,1.7429867284104559,1.4497532142045877,4.164390800516721e-07,3.7562215422369263e-06,8.987917267453493e-08,5.785589172303381e-06,3.37319336737046e-07,3.172398688682314e-06,6.199054552177376e-08,4.906766092023764e-06,0.1796754863594133,0.17356516577330933,3.7944361054357858e-06,3.2072425550513068e-06,6.161832213458062e-06,5.232160836215085e-06,4.67777206771089e-44,3.890801335397948e-44,1.4482195694472853e-43,1.8296352314670464e-45,1.119918194560401e-43,9.466095071741438e-44,1.8186491525827207e-43,1.5442590030569693e-43
