stratum,variant,prior,n_items,n_unresolved,k,n,mean,median,lo68,hi68,lo95,hi95,up95_onesided
"DD, new physics",resolved only,Jeffreys,8,1,0,7,0.0625,0.0309,0.0028,0.1272,0.0001,0.2924,0.2325
"DD, new physics",resolved only,uniform,8,1,0,7,0.1111,0.0830,0.0216,0.2047,0.0032,0.3694,0.3123
"DD, new physics",unresolved as null,Jeffreys,8,1,0,8,0.0556,0.0272,0.0025,0.1127,0.0001,0.2622,0.2075
"DD, new physics",unresolved as null,uniform,8,1,0,8,0.1000,0.0741,0.0192,0.1842,0.0028,0.3363,0.2831
"DD, new physics",unresolved as real,Jeffreys,8,1,1,8,0.1667,0.1417,0.0528,0.2839,0.0138,0.4537,0.3967
"DD, new physics",unresolved as real,uniform,8,1,1,8,0.2000,0.1796,0.0805,0.3218,0.0281,0.4825,0.4291
"DD, new physics, in window",resolved only,Jeffreys,4,0,0,4,0.1000,0.0520,0.0048,0.2067,0.0001,0.4448,0.3625
"DD, new physics, in window",resolved only,uniform,4,0,0,4,0.1667,0.1294,0.0343,0.3069,0.0051,0.5218,0.4507
"DD, new physics, in window",unresolved as null,Jeffreys,4,0,0,4,0.1000,0.0520,0.0048,0.2067,0.0001,0.4448,0.3625
"DD, new physics, in window",unresolved as null,uniform,4,0,0,4,0.1667,0.1294,0.0343,0.3069,0.0051,0.5218,0.4507
"DD, new physics, in window",unresolved as real,Jeffreys,4,0,0,4,0.1000,0.0520,0.0048,0.2067,0.0001,0.4448,0.3625
"DD, new physics, in window",unresolved as real,uniform,4,0,0,4,0.1667,0.1294,0.0343,0.3069,0.0051,0.5218,0.4507
"broader, new physics",resolved only,Jeffreys,27,9,0,18,0.0263,0.0124,0.0011,0.0526,0.0000,0.1286,0.0999
"broader, new physics",resolved only,uniform,27,9,0,18,0.0500,0.0358,0.0091,0.0919,0.0013,0.1765,0.1459
"broader, new physics",unresolved as null,Jeffreys,27,9,0,27,0.0179,0.0083,0.0007,0.0356,0.0000,0.0881,0.0681
"broader, new physics",unresolved as null,uniform,27,9,0,27,0.0345,0.0245,0.0062,0.0634,0.0009,0.1234,0.1015
"broader, new physics",unresolved as real,Jeffreys,27,9,9,27,0.3393,0.3354,0.2506,0.4281,0.1795,0.5209,0.4906
"broader, new physics",unresolved as real,uniform,27,9,9,27,0.3448,0.3412,0.2573,0.4324,0.1864,0.5235,0.4938
"broader, new physics, in window",resolved only,Jeffreys,14,5,0,9,0.0500,0.0243,0.0022,0.1012,0.0001,0.2376,0.1874
"broader, new physics, in window",resolved only,uniform,14,5,0,9,0.0909,0.0670,0.0173,0.1674,0.0025,0.3085,0.2589
"broader, new physics, in window",unresolved as null,Jeffreys,14,5,0,14,0.0333,0.0158,0.0014,0.0669,0.0000,0.1616,0.1261
"broader, new physics, in window",unresolved as null,uniform,14,5,0,14,0.0625,0.0452,0.0116,0.1150,0.0017,0.2180,0.1810
"broader, new physics, in window",unresolved as real,Jeffreys,14,5,5,14,0.3667,0.3606,0.2436,0.4901,0.1515,0.6155,0.5753
"broader, new physics, in window",unresolved as real,uniform,14,5,5,14,0.3750,0.3697,0.2552,0.4951,0.1634,0.6162,0.5774
"all, new physics",resolved only,Jeffreys,35,10,0,25,0.0192,0.0090,0.0008,0.0383,0.0000,0.0947,0.0732
"all, new physics",resolved only,uniform,35,10,0,25,0.0370,0.0263,0.0067,0.0681,0.0010,0.1323,0.1088
"all, new physics",unresolved as null,Jeffreys,35,10,0,35,0.0139,0.0064,0.0006,0.0276,0.0000,0.0688,0.0530
"all, new physics",unresolved as null,uniform,35,10,0,35,0.0270,0.0191,0.0048,0.0496,0.0007,0.0974,0.0798
"all, new physics",unresolved as real,Jeffreys,35,10,10,35,0.2917,0.2878,0.2167,0.3667,0.1574,0.4479,0.4211
"all, new physics",unresolved as real,uniform,35,10,10,35,0.2973,0.2936,0.2229,0.3718,0.1635,0.4519,0.4255
