stratum,r_obs,f_null_over_f_real,unrecalled_per_recalled,r_corrected
"DD, new physics",0.0625,1.0000,0,0.0625
"DD, new physics",0.0625,1.0000,2,0.0208
"DD, new physics",0.0625,1.0000,5,0.0104
"DD, new physics",0.0625,0.5000,0,0.0323
"DD, new physics",0.0625,0.5000,2,0.0108
"DD, new physics",0.0625,0.5000,5,0.0054
"DD, new physics",0.0625,0.3300,0,0.0215
"DD, new physics",0.0625,0.3300,2,0.0072
"DD, new physics",0.0625,0.3300,5,0.0036
"all, new physics",0.0192,1.0000,0,0.0192
"all, new physics",0.0192,1.0000,2,0.0064
"all, new physics",0.0192,1.0000,5,0.0032
"all, new physics",0.0192,0.5000,0,0.0097
"all, new physics",0.0192,0.5000,2,0.0032
"all, new physics",0.0192,0.5000,5,0.0016
"all, new physics",0.0192,0.3300,0,0.0064
"all, new physics",0.0192,0.3300,2,0.0021
"all, new physics",0.0192,0.3300,5,0.0011
"all, new physics, in window",0.0357,1.0000,0,0.0357
"all, new physics, in window",0.0357,1.0000,2,0.0119
"all, new physics, in window",0.0357,1.0000,5,0.0060
"all, new physics, in window",0.0357,0.5000,0,0.0182
"all, new physics, in window",0.0357,0.5000,2,0.0061
"all, new physics, in window",0.0357,0.5000,5,0.0030
"all, new physics, in window",0.0357,0.3300,0,0.0121
"all, new physics, in window",0.0357,0.3300,2,0.0040
"all, new physics, in window",0.0357,0.3300,5,0.0020
