multiplet,mass_TeV,v_rel,S_tot,S_WW,S_ZZ,sigv_line
"(2,1/2)",1.0,1e-06,1.6626502886219188,1.8253501598032078,1.4703216515234037,1.1938754099598382e-28
"(2,1/2)",1.0,1.8231201782055066e-06,1.6626502886272412,1.8253501598248625,1.4703216515094188,1.193875410197439e-28
"(2,1/2)",1.0,3.3237671841800854e-06,1.6626502886449277,1.825350159896835,1.470321651462934,1.1938754109871713e-28
"(2,1/2)",1.0,6.059627021136012e-06,1.662650288703722,1.8253501601360633,1.4703216513084356,1.1938754136120616e-28
"(2,1/2)",1.0,1.104742829463239e-05,1.6626502888991357,1.825350160931198,1.4703216507949155,1.1938754223365876e-28
"(2,1/2)",1.0,2.01407894412228e-05,1.6626502895486457,1.825350163574039,1.4703216490880946,1.1938754513348809e-28
"(2,1/2)",1.0,3.67190796352817e-05,1.6626502917074717,1.8253501723582384,1.4703216434150215,1.1938755477184851e-28
"(2,1/2)",1.0,6.694329500821696e-05,1.6626502988829701,1.8253502015549539,1.470321624559088,1.1938758680754242e-28
"(2,1/2)",1.0,0.00012204567192504444,1.6626503227333316,1.825350298598933,1.4703215618867704,1.1938769328703588e-28
"(2,1/2)",1.0,0.00022250392714919803,1.662650402013863,1.825350621160434,1.4703213535831932,1.1938804720345926e-28
"(2,1/2)",1.0,0.000405651399315671,1.6626506656065116,1.8253516933891696,1.4703206612815602,1.1938922357654552e-28
"(2,1/2)",1.0,0.0007395512514097,1.662651542639914,1.8253552584365773,1.4703183607951136,1.1939313397883807e-28
"(2,1/2)",1.0,0.001348290809262159,1.6626544677810993,1.8253671211807474,1.4703107207343193,1.1940613579935314e-28
"(2,1/2)",1.0,0.0024580961804548745,1.662664301788172,1.8254066978717676,1.4702853957100688,1.1944940119915953e-28
"(2,1/2)",1.0,0.004481404746557171,1.6626982230720546,1.825539878169238,1.4702019822310872,1.1959376436968807e-28
"(2,1/2)",1.0,0.008170139420154312,1.6628247421182891,1.8260008054224894,1.469933195035078,1.2007986487553374e-28
"(2,1/2)",1.0,0.01489514603563558,1.6634023743743662,1.8277419880086776,1.4691353864407048,1.2176853433343628e-28
"(2,1/2)",1.0,0.027155641294884982,1.667294884567427,1.836187774954228,1.4676454368581036,1.2835862114834753e-28
"(2,1/2)",1.0,0.04950799759681563,1.7370741068432674,1.9438940239437696,1.4925908599177344,1.8527554706837712e-28
"(2,1/2)",1.0,0.0902590294013043,1.5368593800107166,1.6871822890827568,1.3591616349750437,1.2965386895987175e-28
"(2,1/2)",1.0,0.16455305776676196,1.345807513844959,1.4416966091832748,1.2324563545285596,7.488848198072224e-29
"(2,1/2)",1.0,0.29999999999999993,1.2047128229075024,1.2608531957883569,1.138348901879279,3.795359357745731e-29
"(2,1/2)",1.1,1e-06,1.7554112229163854,1.941206201137443,1.5357817008918226,1.2201864612506572e-28
"(2,1/2)",1.1,1.8231201782055066e-06,1.7554112229196068,1.9412062011614308,1.5357817008704964,1.2201864615234084e-28
"(2,1/2)",1.1,3.3237671841800854e-06,1.7554112229302719,1.9412062012411064,1.5357817007995833,1.2201864624298722e-28
"(2,1/2)",1.1,6.059627021136012e-06,1.7554112229657282,1.9412062015059426,1.5357817005638885,1.2201864654427675e-28
"(2,1/2)",1.1,1.104742829463239e-05,1.7554112230835766,1.9412062023861945,1.5357816997804943,1.2201864754569214e-28
"(2,1/2)",1.1,2.01407894412228e-05,1.7554112234752746,1.9412062053119457,1.5357816971766705,1.2201865087416558e-28
"(2,1/2)",1.1,3.67190796352817e-05,1.7554112247772198,1.9412062150365017,1.5357816885221895,1.2201866193724593e-28
"(2,1/2)",1.1,6.694329500821696e-05,1.7554112291046378,1.941206247358734,1.535781659756745,1.2201869870837141e-28
"(2,1/2)",1.1,0.00012204567192504444,1.7554112434890352,1.9412063547917109,1.5357815641477761,1.2201882092743944e-28
"(2,1/2)",1.1,0.00022250392714919803,1.7554112913111115,1.9412067118892649,1.5357812463731828,1.220192271596316e-28
"(2,1/2)",1.1,0.000405651399315671,1.7554114503901659,1.9412078989685857,1.5357801902460497,1.2202057743032684e-28
"(2,1/2)",1.1,0.0007395512514097,1.7554119805622623,1.9412118464221626,1.535776680826197,1.220250659618012e-28
"(2,1/2)",1.1,0.001348290809262159,1.7554137585370153,1.9412249875955865,1.5357650262856224,1.220399908307455e-28
"(2,1/2)",1.1,0.0024580961804548745,1.7554198428714076,1.9412688953216317,1.535726399328517,1.2208966439566065e-28
"(2,1/2)",1.1,0.004481404746557171,1.7554420017160777,1.9414173780216362,1.535599229874688,1.22255509163501e-28
"(2,1/2)",1.1,0.008170139420154312,1.7555372388699244,1.9419393009896042,1.5351900787920638,1.228150681329636e-28
"(2,1/2)",1.1,0.01489514603563558,1.756100260589141,1.9439997996219363,1.533982922749645,1.2477240824865275e-28
"(2,1/2)",1.1,0.027155641294884982,1.7610958349839398,1.9550383930589894,1.5318350027586245,1.3261602997523035e-28
"(2,1/2)",1.1,0.04950799759681563,1.9179006461319932,2.1891040388019647,1.5973092497774781,2.3939592696253813e-28
