multiplet,mass_GeV,S_tot_MW,S_tot_sat,S_WW_MW,sigv_tree_tot,sigv_MW_tot,sigv_sat_tot,sigv_line_MW,sigv_line_sat
"(2,1/2)",499.99999999999994,1.2796605077032221,1.2796592619431248,1.3483140522180903,3.806212053479279e-26,4.870659248781418e-26,4.87065450715432e-26,1.0980625816885179e-28,1.0980250088763396e-28
"(2,1/2)",534.9783426375611,1.3026936941870808,1.3026922810785586,1.3769552332146524,3.331091667736848e-26,4.3393921103199186e-26,4.3393874031258946e-26,1.1028879258735577e-28,1.1028465119193054e-28
"(2,1/2)",572.4036541824642,1.327894193809198,1.327892599463933,1.40829593271683,2.914560827977821e-26,3.8702284009754776e-26,3.870223754159222e-26,1.108348933381006e-28,1.1083032832300494e-28
"(2,1/2)",612.4471164684367,1.3555137943179223,1.3555120074066245,1.442651715932659,2.549568982497149e-26,3.455975925339995e-26,3.455971369486375e-26,1.11454409673619e-28,1.1144937736024479e-28
"(2,1/2)",655.291886642876,1.3858414791336282,1.3858394930865223,1.4803851792174445,2.2298709893994172e-26,3.090247710226455e-26,3.09024328159763e-26,1.1215835022514465e-28,1.1215280231673439e-28
"(2,1/2)",701.1339349200929,1.4192102802363387,1.419208096498767,1.5219146886112274,1.9499460559857514e-26,2.7673834885612813e-26,2.767379230390816e-26,1.129590852803784e-28,1.129529683786875e-28
"(2,1/2)",750.1829409410059,1.4560056553606902,1.4560032881666298,1.5677250752555767,1.7049218839876903e-26,2.4823759050342795e-26,2.4823718691533223e-26,1.1387059148462677e-28,1.1386384657130338e-28
"(2,1/2)",802.6632528391823,1.4966757890981355,1.4966732724303164,1.6183808033301317,1.4905045974951612e-26,2.2308021446104693e-26,2.2307983935055146e-26,1.1490874957906428e-28,1.1490131146911112e-28
"(2,1/2)",858.814913399959,1.5417443390293035,1.541741736737924,1.674542283587738,1.3029146512345245e-26,2.0087612877791676e-26,2.0087578972156022e-26,1.1609170889318329e-28,1.1608350567495123e-28
"(2,1/2)",918.8947580062622,1.5918263119130613,1.5918237324126299,1.7369862180866262,1.1388286628657666e-26,1.8128174303104962e-26,1.812814492701469e-26,1.174403364573785e-28,1.174312889439378e-28
"(2,1/2)",983.1775893930661,1.6476479780403053,1.6476455956766856,1.806631151207386,9.953269484100083e-27,1.6399484340367776e-26,1.6399460628060658e-26,1.1897877419850453e-28,1.1896879543316041e-28
"(2,1/2)",1051.9574345837902,1.7100720384363262,1.7100701246239784,1.8845698002091233,8.69846438841745e-27,1.4875000727966818e-26,1.4874984080738267e-26,1.2073513530529226e-28,1.20724130189423e-28
"(2,1/2)",1125.5488897577948,1.780129685264429,1.7801286540369345,1.9721102918742106,7.601385994591867e-27,1.353145285812626e-26,1.3531445019368025e-26,1.22742381340355e-28,1.227302464945986e-28
"(2,1/2)",1204.2885592003443,1.8590617933412825,1.8590622683254399,2.0708292091508396,6.642319482328882e-27,1.234848236876407e-26,1.2348485523760592e-26,1.2503943627040798e-28,1.2502606030424256e-28
"(2,1/2)",1288.536594916753,1.9483723294134268,1.9483752429358208,2.1826404567306708,5.8039876505729334e-27,1.1308328938633548e-26,1.1308345848681542e-26,1.276726141242668e-28,1.276578785934284e-28
"(2,1/2)",1378.6783439528238,2.049898286640308,2.0499050275043986,2.3098855452358804,5.071255935799475e-27,1.0395558853909836e-26,1.0395593038556867e-26,1.3069746626204679e-28,1.3068124775637015e-28
"(2,1/2)",1475.1261109563582,2.165902231551516,2.1659148673655237,2.455453214755953,4.430871559638809e-27,9.596834598739842e-27,9.596890586408761e-27,1.3418119651795343e-28,1.3416337058732477e-28
"(2,1/2)",1578.3210440416474,2.2991961837325228,2.299217798854947,2.622939754956185,3.871233249295677e-27,8.900724713119074e-27,8.900808390299691e-27,1.3820585444369195e-28,1.3818630249982892e-28
"(2,1/2)",1688.7351525827733,2.4533095054852265,2.453344720772185,2.8168665477126678,3.3821882417966236e-27,8.297554562940022e-27,8.297673667669505e-27,1.428726091230365e-28,1.4285123016518274e-28
"(2,1/2)",1806.873466165042,2.63271952812431,2.6327753109840675,3.0429792665552915,2.954853560720467e-27,7.779300672056426e-27,7.779465502238207e-27,1.4830754570966584e-28,1.48284275914588e-28
"(2,1/2)",1933.2763445695211,2.843173063802343,2.843260009829137,3.308665494730654,2.5814588298357513e-27,7.339534210303725e-27,7.33975865789231e-27,1.546696423163751e-28,1.5464448756867585e-28
"(2,1/2)",2068.52194935641,3.09214192939137,3.0922763248270844,3.6235471353933106,2.2552081541782454e-27,6.97342369303987e-27,6.973726782722378e-27,1.6216192409846282e-28,1.6213501408756443e-28
"(2,1/2)",2213.228888352219,3.3894799563495424,3.389687161363308,4.000335893456185,1.97015885069202e-27,6.677813935245252e-27,6.67822216203703e-27,1.710473374334032e-28,1.7101901627792621e-28
"(2,1/2)",2368.0590451364865,3.7483895291562868,3.748709649674658,4.456093314217841,1.7211150448622966e-27,6.451409612635185e-27,6.451960576875523e-27,1.8167178805143831e-28,1.816427680146271e-28
"(2,1/2)",2533.7206064700063,4.186875171136931,4.187372804886411,5.014128054025447,1.5035343654818693e-27,6.2951107037871586e-27,6.2958589132309246e-27,1.9449831468321565e-28,1.9446994143367582e-28
"(2,1/2)",2710.9713015119237,4.729984378059034,4.730765840149935,5.7069242097018575,1.3134461665198357e-27,6.212579849060347e-27,6.213606257447923e-27,2.1015904062320697e-28,2.1013376120882914e-28
"(2,1/2)",2900.621867641682,5.4133601203470345,5.414604890546662,6.58078929585889,1.1473798833801162e-27,6.211180503578352e-27,6.212608727864836e-27,2.2953637812551683e-28,2.2951858943281152e-28
"(2,1/2)",3103.5397587384286,6.289055542040596,6.291075868597758,7.703471063282934,1.0023022914612794e-27,6.3035347809145476e-27,6.305559758852292e-27,2.53894051597087e-28,2.5389169058913352e-28
"(2,1/2)",3320.6531128793254,7.435408119145754,7.438767049030816,9.177107220639542,8.755625789365521e-28,6.510165108245035e-27,6.513106061557667e-27,2.850963869909043e-28,2.851240333129819e-28
"(2,1/2)",3552.9549976048797,8.974542212991437,8.980299744591463,11.161206647535632,7.648442742820013e-28,6.864127225908622e-27,6.868530840986899e-27,3.259913450704603e-28,3.2607657576136978e-28
"(2,1/2)",3801.5079521690013,11.105006717809575,11.115266032059361,13.915553504545564,6.681231835682679e-28,7.419512441849934e-27,7.42636692754773e-27,3.8111422624743663e-28,3.8131142589775216e-28
"(2,1/2)",4067.448847549763,14.166457925230427,14.18567284467729,17.88533583399674,5.83630594171899e-28,8.267978256213442e-27,8.27919267106718e-27,4.580614317161617e-28,4.584840829644258e-28
"(2,1/2)",4351.994086450461,18.7777916289185,18.81620585315435,23.883151507802335,5.09821091591966e-28,9.57331422594171e-27,9.59289860767429e-27,5.703796071409635e-28,5.71283067653931e-28
"(2,1/2)",4656.445167075474,26.161184344950676,26.245041805134452,33.516468709116765,4.453444156488774e-28,1.1650737354784618e-26,1.168808280638796e-26,7.4423842898806775e-28,7.462588829618977e-28
"(2,1/2)",4982.194636129438,39.001054085105125,39.20821168049685,50.322053602727536,3.8902085258945384e-28,1.5172223312074996e-26,1.5252811936454668e-26,1.0358386369565848e-27,1.0408016479294368e-27
"(2,1/2)",5330.732458268552,64.13313704115241,64.74886974954313,83.32165512139198,3.398197215355381e-28,2.1793704770524915e-26,2.2002942888030575e-26,1.5850163490070105e-27,1.5993601351225706e-27
"(2,1/2)",5703.652831137525,123.27023083289097,125.75121417340014,161.22191562668476,2.9684056821576355e-28,3.659160536452369e-26,3.7328061869054277e-26,2.8253320306186255e-27,2.88054118231678e-27
"(2,1/2)",6102.661477163973,316.3224953499403,334.3292489579096,416.35954964208895,2.5929672684899465e-28,8.202138767294585e-26,8.669047994466862e-26,6.700052289536497e-27,7.077196555458409e-27
"(2,1/2)",6529.5834454625465,1599.3695362096962,2238.2311395015663,2118.0073331441345,2.2650095315890858e-28,3.6225872440481773e-25,5.069614864870548e-25,3.119362333951865e-26,4.362640403882913e-26
"(2,1/2)",6986.371459534426,3241.67098684355,8053.212334586906,4317.591045593395,1.9785286846989463e-28,6.413739033826304e-25,1.5933511607951562e-24,5.800239797322749e-26,1.4400021736811344e-25
