multiplet,mass_TeV,delta_N1_keV,f_thermal,delta_N1_subcomponent_keV,sigv_tree_tot,S_MW,S_dwarf,S_CMB,sigv_MW,sigv_line_MW,ratio_Fermi_dSph,ratio_Fermi_dSph_range,ratio_Fermi_dSph_thermal,ratio_HESS_GC,ratio_HESS_GC_range,ratio_HESS_GC_thermal,ratio_AMS_pbar,ratio_AMS_pbar_range,ratio_AMS_pbar_thermal,ratio_Planck_CMB,ratio_Planck_CMB_range,ratio_Planck_CMB_thermal,ratio_line,ratio_line_range,ratio_line_thermal,worst_probe,worst_ratio,verdict_full_density,worst_ratio_thermal,verdict_thermal_fraction,f_max_evade_anchor,f_max_evade_band_high,delta_N1_at_f_max_keV
"(2,1/2)",1.0,365.8,0.8,364.41353116146786,9.6224332152721e-27,1.6626525836037567,1.6626502906807976,1.6626502886219188,1.599876344592676e-26,1.1939776801306359e-28,0.1599874138242872,0.08-0.32,0.10239194484754383,0.7999381722963379,0.4-3.2,0.5119604302696563,0.5332921148642253,0.16-1.6,0.3413069535131043,0.015998741362617294,0.01-0.016,0.01023919447207507,0.5969888400653179,0.3-1.2,0.38207285764180354,HESS_GC,0.7999381722963379,"allowed, marginal (<x2 headroom)",0.5119604302696563,marginal (f=0.80),1.0,1.0,365.8
"(2,1/2)",1.1,367.0,1.0,367.0,7.957504775147673e-27,1.7554126115799882,1.755411224158058,1.7554112229163854,1.3968704239002202e-26,1.22030385255354e-28,0.12698811998714152,0.063-0.25,0.12698811998714152,0.665931845606246,0.33-2.7,0.665931845606246,0.4232940678485515,0.13-1.3,0.4232940678485515,0.012698811989731777,0.0079-0.013,0.012698811989731777,0.5546835693425182,0.28-1.1,0.5546835693425182,HESS_GC,0.665931845606246,"allowed, marginal (<x2 headroom)",0.665931845606246,marginal (f=1.00),1.0,1.0,367.0
"(2,1/2)",2.0,375.0,1.0,375.0,2.4122427265136097e-27,2.9627408603420644,2.962849015586805,2.962849113069536,7.14685009090482e-27,1.582732020847139e-28,0.035735554938036394,0.018-0.071,0.035735554938036394,0.2526793081701246,0.13-1,0.2526793081701246,0.119114168181747,0.036-0.36,0.119114168181747,0.003573555611379644,0.0022-0.0036,0.003573555611379644,0.39568300521178473,0.2-0.79,0.39568300521178473,line,0.39568300521178473,allowed,0.39568300521178473,allowed (f=1.00),1.0,1.0,375.0
"(3,1)",1.0,374.1,0.25,365.4864688385322,9.137933295054558e-26,5.103657644707864,5.103902925954169,5.103903146707822,4.6636883118135715e-25,2.4379761856605223e-27,4.663912448180298,2.3-9.3,0.2914945280112686,23.318441559067857,12-93,1.457402597441741,15.545627706045238,4.7-47,0.9716017316278274,0.4663912649903514,0.29-0.47,0.02914945406189696,12.189880928302612,6.1-24,0.7618675580189133,HESS_GC,23.318441559067857,EXCLUDED (beyond band),1.457402597441741,excluded (f=0.25),0.20708576137304427,0.2928634923081176,364.31632177791533
"(3,1)",2.0,384.7,1.0,384.7,2.2912881459033613e-26,101.51107659352041,101.78957296306046,101.78982433955483,2.3259112647662147e-24,6.398406777465872e-26,11.661462095341285,5.8-23,11.661462095341285,82.23338138771848,41-3.3e+02,82.23338138771848,38.76518774610358,12-1.2e+02,38.76518774610358,1.1661490894140372,0.73-1.2,1.1661490894140372,159.9601694366468,80-3.2e+02,159.9601694366468,line,159.9601694366468,EXCLUDED (beyond band),159.9601694366468,excluded (f=1.00),0.07906678359968951,0.1118173176998995,368.9338595232088
"(4,3/2)",1.0,379.2,0.17361111111111113,368.32081378734455,4.0393949947419205e-25,87.9599593794537,88.02703981438913,88.02710022611289,3.553050196550679e-23,3.0872613005937852e-25,355.5759840281912,1.8e+02-7.1e+02,10.717350984646005,1776.5250982753394,8.9e+02-7.1e+03,53.545919484089865,1184.350065516893,3.6e+02-3.6e+03,35.69727965605991,35.557622805500586,22-36,1.071735833981379,1543.6306502968926,7.7e+02-3.1e+03,46.52629033736295,HESS_GC,1776.5250982753394,EXCLUDED (beyond band),53.545919484089865,excluded (f=0.17),0.023725442779971326,0.03355284295274228,355.95457224696764
"(4,3/2)",2.0,390.8,0.6944444444444445,388.5343449488124,1.0129364785649753e-25,130.48260887334,130.47042569348076,130.4704147465509,1.3217059434613203e-23,2.6433077824380857e-24,66.07912677941384,33-1.3e+02,31.866862837294494,467.2936176780315,2.3e+02-1.9e+03,225.35378938948287,220.28432391022005,66-6.6e+02,106.23279509559227,6.607912123514154,4.1-6.6,3.1866860163552064,6608.269456095215,3.3e+03-1.3e+04,3186.8583410953015,line,6608.269456095215,EXCLUDED (beyond band),3186.8583410953015,excluded (f=0.69),0.012301444975610953,0.017396870321295377,363.4734500794739
"(4,3/2)",2.4,392.0,1.0,392.0,7.036461380049577e-26,569.4795234207235,575.1704852275445,575.1756508323901,4.007120673278959e-23,4.073360857982885e-23,168.63187109366638,84-3.4e+02,168.63187109366638,1293.292636154405,6.5e+02-5.2e+03,1293.292636154405,556.544537955411,1.7e+02-1.7e+03,556.544537955411,16.863338557612476,11-17,16.863338557612476,84861.68454131011,4.2e+04-1.7e+05,84861.68454131011,line,84861.68454131011,EXCLUDED (beyond band),84861.68454131011,excluded (f=1.00),0.0034327658080852796,0.004854663962244839,356.7430389152942
"(5,2)",1.0,382.7,0.04938271604938271,364.00928338202846,1.2117509332334972e-24,136.86180543604982,136.8875209518047,136.8875440990598,1.6584242046115469e-22,6.266885812509739e-24,1658.7358126136924,8.3e+02-3.3e+03,4.045080475814522,8292.121023057734,4.1e+03-3.3e+04,20.221602860680342,5528.08068203849,1.7e+03-1.7e+04,13.481068573786896,165.87360931007723,1e+02-1.7e+02,0.404508115982508,31334.429062548694,1.6e+04-6.3e+04,76.41378829458604,line,31334.429062548694,EXCLUDED (beyond band),76.41378829458604,excluded (f=0.05),0.005649228052541608,0.007989214928842891,350.53823513142873
"(5,2)",2.0,393.0,0.19753086419753085,382.9228145434963,3.0387409468380124e-25,204.66176146261668,205.47779851734643,205.4785359417973,6.219140748084473e-23,1.380614907223722e-22,312.1969000103958,1.6e+02-6.2e+02,12.181436732611083,2198.798298062054,1.1e+03-8.8e+03,85.79368454563112,1036.5234580140789,3.1e+02-3.1e+03,40.443530750130186,31.219802043133285,20-31,1.2181480449690778,345153.72680593055,1.7e+05-6.9e+05,13467.360777673863,line,345153.72680593055,EXCLUDED (beyond band),13467.360777673863,excluded (f=0.20),0.0017021338811363887,0.002407180819677835,353.38447620999216
"(5,2)",4.5,398.0,1.0,398.0,6.007389064446259e-26,530.6297283551753,532.3565504287042,532.3581120633818,3.187699227390969e-23,2.5719748944425745e-24,71.06828709848291,36-1.4e+02,71.06828709848291,751.3479133570909,3.8e+02-3e+03,751.3479133570909,236.12586869562733,71-7.1e+02,236.12586869562733,7.106849557286258,4.4-7.1,7.106849557286258,2857.749882713972,1.4e+03-5.7e+03,2857.749882713972,line,2857.749882713972,EXCLUDED (beyond band),2857.749882713972,excluded (f=1.00),0.018706299878991688,0.02645470299068823,373.2777358530432
