m_A_GeV,r,m_h_GeV,Y_h,mY_GeV,Omega_h_h2,Omega_over_DM
1.0,0.5,0.5,1.557413234027211e-06,7.787066170136055e-07,213.66580346490807,1769.7877659400126
1.0,0.6,0.6,6.440006835972378e-08,3.8640041015834266e-08,10.602266924644589,87.81827503598697
1.0,0.7,0.7,1.5328194643200039e-09,1.0729736250240027e-09,0.29440840321433015,2.438576420509097
1.0,0.8,0.8,1.8411982045167223e-11,1.472958563613378e-11,0.0040415847006918465,0.03347633099121314
1.0,0.9,0.9,9.17932985723147e-14,8.261396871508323e-14,2.2668075007027486e-05,0.00018775901980700734
1.0,0.95,0.95,4.261896130822273e-15,4.0488013242811596e-15,1.1109323705762254e-06,9.20182119154809e-06
1.0,0.99,0.99,3.1481898807571053e-16,3.116707981949534e-16,8.55179473988089e-08,7.083427231703487e-07
1.0,1.05,1.05,3.4032794199254247e-16,3.573443390921696e-16,9.805010469614509e-08,8.121462252094764e-07
1.0,1.2,1.2,2.1589192201305834e-16,2.5907030641567e-16,7.108513522909605e-08,5.887961509447045e-07
1.0,1.5,1.5,1.9717579414214648e-16,2.9576369121321973e-16,8.115326791645258e-08,6.721902073027722e-07
1.0,2.5,2.5,2.51830809155668e-16,6.2957702288917e-16,1.7274680540734255e-07,1.4308568702026592e-06
3.0,0.5,1.5,1.6321389932510907e-06,2.4482084898766362e-06,671.7529074624022,5564.110204265083
3.0,0.6,1.7999999999999998,7.693807462674655e-08,1.3848853432814376e-07,37.999245558463436,314.74666892759944
3.0,0.7,2.0999999999999996,2.108478538545971e-09,4.427804930946538e-09,1.2149254642073295,10.063193024878496
3.0,0.8,2.4000000000000004,2.969872088198808e-11,7.127693011677139e-11,0.019557356017235406,0.16199302299266227
3.0,0.9,2.7,1.7864095121016645e-13,4.823305682674494e-13,0.00013234451352138652,0.001096205836971476
3.0,0.95,2.8499999999999996,9.266450637797948e-15,2.6409384317724147e-14,7.246352086875208e-06,6.002132799482761e-05
3.0,0.99,2.9699999999999998,7.686141340505461e-16,2.2827839781301216e-15,6.263628203065206e-07,5.188145404841186e-06
3.0,1.05,3.1500000000000004,8.89017084555359e-16,2.8004038163493813e-15,7.68390197763057e-07,6.364554128066776e-06
3.0,1.2,3.5999999999999996,5.607126246913228e-16,2.0185654488887616e-15,5.538650873898822e-07,4.5876487474744586e-06
3.0,1.5,4.5,5.028772052634594e-16,2.2629474236855675e-15,6.20919957422389e-07,5.143062326558108e-06
3.0,2.5,7.5,4.992328528903926e-16,3.744246396677944e-15,1.027366914878549e-06,8.509650901540782e-06
10.0,0.5,5.0,7.663585792210025e-07,3.8317928961050126e-06,1051.3884047849303,8708.620218420483
10.0,0.6,6.0,4.195262858014061e-08,2.5171577148084366e-07,69.06715749315889,572.0812988200993
10.0,0.7,7.0,1.384110320509554e-09,9.688772243566878e-09,2.6584586040239686,22.01993691719745
10.0,0.8,8.0,2.4418082298904037e-11,1.953446583912323e-10,0.05359974151473197,0.44396513270734617
10.0,0.9,9.0,1.929544219852236e-13,1.7365897978670123e-12,0.000476495057757721,0.003946794995152301
10.0,0.95,9.5,1.1821734338035978e-14,1.1230647621134179e-13,3.0815268484600114e-05,0.0002552419913894132
10.0,0.99,9.9,1.2311824552435553e-15,1.2188706306911197e-14,3.3444042587588167e-06,2.7701605242979993e-05
10.0,1.05,10.5,1.6967991987225954e-15,1.781639158658725e-14,4.8885594908551826e-06,4.049179906042557e-05
10.0,1.2,12.0,1.0453523560712844e-15,1.2544228272855413e-14,3.4419543306899087e-06,2.850960971103503e-05
10.0,1.5,15.0,9.147140386721275e-16,1.3720710580081913e-14,3.7647640152920967e-06,3.11834331365498e-05
10.0,2.5,25.0,1.1057833113151287e-15,2.764458278287822e-14,7.585272633753205e-06,6.282859723381414e-05
