m_A_GeV,Y_h,mY_GeV,eps_tau_h_1s
0.049999999999999996,3.960958302711101e-10,1.3863354059488852e-11,0.0002465272368599966
0.056752784037469015,4.2133318449469786e-10,1.6738281859212673e-11,0.00023886040622845265
0.06441756992007197,4.483407811684671e-10,2.021671653325759e-11,0.00023142801828013025
0.0731175286778481,4.772698936417334e-10,2.442775659479607e-11,0.0002242238915635033
0.08299246628814723,5.08116396968523e-10,2.951888306210549e-11,0.00021724175983915914
0.09420107031976296,5.409882176800154e-10,3.567316839508685e-11,0.00021047534269381013
0.10692345999911879,5.76010333035938e-10,4.311231246241304e-11,0.00020391839744824118
0.12136408067737893,6.133170005217581e-10,5.210425775249149e-11,0.0001975647568893424
0.13775498921178506,6.530517665318209e-10,6.29727973373297e-11,0.0001914083562968904
0.15635958305640626,6.953679215475802e-10,7.610920679878561e-11,0.00018544325241195758
0.17747683298777853,7.404286312009051e-10,9.198624996330875e-11,0.00017966363635842528
0.20144608748418705,7.884052030809473e-10,1.1117480045898294e-10,0.0001740638420420143
0.22865252596366312,8.394687133305737e-10,1.3436264923935131e-10,0.00016863835117951253
0.25953334851275106,8.937637947059911e-10,1.623730572936562e-10,0.00016338179582821205
0.29458480157330685,9.51347166672942e-10,1.9617669142517344e-10,0.00015828895907115406
0.334370152488211,1.0120801294090564e-09,2.3688657104055616e-10,0.0001495642300773497
0.37952874105478046,1.075492885941153e-09,2.857263227102328e-10,0.00014111318108768023
0.4307862535418892,1.140672525631527e-09,3.4397023068447913e-10,0.00013507259837701476
0.48896638427146427,1.2062618308934738e-09,4.128750401556608e-10,0.00013056414951496216
0.55500407216281,1.2706699910561348e-09,4.936589135878653e-10,0.00012692177124484644
0.6299605249474366,1.3324784770908471e-09,5.875861886365176e-10,0.00012373737456644265
0.7150402724894498,1.3908816526597322e-09,6.961754771428737e-10,0.00012077097291058723
0.811610523253735,1.4459993123067265e-09,8.215117809400622e-10,0.00011783678052736597
0.921223134975129,1.4989115725717975e-09,9.665824125545643e-10,0.00011394073824200641
1.045639552591273,1.5513737999249296e-09,1.1355244642387283e-09,0.00010956911421924355
1.186859114184965,1.6053742997442169e-09,1.3337471835308106e-09,0.00010483609904851484
1.3471511798048221,1.6627083465064379e-09,1.567943657467231e-09,9.951579201947364e-05
1.5290915994656933,1.7246364490822153e-09,1.8459889744967706e-09,9.293591328849174e-05
1.7356041063596916,1.7916841398048307e-09,2.1767580452413574e-09,8.33271211786743e-05
1.9700073004555199,1.863577361980085e-09,2.569882705645084e-09,6.647357144744675e-05
2.2360679774997894,1.9392023318405405e-09,3.035331765285087e-09,4.935681583447075e-05
2.538061660402914,2.016201868214285e-09,3.5820712629431835e-09,6.887248416769297e-05
2.8808413057325324,2.0886642012839793e-09,4.211977073404615e-09,8.092541516441558e-05
3.2699152894091736,2.1369072180096043e-09,4.891253908952899e-09,7.647223661285356e-05
3.711535924813137,2.0904111585250177e-09,5.4310452787470975e-09,6.446860277632729e-05
4.212799935764557,1.7886604044860224e-09,5.274687905986324e-09,5.690525879750656e-05
4.781762498950186,1.3357103284724635e-09,4.470934690705042e-09,5.50570638545833e-05
5.427566688427759,1.1447408198789813e-09,4.349209998601048e-09,5.3140529767588206e-05
6.160590402346034,1.1456095593714036e-09,4.940341879409536e-09,5.096862062968815e-05
6.9926131329529735,1.198917419153018e-09,5.8684959833468344e-09,4.909135376814045e-05
7.9370052598409995,1.2623777056142725e-09,7.0136489425565455e-09,4.747134089713785e-05
9.008942908320234,1.3283532269348107e-09,8.376940868477064e-09,4.602014986849987e-05
10.225651825635733,1.3962189960150856e-09,9.994074527912264e-09,4.467295246899574e-05
11.606684194053106,1.466439149912311e-09,1.1914347271979526e-08,3.862674667114575e-05
13.17423282912403,1.5395856230448543e-09,1.4198001620855423e-08,3.661681652876885e-05
14.953487812212204,1.616115343398986e-09,1.6916592763452114e-08,3.552492435164178e-05
16.973041288268096,1.696314291049578e-09,2.01541287499046e-08,3.445694073606736e-05
19.265346933842476,1.780356318599715e-09,2.4009427500577467e-08,3.34149787439587e-05
21.86724147886555,1.868435580495001e-09,2.860027241847196e-08,3.24002881159023e-05
24.820536662904843,1.9609041818286074e-09,3.4069485896264254e-08,3.141249497304681e-05
28.172691138478395,2.0583559678221277e-09,4.0592598854147596e-08,3.0451248898253814e-05
31.97757311872765,2.1616302791931094e-09,4.8386583215987325e-08,2.862595226547921e-05
36.296326024990485,2.2717440613651455e-09,5.7719174167651714e-08,2.774323441505318e-05
41.198351044997054,2.3897939550017505e-09,6.89188991983618e-08,2.6885887773439774e-05
46.762422391131054,2.516866120734522e-09,8.23863296478006e-08,2.6053552730041508e-05
53.07795318065536,2.653968572180024e-09,9.860705373197145e-08,2.524581388456642e-05
60.246432280252485,2.802002372270938e-09,1.181674523190895e-07,2.4462202939841974e-05
68.38305520458347,2.9617689133146903e-09,1.4177436497169235e-07,2.3702207000932103e-05
77.61857527696091,3.13399061859959e-09,1.702791207229431e-07,2.296527870743768e-05
88.10140479978796,3.319337368499397e-09,2.047067996184598e-07,2.2250846225838228e-05
100.0,3.5184591783574992e-09,2.4629214248502494e-07,2.155832215781446e-05
