variant,ff,N_ROI_recalled_2p84,anchor_LZ_over_recalled,N_total_raw_per_tyr,N_below_5p4_LZeff_per_tyr_anchored,phi_1GeV_anchored,phi_above_110_anchored,dRdE_248_recalled,dRdE_248_anchored,none|5.4-55|per_tyr_recalled,none|5.4-55|per_tyr_anchored,none|55-125|per_tyr_recalled,none|55-125|per_tyr_anchored,none|125-200|per_tyr_recalled,none|125-200|per_tyr_anchored,none|200-270|per_tyr_recalled,none|200-270|per_tyr_anchored,none|270-420|per_tyr_recalled,none|270-420|per_tyr_anchored,LZ600phd|5.4-55|per_tyr_recalled,LZ600phd|5.4-55|per_tyr_anchored,LZ600phd|55-125|per_tyr_recalled,LZ600phd|55-125|per_tyr_anchored,LZ600phd|125-200|per_tyr_recalled,LZ600phd|125-200|per_tyr_anchored,LZ600phd|200-270|per_tyr_recalled,LZ600phd|200-270|per_tyr_anchored,LZ600phd|270-420|per_tyr_recalled,LZ600phd|270-420|per_tyr_anchored,ext1000phd|5.4-55|per_tyr_recalled,ext1000phd|5.4-55|per_tyr_anchored,ext1000phd|55-125|per_tyr_recalled,ext1000phd|55-125|per_tyr_anchored,ext1000phd|125-200|per_tyr_recalled,ext1000phd|125-200|per_tyr_anchored,ext1000phd|200-270|per_tyr_recalled,ext1000phd|200-270|per_tyr_anchored,ext1000phd|270-420|per_tyr_recalled,ext1000phd|270-420|per_tyr_anchored
"central (ga=1.0, E1=120, gb=2.3, E2=2000, gc=3.0)",helm,0.08109680763914039,1.356403577431448,0.04519608163840194,0.000942186696937872,0.00031825634368346976,3.6825880486048685,1.0480752650669696e-07,1.4216130389542506e-07,0.029119520801935393,0.03949782218883464,0.0005218266862597432,0.0007078075840419135,0.00017369438144850308,0.00023559968037649212,2.4419731615634724e-05,3.3123011323362774e-05,9.299228639248171e-06,1.2613506993629195e-05,0.027173159008976766,0.03685777008988966,0.0004983444853780548,0.0006759562427600274,0.00016587813428208415,0.00022499769475787306,2.3182741284598235e-05,3.1445153213096766e-05,2.8375506589965026e-08,3.848863865005819e-08,0.027173159008976766,0.03685777008988966,0.0004983444853780548,0.0006759562427600274,0.00016587813428332047,0.00022499769475955,2.3320843692931162e-05,3.163247581381145e-05,8.506065872565365e-06,1.1537658179415214e-05
"central (ga=1.0, E1=120, gb=2.3, E2=2000, gc=3.0)",helm_skin+0.15fm,0.07720643208080517,1.424751760123725,0.04367013365441707,0.0009788117362712122,0.0003342930477168261,3.868150962854232,3.69444231111779e-08,5.263663185440634e-08,0.02781080709146543,0.03962349635402674,0.0004080318497518598,0.0005813440961205016,0.00016972140768349169,0.00024181087432773108,1.5660921400468994e-05,2.231292533047751e-05,1.1044656820286282e-05,1.5735894244665382e-05,0.025931621967750573,0.03694612404141568,0.00038967041651302606,0.0005551836117950789,0.0001620839443367799,0.00023092938498162302,1.4917403481734219e-05,2.125359686707661e-05,6.456904921624995e-08,9.199486652036755e-08,0.025931621967750573,0.03694612404141568,0.00038967041651302606,0.0005551836117950789,0.00016208394433773454,0.00023092938498298315,1.4956179937447887e-05,2.130884369060602e-05,1.0231067961023139e-05,1.4576732085413167e-05
"central (ga=1.0, E1=120, gb=2.3, E2=2000, gc=3.0)",shell(WimPyDD),0.07546464026150959,1.457636313097288,0.043004675698924445,0.0009964278287251226,0.0003420088321390774,3.9574313686118443,3.9194335749348114e-09,5.713108705597702e-09,0.027284934477148623,0.039771511294372,0.00041597361379778347,0.0006063382447619562,5.721292251988784e-05,8.339563344341011e-05,3.1442233967679117e-06,4.58313419961901e-06,6.058828896140655e-06,8.831569013857776e-06,0.025433506471166434,0.037072802601767055,0.0003972548011768832,0.0005790530237476682,5.463834100625121e-05,7.964282993810439e-05,2.9344630927024503e-06,4.277379963366865e-06,1.3082965493902372e-07,1.9070205586910893e-07,0.025433506471166434,0.037072802601767055,0.0003972548011768832,0.0005790530237476682,5.463834100649289e-05,7.964282993845666e-05,3.002733343913356e-06,4.376893160636155e-06,5.695320496449997e-06,8.30170597035279e-06
soft low-E (ga=1.2),helm,0.0725994718685233,1.5151625372593422,0.04152205303515997,0.0009868892020333318,0.0002891095708186901,3.451722634463307,8.672277981520379e-08,1.3139910710298744e-07,0.026096386391013672,0.03954026701750844,0.00044410104831333827,0.0006728852711619714,0.00014482704126024038,0.00021943650729962927,2.0246066538408574e-05,3.0676081545856604e-05,7.65709339232444e-06,1.1601741052346043e-05,0.02433018164125042,0.036864179747537654,0.00042411650113923806,0.0006426054339596826,0.0001383098244025031,0.0002095618644695907,1.922077846351566e-05,2.912260346488011e-05,2.3439552629892782e-08,3.551473203493223e-08,0.02433018164125042,0.036864179747537654,0.00042411650113923806,0.0006426054339596826,0.00013830982440352958,0.00020956186447114596,1.933499354418019e-05,2.929565787629306e-05,7.004415618343738e-06,1.0612828140308662e-05
soft low-E (ga=1.2),helm_skin+0.15fm,0.06917716407457092,1.5901201136465104,0.04017276739126243,0.0010243602566834588,0.0003034122955798911,3.6224850158432624,3.0571121544896015e-08,4.8611755265271333e-08,0.024941430620264098,0.039659870492400905,0.0003470573356605655,0.0005518628500224335,0.0001415527412652996,0.0002250858610277533,1.298670147269989e-05,2.0650415221662853e-05,9.09730181638665e-06,1.4465802598149345e-05,0.023234907120290714,0.036946293150682784,0.00033143975555584,0.0005270290217714239,0.00013518286790756845,0.00021495699728024396,1.2370232169164782e-05,1.967015498266602e-05,5.331974351226973e-08,8.478479661333313e-08,0.023234907120290714,0.036946293150682784,0.00033143975555584,0.0005270290217714239,0.0001351828679083611,0.00021495699728150437,1.2402299906428394e-05,1.9721146536688023e-05,8.42759856101637e-06,1.3400893981610518e-05
soft low-E (ga=1.2),shell(WimPyDD),0.06764741696373769,1.6260783476620453,0.039587907826201967,0.0010423224825844776,0.0003102735196056868,3.7044022010920856,3.2431275333806265e-09,5.273579460736854e-09,0.024473832086005287,0.039796368439369824,0.0003541699766074737,0.000575908130353386,4.77243412420541e-05,7.760351795013892e-05,2.607280012644839e-06,4.239641574853796e-06,4.9931177195534176e-06,8.1192006110935e-06,0.022792158514134218,0.037061835456314786,0.00033823232766013735,0.0005499922644874837,4.5576745885961e-05,7.411135964205638e-05,2.4335112541198306e-06,3.957079959116166e-06,1.0806564734122901e-07,1.7572320926765496e-07,0.022792158514134218,0.037061835456314786,0.00033823232766013735,0.0005499922644874837,4.557674588616167e-05,7.41113596423827e-05,2.489952412075821e-06,4.048857703985375e-06,4.693710706614876e-06,7.632341350215969e-06
hard low-E (ga=0.8),helm,0.08948938078514351,1.2291961239971116,0.04879235701404367,0.0009035334262035706,0.00034822213352627676,3.907275465376413,1.2440033673424403e-07,1.5291241173766826e-07,0.03209846577813106,0.03945530972073263,0.0006029235851112071,0.0007411113338851384,0.00020464277446192127,0.00025154610517260875,2.8929088819232236e-05,3.555952384736845e-05,1.1090529964510987e-05,1.363243644545073e-05,0.02997656203207365,0.03684707386058391,0.0005757920237812028,0.0007077613238603072,0.0001954338496096722,0.0002402265304380435,2.746327998963051e-05,3.375775731550126e-05,3.3735703389806766e-08,4.14677958470667e-08,0.02997656203207365,0.03684707386058391,0.0005757920237812028,0.0007077613238603072,0.0001954338496111348,0.00024022653043984132,2.7627279822366787e-05,3.3959345274236866e-05,1.014398154957298e-05,1.2468942802633322e-05
hard low-E (ga=0.8),helm_skin+0.15fm,0.08512776823189881,1.2921753064211208,0.04708888655444611,0.0009394094733521853,0.0003660636682035213,4.107468916617213,4.3848704306006815e-08,5.6660212922783475e-08,0.03063568208732566,0.03958667188861008,0.00047170513951724097,0.0006095257331961084,0.00019990957048566274,0.0002583182104988259,1.8549473242866134e-05,2.3969171271550928e-05,1.316792143283223e-05,1.701526291239923e-05,0.028588430271275486,0.036941263645884244,0.000450478408238965,0.0005820970752022834,0.00019091363981267855,0.0002466938910249194,1.7668696706746576e-05,2.2831053581102105e-05,7.679078214433291e-08,9.92271524476709e-08,0.028588430271275486,0.036941263645884244,0.000450478408238965,0.0005820970752022834,0.00019091363981380794,0.00024669389102637874,1.7714746946937157e-05,2.2890558564331133e-05,1.219730519031685e-05,1.57610565718096e-05
hard low-E (ga=0.8),shell(WimPyDD),0.08317086197013596,1.3225785737257063,0.04634168607555464,0.000956732859759897,0.00037467668804655924,4.2041125181445205,4.652135898830102e-09,6.152815261852873e-09,0.030051977938624058,0.039746102119701796,0.0004804167129089787,0.0006353888509531492,6.737968924793688e-05,8.911493330361766e-05,3.72421746664579e-06,4.925570225280752e-06,7.219974068255419e-06,9.548983005529837e-06,0.028035353620833595,0.03707895800573791,0.0004587979608280746,0.0006067963526602574,6.434760323149381e-05,8.510476130457673e-05,3.4755264543314487e-06,4.596656820915649e-06,1.555521295467068e-07,2.057299136358798e-07,0.028035353620833595,0.03707895800573791,0.0004587979608280746,0.0006067963526602574,6.434760323177971e-05,8.510476130495486e-05,3.5566276806467287e-06,4.703919565143117e-06,6.786570396930435e-06,8.975772596061355e-06
low break (E1=90),helm,0.07454613880209646,1.4755962115224468,0.04245187003507738,0.0009852118504288217,0.00026789044706750076,3.3491244383335146,8.483142850580483e-08,1.251769345212029e-07,0.02681221256417617,0.039563999282232906,0.0004478057980656763,0.0006607805391234977,0.00014308167882351317,0.00021113078321024754,1.9858039277947707e-05,2.930244752680358e-05,7.437103823130096e-06,1.0974162226109875e-05,0.024997796869430735,0.03688665435693967,0.0004276545371527208,0.0006310454148629403,0.00013664300327544633,0.0002016298979642979,1.885278211474975e-05,2.7819093865182875e-05,2.287355849227333e-08,3.375213625523562e-08,0.024997796869430735,0.03688665435693967,0.0004276545371527208,0.0006310454148629403,0.00013664300327645505,0.00020162989796578635,1.896442751044006e-05,2.798383738809742e-05,6.803797737335649e-06,1.003965816517748e-05
low break (E1=90),helm_skin+0.15fm,0.0710442206953935,1.5483314324979625,0.04107158079029943,0.0010224431108532717,0.00028109532704247755,3.5142097809187702,2.990647952232429e-08,4.6305142279771345e-08,0.02562864982640366,0.039681644098704234,0.0003497607027571808,0.0005415454899315198,0.00013989300825649494,0.0002166007418702281,1.2741054029373036e-05,1.9727374436833088e-05,8.840302821599414e-06,1.36877187314828e-05,0.023875411420831695,0.03696704996669455,0.0003340214711331076,0.0005171759428846014,0.00013359782288417375,0.00020685370848486182,1.2136362660205808e-05,1.879111178299124e-05,5.200791975872259e-08,8.052549690126204e-08,0.023875411420831695,0.03696704996669455,0.0003340214711331076,0.0005171759428846014,0.00013359782288495264,0.0002068537084860678,1.2167706598051251e-05,1.8839642587175602e-05,8.190158893378094e-06,1.2681080451770032e-05
low break (E1=90),shell(WimPyDD),0.06948490303443591,1.583077693085148,0.04047546790381377,0.0010401954915341502,0.00028740341540021416,3.5930725142089184,3.1723976338100885e-09,5.022151927680857e-09,0.02514842451948426,0.03981190987303111,0.00035726960103081644,0.0005655855358093161,4.7173338567516366e-05,7.467905999458845e-05,2.557893687565315e-06,4.049344438067962e-06,4.855769197548543e-06,7.687059899409068e-06,0.023420707390098272,0.03707679942553905,0.00034119246898442967,0.0005401341866978968,4.505053833178094e-05,7.13185022945198e-05,2.3876453154874187e-06,3.7798280379473832e-06,1.0544782126182506e-07,1.6693209362402505e-07,0.023420707390098272,0.03707679942553905,0.00034119246898442967,0.0005401341866978968,4.505053833197813e-05,7.131850229483196e-05,2.4427884716248756e-06,3.867123938354903e-06,4.564835577671122e-06,7.226489375612608e-06
high break (E1=160),helm,0.08721897680429852,1.2611934240734952,0.04774163648589876,0.0009058894486451405,0.0003858274520190923,4.018393056228327,1.280100924666095e-07,1.6144548683392796e-07,0.031263073475218395,0.039428782683271955,0.000597476670422371,0.0007535336477740213,0.00020773697436049285,0.00026199650600037785,2.965421727757698e-05,3.7399703826526715e-05,1.1536246461057952e-05,1.454943817517742e-05,0.029195463059984095,0.036821126024032584,0.0005705902202533644,0.0007196246336241905,0.00019838881051277544,0.00025020666322847507,2.8150844298309224e-05,3.550365971114444e-05,3.4837602867450004e-08,4.3936955646911885e-08,0.029195463059984095,0.036821126024032584,0.0005705902202533644,0.0007196246336241905,0.0001983888105142707,0.00025020666323036087,2.8319777500086016e-05,3.571671715433301e-05,1.0550123613075175e-05,1.3305746523972915e-05
high break (E1=160),helm_skin+0.15fm,0.08295557521101896,1.326010936819937,0.04607606097646985,0.0009420013556867079,0.00040565658790881235,4.224913513892175,4.511648015806647e-08,5.982494612041583e-08,0.029835460684013517,0.03956214717206317,0.0004677540246110816,0.0006202469523758362,0.00020284448845607562,0.00026897401016640174,1.9007506851095043e-05,2.520416196623191e-05,1.368654657145559e-05,1.8148510441045524e-05,0.02784070151636633,0.03691707469944116,0.00044670509350358285,0.0005923358395189235,0.0001937164864743977,0.0002568701797073828,1.810472806436396e-05,2.400706742149746e-05,7.935411283791029e-08,1.0522442150471242e-07,0.02784070151636633,0.03691707469944116,0.00044670509350358285,0.0005923358395189235,0.0001937164864755522,0.00025687017970891363,1.8152169042795764e-05,2.4069974677751472e-05,1.2676124819926478e-05,1.6808680147717165e-05
